Year,Month,Day,Period,Value
2025,6,12,1,1.744445157114
2025,6,12,2,1.744445157114
2025,6,12,3,1.744445157114
2025,6,12,4,1.72373652462
2025,6,12,5,1.742496475599
2025,6,12,6,1.720129972341
2025,6,12,7,1.720129972341
2025,6,12,8,1.720129972341
2025,6,12,9,1.7804317672514998
2025,6,12,10,1.7804317672514998
2025,6,12,11,1.7804317672514998
2025,6,12,12,1.7804317672514998
2025,6,12,13,1.725297856194
2025,6,12,14,1.705741402662
2025,6,12,15,1.705741402662
2025,6,12,16,1.705741402662
2025,6,12,17,1.6703085369795
2025,6,12,18,1.6703085369795
2025,6,12,19,1.6703085369795
2025,6,12,20,1.647756602547
2025,6,12,21,1.6506105287925
2025,6,12,22,1.6506105287925
2025,6,12,23,1.713537972729
2025,6,12,24,1.713537972729
2025,6,12,25,1.6917235326255
2025,6,12,26,1.6917235326255
2025,6,12,27,1.6917235326255
2025,6,12,28,1.6917235326255
2025,6,12,29,1.7428368033615
2025,6,12,30,1.7530680050235
2025,6,12,31,1.7530680050235
2025,6,12,32,1.7530680050235
2025,6,12,33,1.840990096077
2025,6,12,34,1.840990096077
2025,6,12,35,1.840990096077
2025,6,12,36,2.100131653917
2025,6,12,37,2.3248341573765
2025,6,12,38,2.5574138790915
2025,6,12,39,2.5574138790915
2025,6,12,40,2.6500578754815
2025,6,12,41,2.6618988952545
2025,6,12,42,2.660936486307
2025,6,12,43,2.660936486307
2025,6,12,44,2.660936486307
2025,6,12,45,2.7064053058515
2025,6,12,46,2.7064053058515
2025,6,12,47,2.7064053058515
2025,6,12,48,2.7064053058515
2025,6,12,49,2.746806577218
2025,6,12,50,2.6021851216350003
2025,6,12,51,2.6021851216350003
2025,6,12,52,2.6021851216350003
2025,6,12,53,2.6742184890795
2025,6,12,54,2.6742184890795
2025,6,12,55,2.6742184890795
2025,6,12,56,2.6742184890795
2025,6,12,57,2.6292935431289997
2025,6,12,58,2.6292935431289997
2025,6,12,59,2.6292935431289997
2025,6,12,60,2.6292935431289997
2025,6,12,61,2.5040208733485003
2025,6,12,62,2.5040208733485003
2025,6,12,63,2.5184662818315
2025,6,12,64,2.5184662818315
2025,6,12,65,2.488879460694
2025,6,12,66,2.1074542057139998
2025,6,12,67,2.1074542057139998
2025,6,12,68,2.1180416803755
2025,6,12,69,1.9239117825015
2025,6,12,70,1.9545785951505001
2025,6,12,71,1.9545785951505001
2025,6,12,72,1.8814846525035003
2025,6,12,73,1.8338484196725
2025,6,12,74,1.8338484196725
2025,6,12,75,1.8338484196725
2025,6,12,76,1.8338484196725
2025,6,12,77,1.8089748261915
2025,6,12,78,1.7903373389714998
2025,6,12,79,1.7903373389714998
2025,6,12,80,1.7903373389714998
2025,6,12,81,1.7452839091214998
2025,6,12,82,1.7452839091214998
2025,6,12,83,1.7778257514765003
2025,6,12,84,1.7778257514765003
2025,6,12,85,1.8580245446234998
2025,6,12,86,1.8580245446234998
2025,6,12,87,1.8580245446234998
2025,6,12,88,1.7379754585545
2025,6,12,89,1.7088656386395
2025,6,12,90,1.769414964372
2025,6,12,91,1.8011319390075
2025,6,12,92,1.8011319390075
2025,6,12,93,1.7804940296055
2025,6,12,94,1.7804940296055
2025,6,12,95,1.7804940296055
2025,6,12,96,1.7804940296055
