Year,Month,Day,Period,Value
2025,6,12,1,6.109594418515499
2025,6,12,2,6.109594418515499
2025,6,12,3,6.109594418515499
2025,6,12,4,6.109594418515499
2025,6,12,5,5.91867238776
2025,6,12,6,5.91867238776
2025,6,12,7,5.91867238776
2025,6,12,8,5.91867238776
2025,6,12,9,5.6366408998515
2025,6,12,10,5.6366408998515
2025,6,12,11,5.613242674677
2025,6,12,12,5.613242674677
2025,6,12,13,5.4501621124335
2025,6,12,14,5.4501621124335
2025,6,12,15,5.4501621124335
2025,6,12,16,5.285487623080501
2025,6,12,17,5.1496163061255
2025,6,12,18,5.1496163061255
2025,6,12,19,5.1496163061255
2025,6,12,20,5.145327417021
2025,6,12,21,5.1717913580685
2025,6,12,22,5.1717913580685
2025,6,12,23,5.1717913580685
2025,6,12,24,5.1717913580685
2025,6,12,25,4.8451725944324995
2025,6,12,26,4.8404749323645
2025,6,12,27,5.087507709768
2025,6,12,28,5.087507709768
2025,6,12,29,5.08359537774
2025,6,12,30,5.08359537774
2025,6,12,31,5.08359537774
2025,6,12,32,5.08359537774
2025,6,12,33,6.4097293366754995
2025,6,12,34,7.140760312669499
2025,6,12,35,7.8553488205995
2025,6,12,36,7.8553488205995
2025,6,12,37,8.4006714786885
2025,6,12,38,8.4006714786885
2025,6,12,39,8.4006714786885
2025,6,12,40,8.4006714786885
2025,6,12,41,8.9568286541415
2025,6,12,42,9.103135206709501
2025,6,12,43,9.103135206709501
2025,6,12,44,9.1393992314295
2025,6,12,45,8.982771229327499
2025,6,12,46,8.982771229327499
2025,6,12,47,8.982771229327499
2025,6,12,48,9.1572375043215
2025,6,12,49,8.9091739812405
2025,6,12,50,8.923425497811001
2025,6,12,51,8.923425497811001
2025,6,12,52,8.923425497811001
2025,6,12,53,7.935405245559001
2025,6,12,54,7.935405245559001
2025,6,12,55,7.935405245559001
2025,6,12,56,7.935405245559001
2025,6,12,57,8.369267714065499
2025,6,12,58,8.369267714065499
2025,6,12,59,8.369267714065499
2025,6,12,60,8.369267714065499
2025,6,12,61,8.289920526739499
2025,6,12,62,8.289920526739499
2025,6,12,63,8.289920526739499
2025,6,12,64,7.999643561530499
2025,6,12,65,7.794217981836001
2025,6,12,66,7.850081306133
2025,6,12,67,7.850081306133
2025,6,12,68,7.850081306133
2025,6,12,69,7.620652124613
2025,6,12,70,7.413237946075499
2025,6,12,71,7.413237946075499
2025,6,12,72,7.413237946075499
2025,6,12,73,6.663510962757
2025,6,12,74,6.4162501793115
2025,6,12,75,6.4162501793115
2025,6,12,76,6.4162501793115
2025,6,12,77,6.0410845687995
2025,6,12,78,6.0410845687995
2025,6,12,79,6.0410845687995
2025,6,12,80,6.0410845687995
2025,6,12,81,6.6888138302205
2025,6,12,82,6.7628538569295
2025,6,12,83,6.941596167214499
2025,6,12,84,6.8876354242575
2025,6,12,85,7.088653339102501
2025,6,12,86,7.1937048450629995
2025,6,12,87,7.368977927355
2025,6,12,88,7.368977927355
2025,6,12,89,7.2196796903715
2025,6,12,90,7.2196796903715
2025,6,12,91,7.2949106201894995
2025,6,12,92,7.2949106201894995
2025,6,12,93,7.034324337100501
2025,6,12,94,7.034324337100501
2025,6,12,95,7.034324337100501
2025,6,12,96,6.9416764357545
