Year,Month,Day,Period,Value
2025,6,12,1,1.4624727859005
2025,6,12,2,1.4624727859005
2025,6,12,3,1.4624727859005
2025,6,12,4,1.4624727859005
2025,6,12,5,1.424066404695
2025,6,12,6,1.424066404695
2025,6,12,7,1.424066404695
2025,6,12,8,1.424066404695
2025,6,12,9,1.331239200786
2025,6,12,10,1.331239200786
2025,6,12,11,1.331239200786
2025,6,12,12,1.331239200786
2025,6,12,13,1.3228532535405
2025,6,12,14,1.3228532535405
2025,6,12,15,1.3228532535405
2025,6,12,16,1.3228532535405
2025,6,12,17,1.2685750159665
2025,6,12,18,1.2685750159665
2025,6,12,19,1.2685750159665
2025,6,12,20,1.2685750159665
2025,6,12,21,1.2096395760074998
2025,6,12,22,1.2096395760074998
2025,6,12,23,1.2096395760074998
2025,6,12,24,1.2096395760074998
2025,6,12,25,1.2817004950859998
2025,6,12,26,1.2817004950859998
2025,6,12,27,1.2817004950859998
2025,6,12,28,1.2817004950859998
2025,6,12,29,1.2460513382295
2025,6,12,30,1.2460513382295
2025,6,12,31,1.2460513382295
2025,6,12,32,1.2460513382295
2025,6,12,33,1.3864987212614999
2025,6,12,34,1.3864987212614999
2025,6,12,35,1.3864987212614999
2025,6,12,36,1.3864987212614999
2025,6,12,37,1.7230603164059999
2025,6,12,38,1.7553953587994997
2025,6,12,39,2.454552185679
2025,6,12,40,2.801291994402
2025,6,12,41,3.0954531434145003
2025,6,12,42,3.0954531434145003
2025,6,12,43,3.4339576168755
2025,6,12,44,3.4339576168755
2025,6,12,45,3.7546692125579995
2025,6,12,46,3.631163806545
2025,6,12,47,3.631163806545
2025,6,12,48,3.9576414494099996
2025,6,12,49,3.9722985390495
2025,6,12,50,3.9722985390495
2025,6,12,51,3.9722985390495
2025,6,12,52,3.9722985390495
2025,6,12,53,3.8715379831425003
2025,6,12,54,3.8715379831425003
2025,6,12,55,3.8715379831425003
2025,6,12,56,3.8715379831425003
2025,6,12,57,3.792224693004
2025,6,12,58,3.792224693004
2025,6,12,59,3.792224693004
2025,6,12,60,3.792224693004
2025,6,12,61,3.7920401295975004
2025,6,12,62,3.7920401295975004
2025,6,12,63,3.7920401295975004
2025,6,12,64,3.7920401295975004
2025,6,12,65,3.6004850078505006
2025,6,12,66,3.6004850078505006
2025,6,12,67,3.6004850078505006
2025,6,12,68,3.6004850078505006
2025,6,12,69,3.5143422208455
2025,6,12,70,3.5143422208455
2025,6,12,71,3.5143422208455
2025,6,12,72,3.5143422208455
2025,6,12,73,3.1284968810865
2025,6,12,74,3.1284968810865
2025,6,12,75,3.1284968810865
2025,6,12,76,3.1284968810865
2025,6,12,77,2.3648944501545
2025,6,12,78,2.0047405752165
2025,6,12,79,1.663230858465
2025,6,12,80,1.663230858465
2025,6,12,81,1.694090857965
2025,6,12,82,1.694090857965
2025,6,12,83,1.694090857965
2025,6,12,84,1.694090857965
2025,6,12,85,1.7587904468639999
2025,6,12,86,1.7587904468639999
2025,6,12,87,1.7587904468639999
2025,6,12,88,1.7587904468639999
2025,6,12,89,1.4507182175145
2025,6,12,90,1.4507182175145
2025,6,12,91,1.4507182175145
2025,6,12,92,1.4507182175145
2025,6,12,93,1.566934209621
2025,6,12,94,1.566934209621
2025,6,12,95,1.566934209621
2025,6,12,96,1.566934209621
