Year,Month,Day,Period,Value
2025,6,12,1,2.990001704877
2025,6,12,2,2.990001704877
2025,6,12,3,2.532135634545
2025,6,12,4,2.532135634545
2025,6,12,5,2.470816978245
2025,6,12,6,2.470816978245
2025,6,12,7,2.470816978245
2025,6,12,8,2.470816978245
2025,6,12,9,2.332691959323
2025,6,12,10,2.332691959323
2025,6,12,11,2.332691959323
2025,6,12,12,2.332691959323
2025,6,12,13,1.983929925747
2025,6,12,14,1.983929925747
2025,6,12,15,1.5374084576565001
2025,6,12,16,1.0396409503259998
2025,6,12,17,1.0252029721065
2025,6,12,18,1.0252029721065
2025,6,12,19,1.477950675597
2025,6,12,20,2.3524211529225
2025,6,12,21,2.300060086038
2025,6,12,22,2.300060086038
2025,6,12,23,2.300060086038
2025,6,12,24,2.300060086038
2025,6,12,25,2.125592617863
2025,6,12,26,2.125592617863
2025,6,12,27,2.125592617863
2025,6,12,28,2.125592617863
2025,6,12,29,1.9989060285975
2025,6,12,30,1.9989060285975
2025,6,12,31,1.9989060285975
2025,6,12,32,1.9989060285975
2025,6,12,33,2.32014804747
2025,6,12,34,2.32014804747
2025,6,12,35,2.757438362283
2025,6,12,36,2.757438362283
2025,6,12,37,3.064776405669
2025,6,12,38,3.064776405669
2025,6,12,39,3.5268624860205002
2025,6,12,40,3.5268624860205002
2025,6,12,41,4.207185927054
2025,6,12,42,4.207185927054
2025,6,12,43,4.6626239282865
2025,6,12,44,5.1002522387355
2025,6,12,45,5.157128519466
2025,6,12,46,5.157128519466
2025,6,12,47,5.157128519466
2025,6,12,48,5.157128519466
2025,6,12,49,5.539760026201499
2025,6,12,50,5.539760026201499
2025,6,12,51,5.539760026201499
2025,6,12,52,5.539760026201499
2025,6,12,53,5.534870750112
2025,6,12,54,5.534870750112
2025,6,12,55,5.534870750112
2025,6,12,56,5.534870750112
2025,6,12,57,5.6589761634614995
2025,6,12,58,5.6589761634614995
2025,6,12,59,5.6589761634614995
2025,6,12,60,5.6589761634614995
2025,6,12,61,5.5032853507995005
2025,6,12,62,5.978014810911
2025,6,12,63,5.978014810911
2025,6,12,64,5.978014810911
2025,6,12,65,5.7153169771005
2025,6,12,66,5.7153169771005
2025,6,12,67,5.7153169771005
2025,6,12,68,5.7153169771005
2025,6,12,69,5.681735928329999
2025,6,12,70,5.681735928329999
2025,6,12,71,5.681735928329999
2025,6,12,72,5.359408494396
2025,6,12,73,6.0330377561355
2025,6,12,74,6.0330377561355
2025,6,12,75,6.0330377561355
2025,6,12,76,5.553905620840499
2025,6,12,77,6.0419179514925
2025,6,12,78,6.0419179514925
2025,6,12,79,6.0419179514925
2025,6,12,80,6.0419179514925
2025,6,12,81,6.064880882544
2025,6,12,82,6.064880882544
2025,6,12,83,6.064880882544
2025,6,12,84,6.064880882544
2025,6,12,85,5.9974167475035
2025,6,12,86,5.9974167475035
2025,6,12,87,5.4811094310885
2025,6,12,88,6.0423085555635
2025,6,12,89,4.771906345602
2025,6,12,90,4.1528846393925
2025,6,12,91,4.1528846393925
2025,6,12,92,3.6995651852609996
2025,6,12,93,3.6217924002645003
2025,6,12,94,3.6217924002645003
2025,6,12,95,2.6316728002785
2025,6,12,96,2.662380777672
