Year,Month,Day,Period,Value
2025,6,12,1,1.175529478013
2025,6,12,2,1.175529478013
2025,6,12,3,1.175529478013
2025,6,12,4,1.0935034727925002
2025,6,12,5,0.9273429849749999
2025,6,12,6,0.9273429849749999
2025,6,12,7,0.6831839478529999
2025,6,12,8,0.723216869782
2025,6,12,9,0.6110342994965
2025,6,12,10,0.839937523216
2025,6,12,11,1.2855394645609999
2025,6,12,12,1.2376980407549998
2025,6,12,13,1.4458198840964998
2025,6,12,14,1.4458198840964998
2025,6,12,15,1.0358395298955
2025,6,12,16,0.9000683678304999
2025,6,12,17,0.890321688047
2025,6,12,18,0.890321688047
2025,6,12,19,0.890321688047
2025,6,12,20,0.6612718838495
2025,6,12,21,0.590919563806
2025,6,12,22,0.590919563806
2025,6,12,23,0.590919563806
2025,6,12,24,0.590919563806
2025,6,12,25,0.111745486391
2025,6,12,26,0.111745486391
2025,6,12,27,0.111745486391
2025,6,12,28,0.111745486391
2025,6,12,29,0.0755352452085
2025,6,12,30,0.0755352452085
2025,6,12,31,0.0755352452085
2025,6,12,32,0.0755352452085
2025,6,12,33,0.13620302127300002
2025,6,12,34,0.159469580732
2025,6,12,35,0.159469580732
2025,6,12,36,0.159469580732
2025,6,12,37,0.07062790869749999
2025,6,12,38,0.07062790869749999
2025,6,12,39,0.07062790869749999
2025,6,12,40,0.07062790869749999
2025,6,12,41,0.0513893475095
2025,6,12,42,0.0513893475095
2025,6,12,43,0.0513893475095
2025,6,12,44,0.0513893475095
2025,6,12,45,0.037004556237
2025,6,12,46,0.037004556237
2025,6,12,47,0.037004556237
2025,6,12,48,0.037004556237
2025,6,12,49,0.0
2025,6,12,50,0.0
2025,6,12,51,0.0
2025,6,12,52,0.03999604178899999
2025,6,12,53,0.4881994069700001
2025,6,12,54,0.65391886978
2025,6,12,55,1.1707538976099998
2025,6,12,56,1.6302576088645
2025,6,12,57,1.7596157484675001
2025,6,12,58,1.7596157484675001
2025,6,12,59,1.509538407036
2025,6,12,60,1.283621263397
2025,6,12,61,1.627900841369
2025,6,12,62,1.627900841369
2025,6,12,63,1.627900841369
2025,6,12,64,1.1244345388759998
2025,6,12,65,1.1418737108019998
2025,6,12,66,1.1418737108019998
2025,6,12,67,1.1418737108019998
2025,6,12,68,1.37539203208
2025,6,12,69,1.2840311753059999
2025,6,12,70,1.041638552262
2025,6,12,71,0.837178563331
2025,6,12,72,0.837178563331
2025,6,12,73,0.6079681135824999
2025,6,12,74,0.6079681135824999
2025,6,12,75,0.6079681135824999
2025,6,12,76,0.6079681135824999
2025,6,12,77,0.6374592813765001
2025,6,12,78,0.6009177155244999
2025,6,12,79,0.093649775659
2025,6,12,80,0.093649775659
2025,6,12,81,0.0
2025,6,12,82,0.0
2025,6,12,83,0.0
2025,6,12,84,0.0
2025,6,12,85,0.044228905622
2025,6,12,86,0.31276079793200007
2025,6,12,87,0.31276079793200007
2025,6,12,88,0.5401559131814999
2025,6,12,89,0.8978515821605
2025,6,12,90,0.8978515821605
2025,6,12,91,1.3542281648775
2025,6,12,92,1.3542281648775
2025,6,12,93,1.3620530277969998
2025,6,12,94,1.3620530277969998
2025,6,12,95,1.3620530277969998
2025,6,12,96,1.3620530277969998
