Year,Month,Day,Period,Value
2025,6,12,1,2.4119344178985
2025,6,12,2,4.3044872343
2025,6,12,3,3.4399429381844997
2025,6,12,4,2.4200239681365
2025,6,12,5,2.2013957864415
2025,6,12,6,3.5890066608659996
2025,6,12,7,0.6970477709909999
2025,6,12,8,4.2833379383685
2025,6,12,9,1.9630456787039998
2025,6,12,10,3.424755099942
2025,6,12,11,1.8466927961955
2025,6,12,12,4.036446932562001
2025,6,12,13,3.5914309334805
2025,6,12,14,1.046644488912
2025,6,12,15,1.7572072583835001
2025,6,12,16,3.6696794722829997
2025,6,12,17,3.0044075756805
2025,6,12,18,1.9437560638319997
2025,6,12,19,4.117300348194
2025,6,12,20,3.4405389863295004
2025,6,12,21,2.694077847879
2025,6,12,22,3.181207766946
2025,6,12,23,4.153221279141
2025,6,12,24,3.7329213736485
2025,6,12,25,4.096017578697
2025,6,12,26,4.3123661880915005
2025,6,12,27,1.308288798135
2025,6,12,28,2.671455027648
2025,6,12,29,1.1509580666594998
2025,6,12,30,1.1568085585155
2025,6,12,31,0.44129788437899997
2025,6,12,32,0.44129788437899997
2025,6,12,33,0.5581837391460001
2025,6,12,34,0.5587696452525
2025,6,12,35,0.5587696452525
2025,6,12,36,0.5587696452525
2025,6,12,37,0.1331646943275
2025,6,12,38,0.1331646943275
2025,6,12,39,0.1331646943275
2025,6,12,40,0.1331646943275
2025,6,12,41,0.3280231919085
2025,6,12,42,0.3280231919085
2025,6,12,43,0.3280231919085
2025,6,12,44,0.18911962238399999
2025,6,12,45,0.1662865311195
2025,6,12,46,0.1662865311195
2025,6,12,47,0.1662865311195
2025,6,12,48,0.1662865311195
2025,6,12,49,0.295238754162
2025,6,12,50,0.295238754162
2025,6,12,51,1.3134213746774999
2025,6,12,52,1.397677145931
2025,6,12,53,2.040421080192
2025,6,12,54,3.2245054309545003
2025,6,12,55,1.349700964986
2025,6,12,56,2.4670261879725
2025,6,12,57,2.4649572663540003
2025,6,12,58,1.7243499823605002
2025,6,12,59,2.2701306050115
2025,6,12,60,1.0073125246635
2025,6,12,61,3.0026981811914997
2025,6,12,62,1.5323501837489997
2025,6,12,63,3.3782638869870003
2025,6,12,64,2.9183368134195
2025,6,12,65,1.4201803768845
2025,6,12,66,2.5421993027475
2025,6,12,67,0.5541935791755
2025,6,12,68,0.5541935791755
2025,6,12,69,0.48943183639349996
2025,6,12,70,0.503357831493
2025,6,12,71,0.503357831493
2025,6,12,72,0.18752363432549998
2025,6,12,73,0.303219616458
2025,6,12,74,0.303219616458
2025,6,12,75,0.303219616458
2025,6,12,76,0.303219616458
2025,6,12,77,0.138692539194
2025,6,12,78,0.138692539194
2025,6,12,79,0.29725409110650003
2025,6,12,80,0.29725409110650003
2025,6,12,81,0.29725409110650003
2025,6,12,82,0.301244251077
2025,6,12,83,0.301244251077
2025,6,12,84,0.301244251077
2025,6,12,85,0.29725409110650003
2025,6,12,86,0.29725409110650003
2025,6,12,87,0.29725409110650003
2025,6,12,88,1.5877870543095
2025,6,12,89,4.1870137378905
2025,6,12,90,4.8542990189595
2025,6,12,91,4.766819272644
2025,6,12,92,4.6769133554715
2025,6,12,93,3.4785919147815
2025,6,12,94,1.3915444667685
2025,6,12,95,1.5343058074080003
2025,6,12,96,0.6944931162345
