Year,Month,Day,Period,Value
2025,6,12,1,1.5392272451490001
2025,6,12,2,1.5392272451490001
2025,6,12,3,1.5392272451490001
2025,6,12,4,1.5392272451490001
2025,6,12,5,1.5852304470749998
2025,6,12,6,1.5852304470749998
2025,6,12,7,1.5852304470749998
2025,6,12,8,1.5852304470749998
2025,6,12,9,1.691028396222
2025,6,12,10,1.691028396222
2025,6,12,11,1.691028396222
2025,6,12,12,1.691028396222
2025,6,12,13,1.7266895391239998
2025,6,12,14,1.7266895391239998
2025,6,12,15,1.7266895391239998
2025,6,12,16,1.7266895391239998
2025,6,12,17,1.6934579296800003
2025,6,12,18,1.6934579296800003
2025,6,12,19,1.6934579296800003
2025,6,12,20,1.6934579296800003
2025,6,12,21,1.680310593654
2025,6,12,22,1.680310593654
2025,6,12,23,1.680310593654
2025,6,12,24,1.680310593654
2025,6,12,25,1.643963046264
2025,6,12,26,1.643963046264
2025,6,12,27,1.643963046264
2025,6,12,28,1.643963046264
2025,6,12,29,1.6154610978329997
2025,6,12,30,1.6154610978329997
2025,6,12,31,1.6154610978329997
2025,6,12,32,1.6154610978329997
2025,6,12,33,1.6816952259690001
2025,6,12,34,1.6816952259690001
2025,6,12,35,1.6816952259690001
2025,6,12,36,1.6816952259690001
2025,6,12,37,1.730689298778
2025,6,12,38,1.730689298778
2025,6,12,39,1.730689298778
2025,6,12,40,1.730689298778
2025,6,12,41,2.080049441448
2025,6,12,42,2.080049441448
2025,6,12,43,2.080049441448
2025,6,12,44,2.080049441448
2025,6,12,45,2.16285099624
2025,6,12,46,2.134613500107
2025,6,12,47,2.134613500107
2025,6,12,48,2.134613500107
2025,6,12,49,2.159591225748
2025,6,12,50,1.230094006713
2025,6,12,51,1.230094006713
2025,6,12,52,1.230094006713
2025,6,12,53,1.630389744621
2025,6,12,54,1.515655846023
2025,6,12,55,1.515655846023
2025,6,12,56,1.515655846023
2025,6,12,57,2.087771925822
2025,6,12,58,2.087771925822
2025,6,12,59,2.087771925822
2025,6,12,60,2.087771925822
2025,6,12,61,1.9223346683970002
2025,6,12,62,1.9223346683970002
2025,6,12,63,1.9223346683970002
2025,6,12,64,1.9223346683970002
2025,6,12,65,1.959260366217
2025,6,12,66,1.959260366217
2025,6,12,67,1.959260366217
2025,6,12,68,1.959260366217
2025,6,12,69,1.906823315397
2025,6,12,70,1.906823315397
2025,6,12,71,1.3653766515510002
2025,6,12,72,1.3653766515510002
2025,6,12,73,1.4113276789259999
2025,6,12,74,1.4113276789259999
2025,6,12,75,1.8507093146190001
2025,6,12,76,1.8507093146190001
2025,6,12,77,1.9235621262329998
2025,6,12,78,1.9235621262329998
2025,6,12,79,1.9235621262329998
2025,6,12,80,1.9235621262329998
2025,6,12,81,1.677231644319
2025,6,12,82,1.677231644319
2025,6,12,83,1.677231644319
2025,6,12,84,1.677231644319
2025,6,12,85,1.5537813415739998
2025,6,12,86,1.5537813415739998
2025,6,12,87,1.5537813415739998
2025,6,12,88,1.5537813415739998
2025,6,12,89,1.625230104564
2025,6,12,90,1.625230104564
2025,6,12,91,1.625230104564
2025,6,12,92,1.625230104564
2025,6,12,93,1.58157768615
2025,6,12,94,1.58157768615
2025,6,12,95,1.58157768615
2025,6,12,96,1.58157768615
