Year,Month,Day,Period,Value
2025,6,12,1,0.2775683401424999
2025,6,12,2,0.2775683401424999
2025,6,12,3,0.2775683401424999
2025,6,12,4,0.2775683401424999
2025,6,12,5,0.26251379468049996
2025,6,12,6,0.26251379468049996
2025,6,12,7,0.26251379468049996
2025,6,12,8,0.26251379468049996
2025,6,12,9,0.18711254731399998
2025,6,12,10,0.35997896545049995
2025,6,12,11,0.35997896545049995
2025,6,12,12,0.504799483397
2025,6,12,13,0.2963544687895
2025,6,12,14,0.2963544687895
2025,6,12,15,0.2963544687895
2025,6,12,16,0.2963544687895
2025,6,12,17,0.49183031098850005
2025,6,12,18,0.49183031098850005
2025,6,12,19,0.49183031098850005
2025,6,12,20,0.2634932516535
2025,6,12,21,0.267653747251
2025,6,12,22,0.267653747251
2025,6,12,23,0.267653747251
2025,6,12,24,0.267653747251
2025,6,12,25,0.27706962664150003
2025,6,12,26,0.27706962664150003
2025,6,12,27,0.27706962664150003
2025,6,12,28,0.27706962664150003
2025,6,12,29,0.303463856993
2025,6,12,30,0.303463856993
2025,6,12,31,0.303463856993
2025,6,12,32,0.303463856993
2025,6,12,33,0.34625326205249995
2025,6,12,34,0.34625326205249995
2025,6,12,35,0.34625326205249995
2025,6,12,36,0.34625326205249995
2025,6,12,37,0.3980840684535
2025,6,12,38,0.3980840684535
2025,6,12,39,0.3980840684535
2025,6,12,40,0.3980840684535
2025,6,12,41,0.4132773121674999
2025,6,12,42,0.4132773121674999
2025,6,12,43,0.4132773121674999
2025,6,12,44,0.4132773121674999
2025,6,12,45,0.42113220347549996
2025,6,12,46,0.42113220347549996
2025,6,12,47,0.570086081191
2025,6,12,48,0.570086081191
2025,6,12,49,0.5796467332095001
2025,6,12,50,0.5796467332095001
2025,6,12,51,0.5796467332095001
2025,6,12,52,0.5796467332095001
2025,6,12,53,0.5848150328679999
2025,6,12,54,0.4222739873
2025,6,12,55,0.4222739873
2025,6,12,56,0.4222739873
2025,6,12,57,0.512911161719
2025,6,12,58,0.512911161719
2025,6,12,59,0.512911161719
2025,6,12,60,0.512911161719
2025,6,12,61,0.533817283747
2025,6,12,62,0.533817283747
2025,6,12,63,0.533817283747
2025,6,12,64,0.533817283747
2025,6,12,65,0.5292503834694999
2025,6,12,66,0.5292503834694999
2025,6,12,67,0.5292503834694999
2025,6,12,68,0.5292503834694999
2025,6,12,69,0.5315295218859999
2025,6,12,70,0.5315295218859999
2025,6,12,71,0.5315295218859999
2025,6,12,72,0.5315295218859999
2025,6,12,73,0.49736426638799996
2025,6,12,74,0.505343393148
2025,6,12,75,0.4870508256295
2025,6,12,76,0.4870508256295
2025,6,12,77,0.43206824969549995
2025,6,12,78,0.43206824969549995
2025,6,12,79,0.43206824969549995
2025,6,12,80,0.43206824969549995
2025,6,12,81,0.4325030376204999
2025,6,12,82,0.4325030376204999
2025,6,12,83,0.4325030376204999
2025,6,12,84,0.4325030376204999
2025,6,12,85,0.4100611831745
2025,6,12,86,0.4100611831745
2025,6,12,87,0.4100611831745
2025,6,12,88,0.4100611831745
2025,6,12,89,0.397147005563
2025,6,12,90,0.397147005563
2025,6,12,91,0.397147005563
2025,6,12,92,0.397147005563
2025,6,12,93,0.33497817164349997
2025,6,12,94,0.33497817164349997
2025,6,12,95,0.33497817164349997
2025,6,12,96,0.33497817164349997
