Year,Month,Day,Period,Value
2025,6,12,1,0.4679384704499999
2025,6,12,2,0.4679384704499999
2025,6,12,3,0.4679384704499999
2025,6,12,4,0.4679384704499999
2025,6,12,5,0.5133494749515
2025,6,12,6,0.5133494749515
2025,6,12,7,0.5133494749515
2025,6,12,8,0.5133494749515
2025,6,12,9,0.48239196002249995
2025,6,12,10,0.48239196002249995
2025,6,12,11,0.48239196002249995
2025,6,12,12,0.48239196002249995
2025,6,12,13,0.451020790935
2025,6,12,14,0.451020790935
2025,6,12,15,0.451020790935
2025,6,12,16,0.451020790935
2025,6,12,17,0.470592213465
2025,6,12,18,0.470592213465
2025,6,12,19,0.470592213465
2025,6,12,20,0.470592213465
2025,6,12,21,0.4513183811235
2025,6,12,22,0.4513183811235
2025,6,12,23,0.4513183811235
2025,6,12,24,0.4513183811235
2025,6,12,25,0.44817386106900003
2025,6,12,26,0.44817386106900003
2025,6,12,27,0.44817386106900003
2025,6,12,28,0.44817386106900003
2025,6,12,29,0.460577845332
2025,6,12,30,0.460577845332
2025,6,12,31,0.460577845332
2025,6,12,32,0.460577845332
2025,6,12,33,0.42903431582550006
2025,6,12,34,0.42903431582550006
2025,6,12,35,0.6505427279835
2025,6,12,36,0.6505427279835
2025,6,12,37,0.716884513587
2025,6,12,38,0.716884513587
2025,6,12,39,0.716884513587
2025,6,12,40,0.716884513587
2025,6,12,41,0.7311711747615
2025,6,12,42,0.7311711747615
2025,6,12,43,0.7311711747615
2025,6,12,44,0.7311711747615
2025,6,12,45,0.6700816634489999
2025,6,12,46,0.6700816634489999
2025,6,12,47,0.6700816634489999
2025,6,12,48,0.6700816634489999
2025,6,12,49,0.6281026813875
2025,6,12,50,0.6281026813875
2025,6,12,51,0.6281026813875
2025,6,12,52,0.6281026813875
2025,6,12,53,0.66422433792
2025,6,12,54,0.66422433792
2025,6,12,55,0.66422433792
2025,6,12,56,0.66422433792
2025,6,12,57,0.6528078194055
2025,6,12,58,0.6528078194055
2025,6,12,59,0.6528078194055
2025,6,12,60,0.6528078194055
2025,6,12,61,0.5582353171065
2025,6,12,62,0.5582353171065
2025,6,12,63,0.5582353171065
2025,6,12,64,0.5582353171065
2025,6,12,65,0.6237163310895
2025,6,12,66,0.6237163310895
2025,6,12,67,0.6237163310895
2025,6,12,68,0.6237163310895
2025,6,12,69,0.6799092445199999
2025,6,12,70,0.6799092445199999
2025,6,12,71,0.6799092445199999
2025,6,12,72,0.6799092445199999
2025,6,12,73,0.514676563401
2025,6,12,74,0.514676563401
2025,6,12,75,0.514676563401
2025,6,12,76,0.514676563401
2025,6,12,77,0.5472668380575
2025,6,12,78,0.5472668380575
2025,6,12,79,0.5472668380575
2025,6,12,80,0.5472668380575
2025,6,12,81,0.557803873704
2025,6,12,82,0.557803873704
2025,6,12,83,0.557803873704
2025,6,12,84,0.557803873704
2025,6,12,85,0.5434726309485001
2025,6,12,86,0.5434726309485001
2025,6,12,87,0.5434726309485001
2025,6,12,88,0.5434726309485001
2025,6,12,89,0.5557676018565
2025,6,12,90,0.5557676018565
2025,6,12,91,0.5557676018565
2025,6,12,92,0.5557676018565
2025,6,12,93,0.5390270554845
2025,6,12,94,0.5390270554845
2025,6,12,95,0.5390270554845
2025,6,12,96,0.5390270554845
