Year,Month,Day,Period,Value
2025,6,12,1,0.2126140071
2025,6,12,2,0.2126140071
2025,6,12,3,0.2126140071
2025,6,12,4,0.2126140071
2025,6,12,5,0.21067237619999998
2025,6,12,6,0.21067237619999998
2025,6,12,7,0.21067237619999998
2025,6,12,8,0.21067237619999998
2025,6,12,9,0.20565559245000004
2025,6,12,10,0.20565559245000004
2025,6,12,11,0.20565559245000004
2025,6,12,12,0.20565559245000004
2025,6,12,13,0.20902542484999997
2025,6,12,14,0.20902542484999997
2025,6,12,15,0.20902542484999997
2025,6,12,16,0.20902542484999997
2025,6,12,17,0.20614009625
2025,6,12,18,0.20614009625
2025,6,12,19,0.20614009625
2025,6,12,20,0.20614009625
2025,6,12,21,0.20022842674999997
2025,6,12,22,0.20022842674999997
2025,6,12,23,0.20022842674999997
2025,6,12,24,0.20022842674999997
2025,6,12,25,0.19882191945
2025,6,12,26,0.19882191945
2025,6,12,27,0.19882191945
2025,6,12,28,0.19882191945
2025,6,12,29,0.23186218605000003
2025,6,12,30,0.23186218605000003
2025,6,12,31,0.23186218605000003
2025,6,12,32,0.23186218605000003
2025,6,12,33,0.32947523895
2025,6,12,34,0.32947523895
2025,6,12,35,0.32947523895
2025,6,12,36,0.32947523895
2025,6,12,37,0.4207373148
2025,6,12,38,0.4207373148
2025,6,12,39,0.4207373148
2025,6,12,40,0.4207373148
2025,6,12,41,0.50859701695
2025,6,12,42,0.50859701695
2025,6,12,43,0.50859701695
2025,6,12,44,0.50859701695
2025,6,12,45,0.5172782945715
2025,6,12,46,0.5172782945715
2025,6,12,47,0.5172782945715
2025,6,12,48,0.5172782945715
2025,6,12,49,0.5419753334215
2025,6,12,50,0.5419753334215
2025,6,12,51,0.5419753334215
2025,6,12,52,0.5419753334215
2025,6,12,53,0.5414980610214999
2025,6,12,54,0.5414980610214999
2025,6,12,55,0.5414980610214999
2025,6,12,56,0.5414980610214999
2025,6,12,57,0.56651329955
2025,6,12,58,0.56651329955
2025,6,12,59,0.56651329955
2025,6,12,60,0.56651329955
2025,6,12,61,0.55613985625
2025,6,12,62,0.55613985625
2025,6,12,63,0.55613985625
2025,6,12,64,0.55613985625
2025,6,12,65,0.5768885506999999
2025,6,12,66,0.5768885506999999
2025,6,12,67,0.5768885506999999
2025,6,12,68,0.5768885506999999
2025,6,12,69,0.5030017212
2025,6,12,70,0.5030017212
2025,6,12,71,0.5030017212
2025,6,12,72,0.5030017212
2025,6,12,73,0.4539330565
2025,6,12,74,0.4539330565
2025,6,12,75,0.4539330565
2025,6,12,76,0.4539330565
2025,6,12,77,0.3706237128
2025,6,12,78,0.3706237128
2025,6,12,79,0.3706237128
2025,6,12,80,0.3706237128
2025,6,12,81,0.30098713865
2025,6,12,82,0.30098713865
2025,6,12,83,0.30098713865
2025,6,12,84,0.30098713865
2025,6,12,85,0.2779099334
2025,6,12,86,0.2779099334
2025,6,12,87,0.2779099334
2025,6,12,88,0.2779099334
2025,6,12,89,0.2290220537
2025,6,12,90,0.2290220537
2025,6,12,91,0.2290220537
2025,6,12,92,0.2290220537
2025,6,12,93,0.23523563414999998
2025,6,12,94,0.23523563414999998
2025,6,12,95,0.23523563414999998
2025,6,12,96,0.23523563414999998
