Year,Month,Day,Period,Value
2025,6,12,1,4.3300569946589995
2025,6,12,2,4.3300569946589995
2025,6,12,3,4.3300569946589995
2025,6,12,4,4.3300569946589995
2025,6,12,5,4.084110825498
2025,6,12,6,4.084110825498
2025,6,12,7,4.084110825498
2025,6,12,8,4.084110825498
2025,6,12,9,4.024287984288
2025,6,12,10,4.024287984288
2025,6,12,11,4.024287984288
2025,6,12,12,4.024287984288
2025,6,12,13,3.971290138398001
2025,6,12,14,3.971290138398001
2025,6,12,15,3.971290138398001
2025,6,12,16,3.971290138398001
2025,6,12,17,3.7548649484775005
2025,6,12,18,3.7548649484775005
2025,6,12,19,3.7548649484775005
2025,6,12,20,3.7548649484775005
2025,6,12,21,3.6511334261160004
2025,6,12,22,3.6511334261160004
2025,6,12,23,3.6511334261160004
2025,6,12,24,3.6511334261160004
2025,6,12,25,4.172498419848
2025,6,12,26,4.172498419848
2025,6,12,27,4.172498419848
2025,6,12,28,4.172498419848
2025,6,12,29,4.29792256938
2025,6,12,30,4.29792256938
2025,6,12,31,4.29792256938
2025,6,12,32,4.29792256938
2025,6,12,33,4.794748494195
2025,6,12,34,4.794748494195
2025,6,12,35,5.5051676480625
2025,6,12,36,5.5051676480625
2025,6,12,37,6.350110095532499
2025,6,12,38,6.350110095532499
2025,6,12,39,6.350110095532499
2025,6,12,40,6.350110095532499
2025,6,12,41,6.957685724880001
2025,6,12,42,6.957685724880001
2025,6,12,43,6.957685724880001
2025,6,12,44,6.957685724880001
2025,6,12,45,7.626343326805499
2025,6,12,46,7.626343326805499
2025,6,12,47,3.5639876077740005
2025,6,12,48,3.5639876077740005
2025,6,12,49,3.4901317105875
2025,6,12,50,3.4901317105875
2025,6,12,51,3.4901317105875
2025,6,12,52,3.4901317105875
2025,6,12,53,3.4094868846884996
2025,6,12,54,2.7165254332095
2025,6,12,55,1.7400139540575
2025,6,12,56,1.7400139540575
2025,6,12,57,2.5276187393985
2025,6,12,58,2.5276187393985
2025,6,12,59,2.5276187393985
2025,6,12,60,2.5276187393985
2025,6,12,61,2.947456016076
2025,6,12,62,2.947456016076
2025,6,12,63,2.947456016076
2025,6,12,64,2.947456016076
2025,6,12,65,2.5954199480714997
2025,6,12,66,2.5954199480714997
2025,6,12,67,2.5954199480714997
2025,6,12,68,2.5954199480714997
2025,6,12,69,3.027706983774
2025,6,12,70,2.8841704551330003
2025,6,12,71,2.8841704551330003
2025,6,12,72,3.1369426500885
2025,6,12,73,2.9356274162325
2025,6,12,74,2.9356274162325
2025,6,12,75,2.9356274162325
2025,6,12,76,2.9356274162325
2025,6,12,77,3.0455431414814997
2025,6,12,78,3.0455431414814997
2025,6,12,79,3.0455431414814997
2025,6,12,80,3.0455431414814997
2025,6,12,81,2.0707349824425
2025,6,12,82,2.0707349824425
2025,6,12,83,2.0707349824425
2025,6,12,84,2.0707349824425
2025,6,12,85,2.2984020525675
2025,6,12,86,2.2984020525675
2025,6,12,87,2.2984020525675
2025,6,12,88,2.2907071198274997
2025,6,12,89,2.1248101623044997
2025,6,12,90,2.1248101623044997
2025,6,12,91,2.1248101623044997
2025,6,12,92,2.1248101623044997
2025,6,12,93,2.2843408483665
2025,6,12,94,2.2843408483665
2025,6,12,95,2.2843408483665
2025,6,12,96,2.2843408483665
