Year,Month,Day,Period,Value
2025,6,12,1,6.4928999098095
2025,6,12,2,6.4928999098095
2025,6,12,3,6.4928999098095
2025,6,12,4,6.233453223046499
2025,6,12,5,6.141959344669501
2025,6,12,6,6.141959344669501
2025,6,12,7,6.141959344669501
2025,6,12,8,6.097506139098
2025,6,12,9,5.85304417863
2025,6,12,10,5.9188664423790005
2025,6,12,11,5.9188664423790005
2025,6,12,12,5.7883122111375
2025,6,12,13,6.024423152022
2025,6,12,14,6.024423152022
2025,6,12,15,6.024423152022
2025,6,12,16,6.024423152022
2025,6,12,17,5.7572150940315
2025,6,12,18,5.7572150940315
2025,6,12,19,5.867691722821499
2025,6,12,20,5.867691722821499
2025,6,12,21,5.630485875663
2025,6,12,22,5.4416807649435
2025,6,12,23,5.4416807649435
2025,6,12,24,5.4416807649435
2025,6,12,25,5.525512197645
2025,6,12,26,5.525512197645
2025,6,12,27,5.525512197645
2025,6,12,28,5.525512197645
2025,6,12,29,5.776442392314
2025,6,12,30,5.776442392314
2025,6,12,31,5.776442392314
2025,6,12,32,5.776442392314
2025,6,12,33,6.518238789644999
2025,6,12,34,6.518238789644999
2025,6,12,35,6.518238789644999
2025,6,12,36,7.233371821994999
2025,6,12,37,7.627341368476501
2025,6,12,38,7.627341368476501
2025,6,12,39,7.627341368476501
2025,6,12,40,7.862970698121002
2025,6,12,41,8.102118013473
2025,6,12,42,8.102118013473
2025,6,12,43,8.102118013473
2025,6,12,44,8.889103754817
2025,6,12,45,9.153880869226501
2025,6,12,46,9.153880869226501
2025,6,12,47,9.153880869226501
2025,6,12,48,9.153880869226501
2025,6,12,49,9.496306189689
2025,6,12,50,9.496306189689
2025,6,12,51,9.496306189689
2025,6,12,52,9.656901572851499
2025,6,12,53,9.527482327918499
2025,6,12,54,9.527482327918499
2025,6,12,55,9.527482327918499
2025,6,12,56,9.527482327918499
2025,6,12,57,9.69704273076
2025,6,12,58,9.69704273076
2025,6,12,59,10.0053854867835
2025,6,12,60,10.0053854867835
2025,6,12,61,9.632039748474
2025,6,12,62,9.632039748474
2025,6,12,63,9.632039748474
2025,6,12,64,9.632039748474
2025,6,12,65,9.143682751219501
2025,6,12,66,9.2690510381865
2025,6,12,67,9.2690510381865
2025,6,12,68,8.538383765455501
2025,6,12,69,8.296022183196
2025,6,12,70,8.131969232673
2025,6,12,71,8.131969232673
2025,6,12,72,8.131969232673
2025,6,12,73,7.5354465812835
2025,6,12,74,7.5354465812835
2025,6,12,75,7.532026219476001
2025,6,12,76,7.532026219476001
2025,6,12,77,7.497847658202001
2025,6,12,78,7.497847658202001
2025,6,12,79,7.497847658202001
2025,6,12,80,7.497847658202001
2025,6,12,81,7.473752181439501
2025,6,12,82,7.473752181439501
2025,6,12,83,7.473752181439501
2025,6,12,84,7.406557000243499
2025,6,12,85,7.2085505657715
2025,6,12,86,7.2085505657715
2025,6,12,87,7.2085505657715
2025,6,12,88,7.2085505657715
2025,6,12,89,7.1426099601615
2025,6,12,90,7.1426099601615
2025,6,12,91,7.1426099601615
2025,6,12,92,7.1426099601615
2025,6,12,93,7.402448118763499
2025,6,12,94,7.402448118763499
2025,6,12,95,6.654953034740999
2025,6,12,96,6.654953034740999
