Year,Month,Day,Period,Value
2025,6,12,1,14.3295405743325
2025,6,12,2,14.259907905138498
2025,6,12,3,14.259907905138498
2025,6,12,4,13.822118876824497
2025,6,12,5,13.534756364678998
2025,6,12,6,13.534756364678998
2025,6,12,7,13.534756364678998
2025,6,12,8,13.413221912893
2025,6,12,9,13.242078646984
2025,6,12,10,13.242078646984
2025,6,12,11,12.9144069372725
2025,6,12,12,12.5267453590895
2025,6,12,13,12.400178214473497
2025,6,12,14,12.400178214473497
2025,6,12,15,12.0640851598135
2025,6,12,16,12.0640851598135
2025,6,12,17,11.780201746522
2025,6,12,18,11.780201746522
2025,6,12,19,11.443712573848499
2025,6,12,20,11.443712573848499
2025,6,12,21,11.1283473510495
2025,6,12,22,10.7953494079035
2025,6,12,23,10.089759364877498
2025,6,12,24,10.089759364877498
2025,6,12,25,10.1779814324815
2025,6,12,26,9.792783809220499
2025,6,12,27,9.792783809220499
2025,6,12,28,9.792783809220499
2025,6,12,29,9.6027819198795
2025,6,12,30,9.6027819198795
2025,6,12,31,9.6027819198795
2025,6,12,32,9.2706280980555
2025,6,12,33,9.436586395928998
2025,6,12,34,9.766005916942
2025,6,12,35,9.766005916942
2025,6,12,36,10.0959815868505
2025,6,12,37,10.416237170449
2025,6,12,38,10.416237170449
2025,6,12,39,10.416237170449
2025,6,12,40,10.760600379562
2025,6,12,41,11.004158071538498
2025,6,12,42,11.351243432710499
2025,6,12,43,11.683686347828
2025,6,12,44,11.683686347828
2025,6,12,45,11.612140322507999
2025,6,12,46,11.612140322507999
2025,6,12,47,11.235341970347
2025,6,12,48,11.5637540669475
2025,6,12,49,11.448384474053999
2025,6,12,50,11.448384474053999
2025,6,12,51,11.448384474053999
2025,6,12,52,11.781820459255002
2025,6,12,53,11.428526145729
2025,6,12,54,11.7846485332455
2025,6,12,55,12.117184136832499
2025,6,12,56,12.117184136832499
2025,6,12,57,11.006981734374998
2025,6,12,58,13.027864294907
2025,6,12,59,12.7345388787925
2025,6,12,60,12.7345388787925
2025,6,12,61,12.756290676893501
2025,6,12,62,12.756290676893501
2025,6,12,63,13.0821494565465
2025,6,12,64,13.0821494565465
2025,6,12,65,12.6989986810555
2025,6,12,66,13.825528463846
2025,6,12,67,13.359023943859
2025,6,12,68,13.027794783074498
2025,6,12,69,12.951360602531999
2025,6,12,70,12.951360602531999
2025,6,12,71,12.6193954660125
2025,6,12,72,12.2618187535635
2025,6,12,73,12.163014851789999
2025,6,12,74,11.822203579807498
2025,6,12,75,11.822203579807498
2025,6,12,76,12.147656298271999
2025,6,12,77,12.2518493285815
2025,6,12,78,12.2518493285815
2025,6,12,79,12.577299841469
2025,6,12,80,12.919897576586
2025,6,12,81,13.3552524252675
2025,6,12,82,13.6831183523045
2025,6,12,83,13.6831183523045
2025,6,12,84,14.008266520358
2025,6,12,85,14.260118646212998
2025,6,12,86,14.602897347114997
2025,6,12,87,14.933655327953998
2025,6,12,88,15.2705351046985
2025,6,12,89,15.827649518648
2025,6,12,90,15.809486049698
2025,6,12,91,15.809486049698
2025,6,12,92,15.809486049698
2025,6,12,93,16.070597007014
2025,6,12,94,16.070597007014
2025,6,12,95,16.070597007014
2025,6,12,96,16.396138002794
