Year,Month,Day,Period,Value
2025,6,12,1,8.821574229842
2025,6,12,2,8.821574229842
2025,6,12,3,8.603449353587
2025,6,12,4,8.603449353587
2025,6,12,5,8.471832920077999
2025,6,12,6,8.471832920077999
2025,6,12,7,8.257992105968002
2025,6,12,8,8.133440352532
2025,6,12,9,7.772036421633
2025,6,12,10,7.772036421633
2025,6,12,11,7.179529131643001
2025,6,12,12,6.876676201400499
2025,6,12,13,6.4774821853610005
2025,6,12,14,7.744062401559
2025,6,12,15,7.522156660128
2025,6,12,16,7.274103622576999
2025,6,12,17,7.1365617979865
2025,6,12,18,6.914205847669998
2025,6,12,19,6.697854743442499
2025,6,12,20,6.697854743442499
2025,6,12,21,6.342112474466998
2025,6,12,22,6.3764394421474995
2025,6,12,23,6.154357146085499
2025,6,12,24,5.7105583181735
2025,6,12,25,5.6070466665289995
2025,6,12,26,5.826644615120999
2025,6,12,27,5.826644615120999
2025,6,12,28,5.611993866132501
2025,6,12,29,5.3289964801259995
2025,6,12,30,5.103065994554
2025,6,12,31,5.103065994554
2025,6,12,32,5.103065994554
2025,6,12,33,5.045952216569
2025,6,12,34,5.045952216569
2025,6,12,35,5.045952216569
2025,6,12,36,5.045952216569
2025,6,12,37,5.037579990904999
2025,6,12,38,5.037579990904999
2025,6,12,39,5.037579990904999
2025,6,12,40,5.037579990904999
2025,6,12,41,5.137590487925499
2025,6,12,42,5.355290537508999
2025,6,12,43,5.355290537508999
2025,6,12,44,5.5747902656105
2025,6,12,45,5.9214756218915
2025,6,12,46,5.9214756218915
2025,6,12,47,6.154003494468499
2025,6,12,48,7.260790795962
2025,6,12,49,7.382726337349
2025,6,12,50,7.382726337349
2025,6,12,51,7.6051104178115
2025,6,12,52,7.6051104178115
2025,6,12,53,7.8065884847169995
2025,6,12,54,6.7966288518479985
2025,6,12,55,6.7966288518479985
2025,6,12,56,7.015238123432
2025,6,12,57,7.116914228814499
2025,6,12,58,7.116914228814499
2025,6,12,59,7.3319572450959996
2025,6,12,60,7.283189207772499
2025,6,12,61,7.459847410498999
2025,6,12,62,7.459847410498999
2025,6,12,63,7.225367584198498
2025,6,12,64,7.225367584198498
2025,6,12,65,7.2259799753075
2025,6,12,66,7.010663883283499
2025,6,12,67,7.010663883283499
2025,6,12,68,6.7837596173875
2025,6,12,69,6.7599852328634995
2025,6,12,70,6.974208407248501
2025,6,12,71,6.974208407248501
2025,6,12,72,6.746178085823001
2025,6,12,73,6.4857181533705
2025,6,12,74,6.4857181533705
2025,6,12,75,6.4857181533705
2025,6,12,76,6.4857181533705
2025,6,12,77,6.478531551893499
2025,6,12,78,6.478531551893499
2025,6,12,79,6.478531551893499
2025,6,12,80,6.6959469193375
2025,6,12,81,7.016952290645
2025,6,12,82,7.2332068556825
2025,6,12,83,7.2332068556825
2025,6,12,84,7.683522494725
2025,6,12,85,7.8128355284705
2025,6,12,86,7.8128355284705
2025,6,12,87,8.0320014732265
2025,6,12,88,8.263409364649998
2025,6,12,89,8.465738711963498
2025,6,12,90,8.690411855938999
2025,6,12,91,8.9080501132095
2025,6,12,92,8.9080501132095
2025,6,12,93,9.192282785042499
2025,6,12,94,9.192282785042499
2025,6,12,95,9.192282785042499
2025,6,12,96,9.192282785042499
