Year,Month,Day,Period,Value
2025,6,12,1,16.5286062771445
2025,6,12,2,16.250138441234498
2025,6,12,3,15.976387756015498
2025,6,12,4,15.976387756015498
2025,6,12,5,15.589361763656997
2025,6,12,6,14.9740130662925
2025,6,12,7,13.107513863224
2025,6,12,8,12.833123199105001
2025,6,12,9,12.596683699561497
2025,6,12,10,9.760155569713998
2025,6,12,11,10.042375037865499
2025,6,12,12,10.1090097132475
2025,6,12,13,11.227704057195998
2025,6,12,14,11.227704057195998
2025,6,12,15,11.239781037550998
2025,6,12,16,8.4967250801785
2025,6,12,17,10.494802064923
2025,6,12,18,10.494802064923
2025,6,12,19,11.998753636947
2025,6,12,20,13.008516864992
2025,6,12,21,12.818211528028499
2025,6,12,22,12.901617139740999
2025,6,12,23,13.633515015967
2025,6,12,24,13.633515015967
2025,6,12,25,13.507125510692
2025,6,12,26,13.507125510692
2025,6,12,27,13.2244326750965
2025,6,12,28,13.2244326750965
2025,6,12,29,12.902486643276998
2025,6,12,30,12.614355035584499
2025,6,12,31,12.890953644986999
2025,6,12,32,12.5953474453125
2025,6,12,33,12.703668375684002
2025,6,12,34,11.246209589444499
2025,6,12,35,10.969318560304501
2025,6,12,36,10.969318560304501
2025,6,12,37,11.267582914148
2025,6,12,38,11.267582914148
2025,6,12,39,11.557838619040998
2025,6,12,40,11.840271033844
2025,6,12,41,11.817099133411
2025,6,12,42,11.754697195312499
2025,6,12,43,12.219526724196
2025,6,12,44,12.219526724196
2025,6,12,45,12.248522504933
2025,6,12,46,12.248522504933
2025,6,12,47,12.5353895938645
2025,6,12,48,12.5353895938645
2025,6,12,49,11.7948154839185
2025,6,12,50,12.8251686048695
2025,6,12,51,12.8251686048695
2025,6,12,52,13.0329963290945
2025,6,12,53,13.0329963290945
2025,6,12,54,13.0329963290945
2025,6,12,55,13.0329963290945
2025,6,12,56,13.0329963290945
2025,6,12,57,11.9489561013625
2025,6,12,58,12.222273137602
2025,6,12,59,11.767496917940498
2025,6,12,60,12.322525850365498
2025,6,12,61,11.993462710822998
2025,6,12,62,12.098206358007001
2025,6,12,63,12.066465248573998
2025,6,12,64,12.349917236541502
2025,6,12,65,12.1203112472915
2025,6,12,66,13.403596756786499
2025,6,12,67,13.966751287978498
2025,6,12,68,13.966751287978498
2025,6,12,69,13.804093346829498
2025,6,12,70,13.525683994866998
2025,6,12,71,13.251900207914499
2025,6,12,72,12.9690606291345
2025,6,12,73,12.784017509636998
2025,6,12,74,12.784017509636998
2025,6,12,75,12.682312713675
2025,6,12,76,12.682312713675
2025,6,12,77,12.263641626797
2025,6,12,78,13.180382891252501
2025,6,12,79,13.461103904853001
2025,6,12,80,13.753741904083498
2025,6,12,81,14.109958082858
2025,6,12,82,14.413649078124998
2025,6,12,83,14.0619105822305
2025,6,12,84,14.333626550353001
2025,6,12,85,14.912898823591998
2025,6,12,86,15.204059321252998
2025,6,12,87,15.204059321252998
2025,6,12,88,15.500916806226499
2025,6,12,89,15.5954615037925
2025,6,12,90,16.348048578125
2025,6,12,91,16.348048578125
2025,6,12,92,16.343947144987
2025,6,12,93,16.238121065694
2025,6,12,94,16.238121065694
2025,6,12,95,16.238121065694
2025,6,12,96,15.944471230897
