Year,Month,Day,Period,Value
2025,6,12,1,5.7456345131295
2025,6,12,2,5.7456345131295
2025,6,12,3,5.7456345131295
2025,6,12,4,5.7456345131295
2025,6,12,5,5.7386537172965
2025,6,12,6,5.7386537172965
2025,6,12,7,5.7386537172965
2025,6,12,8,5.309270016379999
2025,6,12,9,5.0480321660725
2025,6,12,10,5.0480321660725
2025,6,12,11,5.0480321660725
2025,6,12,12,5.0480321660725
2025,6,12,13,5.150834887417999
2025,6,12,14,5.150834887417999
2025,6,12,15,5.150834887417999
2025,6,12,16,5.150834887417999
2025,6,12,17,4.9884952724969995
2025,6,12,18,4.9884952724969995
2025,6,12,19,4.9884952724969995
2025,6,12,20,4.9884952724969995
2025,6,12,21,5.128182689624499
2025,6,12,22,4.676040326628
2025,6,12,23,4.245706871713999
2025,6,12,24,3.8120120993734994
2025,6,12,25,3.6592041566354996
2025,6,12,26,3.6592041566354996
2025,6,12,27,3.6592041566354996
2025,6,12,28,3.6592041566354996
2025,6,12,29,4.177842984881499
2025,6,12,30,4.177842984881499
2025,6,12,31,4.177842984881499
2025,6,12,32,4.177842984881499
2025,6,12,33,4.176094052712999
2025,6,12,34,4.176094052712999
2025,6,12,35,4.176094052712999
2025,6,12,36,4.621089261519499
2025,6,12,37,4.9850536865305
2025,6,12,38,4.9850536865305
2025,6,12,39,4.9850536865305
2025,6,12,40,4.9850536865305
2025,6,12,41,5.3021270021664995
2025,6,12,42,5.3021270021664995
2025,6,12,43,5.3021270021664995
2025,6,12,44,5.3021270021664995
2025,6,12,45,5.4831078646355
2025,6,12,46,5.4831078646355
2025,6,12,47,5.4831078646355
2025,6,12,48,5.4831078646355
2025,6,12,49,5.6757673657905
2025,6,12,50,5.6757673657905
2025,6,12,51,5.6757673657905
2025,6,12,52,5.6757673657905
2025,6,12,53,5.8753541504185
2025,6,12,54,5.8753541504185
2025,6,12,55,5.8753541504185
2025,6,12,56,5.8753541504185
2025,6,12,57,6.044595684677001
2025,6,12,58,6.044595684677001
2025,6,12,59,6.044595684677001
2025,6,12,60,6.044595684677001
2025,6,12,61,6.3004758630385
2025,6,12,62,6.3004758630385
2025,6,12,63,6.3004758630385
2025,6,12,64,6.3004758630385
2025,6,12,65,6.0152887367979995
2025,6,12,66,6.0152887367979995
2025,6,12,67,6.0152887367979995
2025,6,12,68,6.0152887367979995
2025,6,12,69,5.82984729371
2025,6,12,70,5.82984729371
2025,6,12,71,5.82984729371
2025,6,12,72,5.258104806113499
2025,6,12,73,5.0078200862085
2025,6,12,74,5.0078200862085
2025,6,12,75,5.0078200862085
2025,6,12,76,5.44602012922
2025,6,12,77,5.3120738290235
2025,6,12,78,5.3120738290235
2025,6,12,79,5.3120738290235
2025,6,12,80,5.3120738290235
2025,6,12,81,5.26937076688
2025,6,12,82,5.26937076688
2025,6,12,83,5.26937076688
2025,6,12,84,5.26937076688
2025,6,12,85,5.416457750214499
2025,6,12,86,5.416457750214499
2025,6,12,87,5.416457750214499
2025,6,12,88,5.416457750214499
2025,6,12,89,5.852854245909
2025,6,12,90,5.852854245909
2025,6,12,91,5.852854245909
2025,6,12,92,5.852854245909
2025,6,12,93,6.207776112554499
2025,6,12,94,6.207776112554499
2025,6,12,95,6.207776112554499
2025,6,12,96,6.207776112554499
