Year,Month,Day,Period,Value
2025,6,12,1,13.568921674412499
2025,6,12,2,13.568921674412499
2025,6,12,3,13.174540263544
2025,6,12,4,13.174540263544
2025,6,12,5,13.081329614649999
2025,6,12,6,13.081329614649999
2025,6,12,7,12.699061576156998
2025,6,12,8,12.294951274749002
2025,6,12,9,12.196341572222497
2025,6,12,10,12.196341572222497
2025,6,12,11,11.7886307929115
2025,6,12,12,11.7886307929115
2025,6,12,13,11.699648470146998
2025,6,12,14,11.306916668167998
2025,6,12,15,11.306916668167998
2025,6,12,16,10.835732528455999
2025,6,12,17,10.985445106580999
2025,6,12,18,10.985445106580999
2025,6,12,19,10.985445106580999
2025,6,12,20,10.985445106580999
2025,6,12,21,10.7462966884405
2025,6,12,22,10.362792821766
2025,6,12,23,10.362792821766
2025,6,12,24,10.362792821766
2025,6,12,25,9.971955610430001
2025,6,12,26,9.971955610430001
2025,6,12,27,10.355226644102999
2025,6,12,28,10.355226644102999
2025,6,12,29,10.5309701108865
2025,6,12,30,10.5309701108865
2025,6,12,31,10.5309701108865
2025,6,12,32,10.5309701108865
2025,6,12,33,10.480658386605
2025,6,12,34,10.066943863993497
2025,6,12,35,10.475139056712
2025,6,12,36,10.934768142363998
2025,6,12,37,10.6681367523665
2025,6,12,38,10.6681367523665
2025,6,12,39,11.058275500855
2025,6,12,40,11.5257223626545
2025,6,12,41,11.856537724652501
2025,6,12,42,11.849849872833499
2025,6,12,43,12.256686737454498
2025,6,12,44,12.691028665859502
2025,6,12,45,12.848199276060498
2025,6,12,46,12.848199276060498
2025,6,12,47,12.848199276060498
2025,6,12,48,12.848199276060498
2025,6,12,49,12.5824704913325
2025,6,12,50,12.5824704913325
2025,6,12,51,12.9708327198615
2025,6,12,52,12.9708327198615
2025,6,12,53,12.056181348084499
2025,6,12,54,11.674052351335
2025,6,12,55,11.270860076157
2025,6,12,56,12.094789051466
2025,6,12,57,12.0698196600135
2025,6,12,58,12.482680118127998
2025,6,12,59,12.934149400491
2025,6,12,60,12.524469004761997
2025,6,12,61,13.1305588706655
2025,6,12,62,13.1305588706655
2025,6,12,63,12.542885138827998
2025,6,12,64,12.542885138827998
2025,6,12,65,13.027094114649998
2025,6,12,66,13.027094114649998
2025,6,12,67,13.387817787750999
2025,6,12,68,13.146071923044499
2025,6,12,69,12.9083976800295
2025,6,12,70,12.9083976800295
2025,6,12,71,12.9083976800295
2025,6,12,72,12.469559303261498
2025,6,12,73,11.9668039920165
2025,6,12,74,11.9668039920165
2025,6,12,75,11.578603945710999
2025,6,12,76,11.578603945710999
2025,6,12,77,11.379151231239
2025,6,12,78,11.200713200187499
2025,6,12,79,11.609386171504
2025,6,12,80,11.609386171504
2025,6,12,81,12.279405138715001
2025,6,12,82,12.279405138715001
2025,6,12,83,12.8054140109775
2025,6,12,84,13.2182203962985
2025,6,12,85,13.287600400376501
2025,6,12,86,13.287600400376501
2025,6,12,87,13.691075134038499
2025,6,12,88,13.691075134038499
2025,6,12,89,13.943417187243499
2025,6,12,90,13.943417187243499
2025,6,12,91,13.943417187243499
2025,6,12,92,13.943417187243499
2025,6,12,93,14.072250779168998
2025,6,12,94,14.072250779168998
2025,6,12,95,13.616855515510498
2025,6,12,96,13.616855515510498
