Year,Month,Day,Period,Value
2025,6,12,1,14.926100178176
2025,6,12,2,14.421369736570501
2025,6,12,3,14.375418745352501
2025,6,12,4,14.375418745352501
2025,6,12,5,14.486545693944501
2025,6,12,6,14.0892523248455
2025,6,12,7,14.0892523248455
2025,6,12,8,14.0892523248455
2025,6,12,9,13.713356577953999
2025,6,12,10,13.713356577953999
2025,6,12,11,13.713356577953999
2025,6,12,12,13.3302322874655
2025,6,12,13,13.3599640439375
2025,6,12,14,13.3599640439375
2025,6,12,15,13.3599640439375
2025,6,12,16,12.946987738795
2025,6,12,17,12.731541969690499
2025,6,12,18,12.731541969690499
2025,6,12,19,12.347195102560999
2025,6,12,20,12.347195102560999
2025,6,12,21,12.056214449817999
2025,6,12,22,12.056214449817999
2025,6,12,23,11.665324250398498
2025,6,12,24,11.281201375884
2025,6,12,25,11.1476087273045
2025,6,12,26,11.1476087273045
2025,6,12,27,11.1476087273045
2025,6,12,28,11.1476087273045
2025,6,12,29,11.042206335737498
2025,6,12,30,11.042206335737498
2025,6,12,31,11.042206335737498
2025,6,12,32,11.042206335737498
2025,6,12,33,11.221407930315001
2025,6,12,34,11.221407930315001
2025,6,12,35,11.221407930315001
2025,6,12,36,11.221407930315001
2025,6,12,37,11.3385992936535
2025,6,12,38,11.3385992936535
2025,6,12,39,10.162697904738499
2025,6,12,40,10.5563168548695
2025,6,12,41,10.625949542142
2025,6,12,42,10.551425373202997
2025,6,12,43,10.551425373202997
2025,6,12,44,10.551425373202997
2025,6,12,45,10.615229769017498
2025,6,12,46,10.615229769017498
2025,6,12,47,11.025254433622
2025,6,12,48,10.625435353444999
2025,6,12,49,10.835967548956
2025,6,12,50,10.835967548956
2025,6,12,51,11.268755847228
2025,6,12,52,11.268755847228
2025,6,12,53,11.3099919114105
2025,6,12,54,10.926912871407499
2025,6,12,55,10.926912871407499
2025,6,12,56,11.315560902943
2025,6,12,57,11.5057194786435
2025,6,12,58,11.5057194786435
2025,6,12,59,11.888317431683001
2025,6,12,60,11.888317431683001
2025,6,12,61,11.8491613350825
2025,6,12,62,11.8491613350825
2025,6,12,63,11.410497289290001
2025,6,12,64,11.8018266516315
2025,6,12,65,12.049143695368999
2025,6,12,66,12.049143695368999
2025,6,12,67,11.6392503529885
2025,6,12,68,11.6392503529885
2025,6,12,69,11.738561826727999
2025,6,12,70,11.2465019911035
2025,6,12,71,11.2465019911035
2025,6,12,72,11.2465019911035
2025,6,12,73,11.133508057738002
2025,6,12,74,10.735184105667999
2025,6,12,75,10.3193300648955
2025,6,12,76,10.3193300648955
2025,6,12,77,10.858815048784997
2025,6,12,78,10.4331206635205
2025,6,12,79,10.821845926407999
2025,6,12,80,10.821845926407999
2025,6,12,81,11.231395017991499
2025,6,12,82,11.231395017991499
2025,6,12,83,12.022583178974498
2025,6,12,84,12.469123448704998
2025,6,12,85,12.427206584369499
2025,6,12,86,12.914560297188
2025,6,12,87,13.362191857492498
2025,6,12,88,13.821119171931498
2025,6,12,89,13.591849732037499
2025,6,12,90,14.080029921561998
2025,6,12,91,14.080029921561998
2025,6,12,92,14.080029921561998
2025,6,12,93,14.252513852874
2025,6,12,94,13.867910976106002
2025,6,12,95,13.867910976106002
2025,6,12,96,13.867910976106002
