Year,Month,Day,Period,Value
2025,6,12,1,25.193407099508995
2025,6,12,2,25.193407099508995
2025,6,12,3,22.811229296020002
2025,6,12,4,24.104921187842
2025,6,12,5,23.4275114948105
2025,6,12,6,22.815201612511
2025,6,12,7,21.704278673357496
2025,6,12,8,23.041674995438
2025,6,12,9,23.1092530973425
2025,6,12,10,23.1092530973425
2025,6,12,11,22.4924478694685
2025,6,12,12,21.8940941010495
2025,6,12,13,21.674585532561498
2025,6,12,14,21.0619909681225
2025,6,12,15,20.114732291741998
2025,6,12,16,20.114732291741998
2025,6,12,17,19.747492910299002
2025,6,12,18,19.747492910299002
2025,6,12,19,19.747492910299002
2025,6,12,20,19.148644803375998
2025,6,12,21,18.880759922502502
2025,6,12,22,18.2635729128655
2025,6,12,23,18.2635729128655
2025,6,12,24,17.641094977104498
2025,6,12,25,16.9505986737285
2025,6,12,26,16.9505986737285
2025,6,12,27,15.749849290488498
2025,6,12,28,15.1251071310735
2025,6,12,29,14.421149052320997
2025,6,12,30,13.569190917512998
2025,6,12,31,13.569190917512998
2025,6,12,32,14.1969167344895
2025,6,12,33,13.750464723996002
2025,6,12,34,13.750464723996002
2025,6,12,35,13.750464723996002
2025,6,12,36,13.1493446738995
2025,6,12,37,13.071064461565
2025,6,12,38,13.071064461565
2025,6,12,39,13.071064461565
2025,6,12,40,13.071064461565
2025,6,12,41,12.848158454807496
2025,6,12,42,12.848158454807496
2025,6,12,43,12.848158454807496
2025,6,12,44,12.848158454807496
2025,6,12,45,13.474042651145997
2025,6,12,46,13.474042651145997
2025,6,12,47,13.474042651145997
2025,6,12,48,13.474042651145997
2025,6,12,49,13.909493514741
2025,6,12,50,13.909493514741
2025,6,12,51,14.529718254733
2025,6,12,52,14.529718254733
2025,6,12,53,14.399676422417
2025,6,12,54,15.0120701527995
2025,6,12,55,15.618067348311998
2025,6,12,56,15.618067348311998
2025,6,12,57,16.392066363024
2025,6,12,58,16.392066363024
2025,6,12,59,16.392066363024
2025,6,12,60,17.0087700801205
2025,6,12,61,16.764595585881
2025,6,12,62,16.764595585881
2025,6,12,63,16.764595585881
2025,6,12,64,16.764595585881
2025,6,12,65,16.368042621749495
2025,6,12,66,16.368042621749495
2025,6,12,67,15.7475475358685
2025,6,12,68,15.7475475358685
2025,6,12,69,14.807257000371001
2025,6,12,70,14.807257000371001
2025,6,12,71,14.208386819599502
2025,6,12,72,13.602838730183999
2025,6,12,73,13.275089771042
2025,6,12,74,12.677134344291998
2025,6,12,75,12.677134344291998
2025,6,12,76,12.677134344291998
2025,6,12,77,12.505267215243
2025,6,12,78,13.1306736329835
2025,6,12,79,13.767396775918497
2025,6,12,80,15.007326535184502
2025,6,12,81,16.523049434363998
2025,6,12,82,17.734006589529997
2025,6,12,83,18.3835272314375
2025,6,12,84,19.0034871575615
2025,6,12,85,20.030437326300497
2025,6,12,86,20.636594516538
2025,6,12,87,21.8707986159905
2025,6,12,88,22.481371696794998
2025,6,12,89,24.196103736370496
2025,6,12,90,24.798244462419998
2025,6,12,91,25.412346303718
2025,6,12,92,26.018024612568997
2025,6,12,93,26.498887981181
2025,6,12,94,27.112416047046
2025,6,12,95,27.112416047046
2025,6,12,96,27.112416047046
