Year,Month,Day,Period,Value
2025,6,12,1,12.074833623517499
2025,6,12,2,12.074833623517499
2025,6,12,3,11.600266381786499
2025,6,12,4,11.600266381786499
2025,6,12,5,10.62764219594
2025,6,12,6,11.142701788520501
2025,6,12,7,11.142701788520501
2025,6,12,8,11.142701788520501
2025,6,12,9,10.793031111456001
2025,6,12,10,10.793031111456001
2025,6,12,11,10.793031111456001
2025,6,12,12,10.3033094405505
2025,6,12,13,10.22279479793
2025,6,12,14,10.22279479793
2025,6,12,15,10.22279479793
2025,6,12,16,9.739783052692001
2025,6,12,17,9.778563984260497
2025,6,12,18,9.778563984260497
2025,6,12,19,9.778563984260497
2025,6,12,20,9.778563984260497
2025,6,12,21,9.416973031279
2025,6,12,22,9.416973031279
2025,6,12,23,9.416973031279
2025,6,12,24,9.416973031279
2025,6,12,25,9.1831822850845
2025,6,12,26,9.1831822850845
2025,6,12,27,9.1831822850845
2025,6,12,28,9.1831822850845
2025,6,12,29,8.781524892634998
2025,6,12,30,8.781524892634998
2025,6,12,31,8.781524892634998
2025,6,12,32,9.261463057852499
2025,6,12,33,9.898582318801
2025,6,12,34,9.898582318801
2025,6,12,35,10.380674916941999
2025,6,12,36,10.8605154221025
2025,6,12,37,11.528157608918498
2025,6,12,38,12.006771108205502
2025,6,12,39,12.006771108205502
2025,6,12,40,12.499614375627502
2025,6,12,41,12.9586465092095
2025,6,12,42,12.9586465092095
2025,6,12,43,13.441167242387499
2025,6,12,44,13.9632291622945
2025,6,12,45,14.2611956005365
2025,6,12,46,14.2611956005365
2025,6,12,47,14.2611956005365
2025,6,12,48,14.2611956005365
2025,6,12,49,14.4143872775155
2025,6,12,50,14.4143872775155
2025,6,12,51,14.890192553004999
2025,6,12,52,14.890192553004999
2025,6,12,53,14.900542675039999
2025,6,12,54,14.900542675039999
2025,6,12,55,14.900542675039999
2025,6,12,56,15.4296124542945
2025,6,12,57,15.146023630160498
2025,6,12,58,15.146023630160498
2025,6,12,59,15.146023630160498
2025,6,12,60,15.624407622889999
2025,6,12,61,15.355233943830001
2025,6,12,62,15.355233943830001
2025,6,12,63,15.355233943830001
2025,6,12,64,14.871458616987498
2025,6,12,65,14.751336566092498
2025,6,12,66,14.751336566092498
2025,6,12,67,14.751336566092498
2025,6,12,68,14.790213512574498
2025,6,12,69,14.862839782505
2025,6,12,70,14.862839782505
2025,6,12,71,14.862839782505
2025,6,12,72,14.371348208371
2025,6,12,73,13.150530858519998
2025,6,12,74,12.672480106780998
2025,6,12,75,12.672480106780998
2025,6,12,76,12.191146661011997
2025,6,12,77,11.886770436359498
2025,6,12,78,11.886770436359498
2025,6,12,79,11.886770436359498
2025,6,12,80,11.886770436359498
2025,6,12,81,12.1649337218585
2025,6,12,82,12.1649337218585
2025,6,12,83,12.1649337218585
2025,6,12,84,12.1649337218585
2025,6,12,85,12.4641591468405
2025,6,12,86,12.4641591468405
2025,6,12,87,12.9727935139715
2025,6,12,88,12.9727935139715
2025,6,12,89,13.531909525205498
2025,6,12,90,13.531909525205498
2025,6,12,91,14.0074919108685
2025,6,12,92,14.0074919108685
2025,6,12,93,14.083144883268998
2025,6,12,94,14.083144883268998
2025,6,12,95,14.083144883268998
2025,6,12,96,13.589223576813497
