Year,Month,Day,Period,Value
2025,6,12,1,13.960495982350498
2025,6,12,2,13.395301202041
2025,6,12,3,13.395301202041
2025,6,12,4,13.395301202041
2025,6,12,5,13.2189343162635
2025,6,12,6,13.1135760723935
2025,6,12,7,12.7159638347115
2025,6,12,8,12.7159638347115
2025,6,12,9,12.234718666258
2025,6,12,10,12.234718666258
2025,6,12,11,11.840450896840501
2025,6,12,12,11.840450896840501
2025,6,12,13,11.370025909500498
2025,6,12,14,11.370025909500498
2025,6,12,15,10.9799202627455
2025,6,12,16,10.9799202627455
2025,6,12,17,10.747181631015499
2025,6,12,18,10.8224219254965
2025,6,12,19,11.211025809334998
2025,6,12,20,11.211025809334998
2025,6,12,21,11.069865880304
2025,6,12,22,11.069865880304
2025,6,12,23,10.673976071709498
2025,6,12,24,10.267450374230501
2025,6,12,25,9.940874366247
2025,6,12,26,9.940874366247
2025,6,12,27,9.051560898066498
2025,6,12,28,8.096328898124499
2025,6,12,29,7.9586027993835
2025,6,12,30,7.9586027993835
2025,6,12,31,7.9586027993835
2025,6,12,32,7.9586027993835
2025,6,12,33,7.6140658197285
2025,6,12,34,7.6140658197285
2025,6,12,35,6.884167335210001
2025,6,12,36,6.884167335210001
2025,6,12,37,7.4346413353245
2025,6,12,38,8.685810588433
2025,6,12,39,9.072619747262499
2025,6,12,40,8.686956494155497
2025,6,12,41,9.4147705818595
2025,6,12,42,9.4147705818595
2025,6,12,43,10.177216766167
2025,6,12,44,10.177216766167
2025,6,12,45,10.785496932738
2025,6,12,46,11.165949835595498
2025,6,12,47,11.165949835595498
2025,6,12,48,11.165949835595498
2025,6,12,49,11.2414130018245
2025,6,12,50,11.2414130018245
2025,6,12,51,11.2414130018245
2025,6,12,52,11.2414130018245
2025,6,12,53,11.2419625159105
2025,6,12,54,11.2419625159105
2025,6,12,55,11.2419625159105
2025,6,12,56,11.2419625159105
2025,6,12,57,11.451503846915001
2025,6,12,58,11.451503846915001
2025,6,12,59,11.451503846915001
2025,6,12,60,11.834215459483998
2025,6,12,61,12.091551607921499
2025,6,12,62,12.091551607921499
2025,6,12,63,12.091551607921499
2025,6,12,64,12.091551607921499
2025,6,12,65,11.674593025034499
2025,6,12,66,11.674593025034499
2025,6,12,67,11.2821381856755
2025,6,12,68,11.2821381856755
2025,6,12,69,11.131076119839499
2025,6,12,70,11.524073838475001
2025,6,12,71,11.0952898737175
2025,6,12,72,10.700651350422
2025,6,12,73,10.273875599679998
2025,6,12,74,9.752973379390998
2025,6,12,75,9.752973379390998
2025,6,12,76,9.36824471242
2025,6,12,77,9.462395479471002
2025,6,12,78,9.8498948392735
2025,6,12,79,10.239302023181
2025,6,12,80,10.620904682481498
2025,6,12,81,11.091172983461998
2025,6,12,82,11.091172983461998
2025,6,12,83,11.4798828073105
2025,6,12,84,11.4798828073105
2025,6,12,85,12.2716778635385
2025,6,12,86,12.2716778635385
2025,6,12,87,12.675560863965998
2025,6,12,88,12.675560863965998
2025,6,12,89,13.207007405537
2025,6,12,90,13.207007405537
2025,6,12,91,13.5968581635205
2025,6,12,92,13.5968581635205
2025,6,12,93,13.784562745552497
2025,6,12,94,13.784562745552497
2025,6,12,95,13.784562745552497
2025,6,12,96,13.784562745552497
