Year,Month,Day,Period,Value
2025,6,12,1,0.1066650120855
2025,6,12,2,0.1066650120855
2025,6,12,3,0.1066650120855
2025,6,12,4,0.1066650120855
2025,6,12,5,0.1026157173415
2025,6,12,6,0.1026157173415
2025,6,12,7,0.1026157173415
2025,6,12,8,0.1026157173415
2025,6,12,9,0.10297110449449998
2025,6,12,10,0.10297110449449998
2025,6,12,11,0.10297110449449998
2025,6,12,12,0.10297110449449998
2025,6,12,13,0.1045040889805
2025,6,12,14,0.1045040889805
2025,6,12,15,0.1045040889805
2025,6,12,16,0.1045040889805
2025,6,12,17,0.1019339409495
2025,6,12,18,0.1019339409495
2025,6,12,19,0.1019339409495
2025,6,12,20,0.1019339409495
2025,6,12,21,0.1024007278195
2025,6,12,22,0.1024007278195
2025,6,12,23,0.1024007278195
2025,6,12,24,0.1024007278195
2025,6,12,25,0.10087960282949998
2025,6,12,26,0.10087960282949998
2025,6,12,27,0.10087960282949998
2025,6,12,28,0.10087960282949998
2025,6,12,29,0.09666693268099999
2025,6,12,30,0.09666693268099999
2025,6,12,31,0.09666693268099999
2025,6,12,32,0.09666693268099999
2025,6,12,33,0.102179103488
2025,6,12,34,0.102179103488
2025,6,12,35,0.102179103488
2025,6,12,36,0.102179103488
2025,6,12,37,0.14109039912
2025,6,12,38,0.4583804578925
2025,6,12,39,0.37109845420999993
2025,6,12,40,0.37109845420999993
2025,6,12,41,0.4385441311019999
2025,6,12,42,0.4385441311019999
2025,6,12,43,0.4385441311019999
2025,6,12,44,0.4385441311019999
2025,6,12,45,0.4012598462345
2025,6,12,46,0.4012598462345
2025,6,12,47,0.4012598462345
2025,6,12,48,0.4012598462345
2025,6,12,49,0.39008581464049996
2025,6,12,50,0.39008581464049996
2025,6,12,51,0.39008581464049996
2025,6,12,52,0.39008581464049996
2025,6,12,53,0.42044836613450004
2025,6,12,54,0.42044836613450004
2025,6,12,55,0.42044836613450004
2025,6,12,56,0.42044836613450004
2025,6,12,57,0.43082117668699993
2025,6,12,58,0.43082117668699993
2025,6,12,59,0.43082117668699993
2025,6,12,60,0.43082117668699993
2025,6,12,61,0.4532573725625
2025,6,12,62,0.371363231921
2025,6,12,63,0.477280318383
2025,6,12,64,0.477280318383
2025,6,12,65,0.397849102189
2025,6,12,66,0.397849102189
2025,6,12,67,0.397849102189
2025,6,12,68,0.14062838497399996
2025,6,12,69,0.19678000711049998
2025,6,12,70,0.282931092147
2025,6,12,71,0.282931092147
2025,6,12,72,0.099948325059
2025,6,12,73,0.09951554384750001
2025,6,12,74,0.09951554384750001
2025,6,12,75,0.09951554384750001
2025,6,12,76,0.09951554384750001
2025,6,12,77,0.10046546055149999
2025,6,12,78,0.10046546055149999
2025,6,12,79,0.10046546055149999
2025,6,12,80,0.10046546055149999
2025,6,12,81,0.10385199748549999
2025,6,12,82,0.10385199748549999
2025,6,12,83,0.10385199748549999
2025,6,12,84,0.10385199748549999
2025,6,12,85,0.10177906243999998
2025,6,12,86,0.10177906243999998
2025,6,12,87,0.10177906243999998
2025,6,12,88,0.10177906243999998
2025,6,12,89,0.1025265903365
2025,6,12,90,0.1025265903365
2025,6,12,91,0.1025265903365
2025,6,12,92,0.1025265903365
2025,6,12,93,0.1026247927485
2025,6,12,94,0.1026247927485
2025,6,12,95,0.1026247927485
2025,6,12,96,0.1026247927485
