Year,Month,Day,Period,Value
2025,6,12,1,17.6704427462365
2025,6,12,2,17.6704427462365
2025,6,12,3,17.170573992929498
2025,6,12,4,16.6525726487505
2025,6,12,5,16.381886178889
2025,6,12,6,16.381886178889
2025,6,12,7,16.381886178889
2025,6,12,8,15.9167708650775
2025,6,12,9,15.736001322195
2025,6,12,10,14.421183256843
2025,6,12,11,15.476581897809998
2025,6,12,12,15.476581897809998
2025,6,12,13,15.216726636947
2025,6,12,14,15.216726636947
2025,6,12,15,15.216726636947
2025,6,12,16,14.735768356209999
2025,6,12,17,14.374136563897
2025,6,12,18,14.374136563897
2025,6,12,19,14.374136563897
2025,6,12,20,13.888405974965501
2025,6,12,21,13.424742762430999
2025,6,12,22,13.424742762430999
2025,6,12,23,12.950262695226998
2025,6,12,24,12.950262695226998
2025,6,12,25,12.261465662380003
2025,6,12,26,12.261465662380003
2025,6,12,27,11.785178179059999
2025,6,12,28,11.785178179059999
2025,6,12,29,11.516281462619999
2025,6,12,30,11.516281462619999
2025,6,12,31,11.516281462619999
2025,6,12,32,11.516281462619999
2025,6,12,33,11.6086281219205
2025,6,12,34,11.6086281219205
2025,6,12,35,11.6086281219205
2025,6,12,36,11.6086281219205
2025,6,12,37,11.464257216268999
2025,6,12,38,11.464257216268999
2025,6,12,39,11.464257216268999
2025,6,12,40,12.0184089256385
2025,6,12,41,12.234511215470496
2025,6,12,42,12.234511215470496
2025,6,12,43,12.718593298301
2025,6,12,44,12.231897208998499
2025,6,12,45,12.266522652714
2025,6,12,46,12.266522652714
2025,6,12,47,12.775080873202999
2025,6,12,48,12.775080873202999
2025,6,12,49,13.721445784700498
2025,6,12,50,13.721445784700498
2025,6,12,51,14.207935526003997
2025,6,12,52,14.153530088104
2025,6,12,53,14.055431283987499
2025,6,12,54,14.055431283987499
2025,6,12,55,14.596067145186996
2025,6,12,56,15.557237787750998
2025,6,12,57,15.540984348483
2025,6,12,58,15.540984348483
2025,6,12,59,16.021457113024
2025,6,12,60,16.021457113024
2025,6,12,61,15.799909434364
2025,6,12,62,15.799909434364
2025,6,12,63,15.799909434364
2025,6,12,64,15.4544770085255
2025,6,12,65,15.351775816036
2025,6,12,66,14.170995094206498
2025,6,12,67,14.6789993894555
2025,6,12,68,15.166908148381
2025,6,12,69,14.147987599652499
2025,6,12,70,14.694718771755
2025,6,12,71,13.5414651694795
2025,6,12,72,13.420644655737
2025,6,12,73,13.464645898808502
2025,6,12,74,12.681781965072
2025,6,12,75,12.681781965072
2025,6,12,76,11.937857872918997
2025,6,12,77,12.6475471254275
2025,6,12,78,12.6475471254275
2025,6,12,79,13.191145691207002
2025,6,12,80,13.684120244696002
2025,6,12,81,14.4075383101045
2025,6,12,82,14.913802513571499
2025,6,12,83,15.4295484564045
2025,6,12,84,15.963648740990498
2025,6,12,85,16.624882226106003
2025,6,12,86,16.624882226106003
2025,6,12,87,16.263695110657498
2025,6,12,88,16.629114963389497
2025,6,12,89,17.434817574646996
2025,6,12,90,17.434817574646996
2025,6,12,91,17.434817574646996
2025,6,12,92,17.916040669252
2025,6,12,93,18.267869648039
2025,6,12,94,16.423425690694
2025,6,12,95,18.466072180000502
2025,6,12,96,18.466072180000502
