Year,Month,Day,Period,Value
2025,6,12,1,15.518204154909501
2025,6,12,2,15.135835726505999
2025,6,12,3,15.135835726505999
2025,6,12,4,14.750417418995498
2025,6,12,5,14.56050489168
2025,6,12,6,14.56050489168
2025,6,12,7,14.176106157333999
2025,6,12,8,14.176106157333999
2025,6,12,9,13.651381654025498
2025,6,12,10,13.651381654025498
2025,6,12,11,13.651381654025498
2025,6,12,12,13.252617436245
2025,6,12,13,13.050439261348497
2025,6,12,14,13.050439261348497
2025,6,12,15,12.626066776004
2025,6,12,16,12.626066776004
2025,6,12,17,12.369154333371
2025,6,12,18,12.369154333371
2025,6,12,19,12.369154333371
2025,6,12,20,11.979503306655499
2025,6,12,21,11.703030469377502
2025,6,12,22,11.3139189954945
2025,6,12,23,10.905226173984998
2025,6,12,24,10.905226173984998
2025,6,12,25,10.727895993413497
2025,6,12,26,10.336134102959498
2025,6,12,27,10.336134102959498
2025,6,12,28,9.952267220004998
2025,6,12,29,9.8356452209455
2025,6,12,30,9.8356452209455
2025,6,12,31,9.8356452209455
2025,6,12,32,9.455522250712999
2025,6,12,33,9.419878336621501
2025,6,12,34,9.419878336621501
2025,6,12,35,9.419878336621501
2025,6,12,36,9.419878336621501
2025,6,12,37,9.242529408645499
2025,6,12,38,9.242529408645499
2025,6,12,39,9.635473054487498
2025,6,12,40,9.635473054487498
2025,6,12,41,10.255316012716497
2025,6,12,42,10.681916311616
2025,6,12,43,10.681916311616
2025,6,12,44,11.064058559905998
2025,6,12,45,11.101286982208498
2025,6,12,46,11.116914778826999
2025,6,12,47,11.524750245552498
2025,6,12,48,11.524750245552498
2025,6,12,49,11.828487576015
2025,6,12,50,11.828487576015
2025,6,12,51,12.2199140199015
2025,6,12,52,12.2199140199015
2025,6,12,53,12.119289468549999
2025,6,12,54,12.119289468549999
2025,6,12,55,12.562057134979002
2025,6,12,56,12.562057134979002
2025,6,12,57,12.781806255988
2025,6,12,58,13.165578244895999
2025,6,12,59,13.165578244895999
2025,6,12,60,13.176450293226
2025,6,12,61,13.359107791942
2025,6,12,62,13.359107791942
2025,6,12,63,13.359107791942
2025,6,12,64,12.9373702841295
2025,6,12,65,12.961619138886
2025,6,12,66,12.961619138886
2025,6,12,67,12.561620177634
2025,6,12,68,12.562022930457
2025,6,12,69,12.096226798414
2025,6,12,70,11.708504548785
2025,6,12,71,11.2577028511915
2025,6,12,72,10.8268245826015
2025,6,12,73,10.6372817063755
2025,6,12,74,10.6372817063755
2025,6,12,75,10.2190155778975
2025,6,12,76,10.2190155778975
2025,6,12,77,10.411480319372002
2025,6,12,78,10.411480319372002
2025,6,12,79,10.818804887687499
2025,6,12,80,11.236995990390499
2025,6,12,81,11.5550943931335
2025,6,12,82,11.9450157838165
2025,6,12,83,12.329264448534
2025,6,12,84,12.749657982577999
2025,6,12,85,13.589418878849
2025,6,12,86,13.996423475793
2025,6,12,87,14.3794186496345
2025,6,12,88,14.784048671760498
2025,6,12,89,15.079031452440999
2025,6,12,90,15.462931437128997
2025,6,12,91,15.855103799925502
2025,6,12,92,15.855103799925502
2025,6,12,93,16.0643924477355
2025,6,12,94,16.0643924477355
2025,6,12,95,16.0643924477355
2025,6,12,96,15.676900825530996
