Year,Month,Day,Period,Value
2025,6,12,1,17.931486397296997
2025,6,12,2,17.32736833531
2025,6,12,3,17.506641647297
2025,6,12,4,18.7003633209965
2025,6,12,5,18.199102053148497
2025,6,12,6,18.199102053148497
2025,6,12,7,17.6921779844315
2025,6,12,8,17.0650943700105
2025,6,12,9,16.016086749971
2025,6,12,10,17.115259333029
2025,6,12,11,16.1349045636405
2025,6,12,12,16.638242490704997
2025,6,12,13,16.294316238936997
2025,6,12,14,16.374273666030497
2025,6,12,15,16.374273666030497
2025,6,12,16,15.899859784215
2025,6,12,17,15.6357331703925
2025,6,12,18,14.9897037580125
2025,6,12,19,14.900763359289497
2025,6,12,20,15.432492377423
2025,6,12,21,14.806397421931498
2025,6,12,22,14.806397421931498
2025,6,12,23,14.806397421931498
2025,6,12,24,14.317645662550998
2025,6,12,25,14.093691410127999
2025,6,12,26,13.467516999628998
2025,6,12,27,13.467516999628998
2025,6,12,28,13.287818879049
2025,6,12,29,13.054422623803
2025,6,12,30,12.580005433622
2025,6,12,31,12.580005433622
2025,6,12,32,12.580005433622
2025,6,12,33,12.164815651175001
2025,6,12,34,12.164815651175001
2025,6,12,35,12.164815651175001
2025,6,12,36,12.164815651175001
2025,6,12,37,12.221229303090498
2025,6,12,38,12.221229303090498
2025,6,12,39,12.700025973739498
2025,6,12,40,12.700025973739498
2025,6,12,41,13.3726501251145
2025,6,12,42,13.3726501251145
2025,6,12,43,13.9907452539635
2025,6,12,44,13.9907452539635
2025,6,12,45,14.139282675353
2025,6,12,46,14.173099323135501
2025,6,12,47,14.173099323135501
2025,6,12,48,13.5623982284725
2025,6,12,49,14.061465905365997
2025,6,12,50,14.061465905365997
2025,6,12,51,14.061465905365997
2025,6,12,52,14.061465905365997
2025,6,12,53,12.7289069921585
2025,6,12,54,13.3437117255365
2025,6,12,55,13.3437117255365
2025,6,12,56,13.828466870921998
2025,6,12,57,14.767293174469001
2025,6,12,58,15.290413301294997
2025,6,12,59,15.857838082657997
2025,6,12,60,15.857838082657997
2025,6,12,61,16.863985393761
2025,6,12,62,16.8580831793165
2025,6,12,63,16.181074033530997
2025,6,12,64,16.181074033530997
2025,6,12,65,15.797651827441001
2025,6,12,66,15.797651827441001
2025,6,12,67,15.797651827441001
2025,6,12,68,15.797651827441001
2025,6,12,69,14.559589052948501
2025,6,12,70,14.049174857492499
2025,6,12,71,14.049174857492499
2025,6,12,72,14.049174857492499
2025,6,12,73,13.7291995448795
2025,6,12,74,13.7291995448795
2025,6,12,75,13.7291995448795
2025,6,12,76,14.017838724537999
2025,6,12,77,14.246742942574999
2025,6,12,78,14.246742942574999
2025,6,12,79,14.724051101848
2025,6,12,80,15.263241478501499
2025,6,12,81,15.292253801065998
2025,6,12,82,14.703790020699998
2025,6,12,83,16.210746203267
2025,6,12,84,16.210746203267
2025,6,12,85,16.32469350633
2025,6,12,86,16.32469350633
2025,6,12,87,16.8331138059425
2025,6,12,88,17.381883003507
2025,6,12,89,18.004301352532003
2025,6,12,90,18.004301352532003
2025,6,12,91,18.512013246122
2025,6,12,92,19.491483072935498
2025,6,12,93,19.553981007868998
2025,6,12,94,19.553981007868998
2025,6,12,95,19.553981007868998
2025,6,12,96,19.553981007868998
