Year,Month,Day,Period,Value
2025,6,12,1,7.007093741103501
2025,6,12,2,7.007093741103501
2025,6,12,3,7.007093741103501
2025,6,12,4,7.007093741103501
2025,6,12,5,6.615827291942
2025,6,12,6,6.615827291942
2025,6,12,7,6.615827291942
2025,6,12,8,6.244991843749999
2025,6,12,9,6.1329485140715
2025,6,12,10,6.080769244583
2025,6,12,11,6.080769244583
2025,6,12,12,6.080769244583
2025,6,12,13,6.0143237968605
2025,6,12,14,6.0143237968605
2025,6,12,15,6.0143237968605
2025,6,12,16,6.0143237968605
2025,6,12,17,5.749578157119499
2025,6,12,18,5.749578157119499
2025,6,12,19,5.749578157119499
2025,6,12,20,5.749578157119499
2025,6,12,21,5.482119748061001
2025,6,12,22,5.482119748061001
2025,6,12,23,5.482119748061001
2025,6,12,24,5.482119748061001
2025,6,12,25,5.0910557780995
2025,6,12,26,5.0910557780995
2025,6,12,27,5.0910557780995
2025,6,12,28,5.0910557780995
2025,6,12,29,4.7194782797965
2025,6,12,30,4.7194782797965
2025,6,12,31,4.7194782797965
2025,6,12,32,4.7194782797965
2025,6,12,33,4.8586112112504996
2025,6,12,34,4.8586112112504996
2025,6,12,35,4.8586112112504996
2025,6,12,36,5.2512536331255
2025,6,12,37,5.930439303761499
2025,6,12,38,7.488427186872499
2025,6,12,39,7.488427186872499
2025,6,12,40,7.857099922188
2025,6,12,41,8.425220978899999
2025,6,12,42,8.425220978899999
2025,6,12,43,8.826584866902
2025,6,12,44,8.826584866902
2025,6,12,45,9.2141112721405
2025,6,12,46,9.2141112721405
2025,6,12,47,9.2141112721405
2025,6,12,48,9.5917564935555
2025,6,12,49,9.704572787579998
2025,6,12,50,9.704572787579998
2025,6,12,51,9.704572787579998
2025,6,12,52,9.704572787579998
2025,6,12,53,9.881281736656
2025,6,12,54,9.881281736656
2025,6,12,55,9.881281736656
2025,6,12,56,9.881281736656
2025,6,12,57,10.051993577241
2025,6,12,58,10.051993577241
2025,6,12,59,10.051993577241
2025,6,12,60,10.051993577241
2025,6,12,61,9.956944634153
2025,6,12,62,9.956944634153
2025,6,12,63,9.515379694172
2025,6,12,64,9.515379694172
2025,6,12,65,9.5980725067865
2025,6,12,66,9.5980725067865
2025,6,12,67,9.227308215570499
2025,6,12,68,9.227308215570499
2025,6,12,69,9.5057765938355
2025,6,12,70,9.5057765938355
2025,6,12,71,9.5057765938355
2025,6,12,72,9.122765402443
2025,6,12,73,8.718996061545
2025,6,12,74,8.718996061545
2025,6,12,75,7.509776232150498
2025,6,12,76,7.509776232150498
2025,6,12,77,7.283625062329
2025,6,12,78,6.877790108177999
2025,6,12,79,7.255531326428
2025,6,12,80,7.255531326428
2025,6,12,81,7.244446891879998
2025,6,12,82,7.244446891879998
2025,6,12,83,7.244446891879998
2025,6,12,84,7.244446891879998
2025,6,12,85,7.203555096572999
2025,6,12,86,7.203555096572999
2025,6,12,87,7.203555096572999
2025,6,12,88,7.203555096572999
2025,6,12,89,7.1988964298294995
2025,6,12,90,7.1988964298294995
2025,6,12,91,7.1988964298294995
2025,6,12,92,7.1988964298294995
2025,6,12,93,7.375376975136501
2025,6,12,94,7.375376975136501
2025,6,12,95,7.375376975136501
2025,6,12,96,7.375376975136501
