Year,Month,Day,Period,Value
2025,6,12,1,5.219566614564499
2025,6,12,2,4.815773536596
2025,6,12,3,4.815773536596
2025,6,12,4,4.41478343966
2025,6,12,5,4.290738426579
2025,6,12,6,4.290738426579
2025,6,12,7,4.290738426579
2025,6,12,8,4.290738426579
2025,6,12,9,4.054794368328
2025,6,12,10,3.629069629262
2025,6,12,11,4.066261145072501
2025,6,12,12,3.6770020963939998
2025,6,12,13,3.6193440651665
2025,6,12,14,3.6193440651665
2025,6,12,15,3.6193440651665
2025,6,12,16,3.6193440651665
2025,6,12,17,3.5384961815555
2025,6,12,18,3.5384961815555
2025,6,12,19,3.5384961815555
2025,6,12,20,3.5384961815555
2025,6,12,21,3.3854733216094997
2025,6,12,22,3.3854733216094997
2025,6,12,23,3.7674059135349998
2025,6,12,24,4.152806558351001
2025,6,12,25,4.2439811161825
2025,6,12,26,4.2439811161825
2025,6,12,27,4.647731980853499
2025,6,12,28,4.647731980853499
2025,6,12,29,5.266810815123
2025,6,12,30,5.266810815123
2025,6,12,31,5.266810815123
2025,6,12,32,5.657689408145499
2025,6,12,33,5.8848535344004995
2025,6,12,34,6.356494499728999
2025,6,12,35,6.7471584828780005
2025,6,12,36,6.7471584828780005
2025,6,12,37,6.9830694393955
2025,6,12,38,7.3745731327124995
2025,6,12,39,7.3745731327124995
2025,6,12,40,7.775512194043
2025,6,12,41,7.810363854029
2025,6,12,42,8.191853974667
2025,6,12,43,8.191853974667
2025,6,12,44,8.191853974667
2025,6,12,45,8.7650380780105
2025,6,12,46,7.944038163193
2025,6,12,47,8.351172961494
2025,6,12,48,8.792131566663498
2025,6,12,49,8.770795194414
2025,6,12,50,8.770795194414
2025,6,12,51,8.770795194414
2025,6,12,52,8.770795194414
2025,6,12,53,8.5284634055225
2025,6,12,54,8.5284634055225
2025,6,12,55,8.136069255688
2025,6,12,56,8.136069255688
2025,6,12,57,8.298141851163999
2025,6,12,58,8.298141851163999
2025,6,12,59,8.298141851163999
2025,6,12,60,8.298141851163999
2025,6,12,61,8.301214870750998
2025,6,12,62,8.301214870750998
2025,6,12,63,8.301214870750998
2025,6,12,64,7.792648930742499
2025,6,12,65,8.023376564367998
2025,6,12,66,8.1573703025485
2025,6,12,67,8.1573703025485
2025,6,12,68,8.1573703025485
2025,6,12,69,7.9975393326015
2025,6,12,70,7.9975393326015
2025,6,12,71,7.9975393326015
2025,6,12,72,7.9975393326015
2025,6,12,73,7.634120552877499
2025,6,12,74,7.634120552877499
2025,6,12,75,7.634120552877499
2025,6,12,76,7.2341745616305
2025,6,12,77,7.170305607492499
2025,6,12,78,7.170305607492499
2025,6,12,79,7.170305607492499
2025,6,12,80,6.7534176573049995
2025,6,12,81,6.5459639953235005
2025,6,12,82,6.5459639953235005
2025,6,12,83,6.104768706431999
2025,6,12,84,6.104768706431999
2025,6,12,85,6.1118030327035
2025,6,12,86,6.1118030327035
2025,6,12,87,6.1118030327035
2025,6,12,88,5.6817732965895
2025,6,12,89,5.658249950116498
2025,6,12,90,5.658249950116498
2025,6,12,91,5.658249950116498
2025,6,12,92,5.658249950116498
2025,6,12,93,5.6956670577235
2025,6,12,94,5.250857515112
2025,6,12,95,4.835432133653
2025,6,12,96,4.835432133653
