Year,Month,Day,Period,Value
2025,6,12,1,0.09097339836199998
2025,6,12,2,0.09097339836199998
2025,6,12,3,0.09097339836199998
2025,6,12,4,0.09097339836199998
2025,6,12,5,0.09889888621250001
2025,6,12,6,0.09889888621250001
2025,6,12,7,0.09889888621250001
2025,6,12,8,0.09889888621250001
2025,6,12,9,0.0894969453455
2025,6,12,10,0.0894969453455
2025,6,12,11,0.0894969453455
2025,6,12,12,0.0894969453455
2025,6,12,13,0.08439707280949998
2025,6,12,14,0.08439707280949998
2025,6,12,15,0.08439707280949998
2025,6,12,16,0.08439707280949998
2025,6,12,17,0.08462815219649998
2025,6,12,18,0.08462815219649998
2025,6,12,19,0.08462815219649998
2025,6,12,20,0.08462815219649998
2025,6,12,21,0.090777102009
2025,6,12,22,0.090777102009
2025,6,12,23,0.090777102009
2025,6,12,24,0.090777102009
2025,6,12,25,0.0907958494135
2025,6,12,26,0.0907958494135
2025,6,12,27,0.0907958494135
2025,6,12,28,0.0907958494135
2025,6,12,29,0.08898552265899999
2025,6,12,30,0.08898552265899999
2025,6,12,31,0.08898552265899999
2025,6,12,32,0.08898552265899999
2025,6,12,33,0.090271193265
2025,6,12,34,0.090271193265
2025,6,12,35,0.090271193265
2025,6,12,36,0.090271193265
2025,6,12,37,0.0902297392645
2025,6,12,38,0.0902297392645
2025,6,12,39,0.0902297392645
2025,6,12,40,0.0902297392645
2025,6,12,41,0.08898476336200001
2025,6,12,42,0.08898476336200001
2025,6,12,43,0.08898476336200001
2025,6,12,44,0.08898476336200001
2025,6,12,45,0.081329784107
2025,6,12,46,0.081329784107
2025,6,12,47,0.081329784107
2025,6,12,48,0.08339460190600001
2025,6,12,49,0.07314524942999999
2025,6,12,50,0.07314524942999999
2025,6,12,51,0.084436610489
2025,6,12,52,0.084436610489
2025,6,12,53,0.09051447563949999
2025,6,12,54,0.09393910397299997
2025,6,12,55,0.09308012212400002
2025,6,12,56,0.09226203384199998
2025,6,12,57,0.0853865452715
2025,6,12,58,0.0853865452715
2025,6,12,59,0.0853865452715
2025,6,12,60,0.0780739004925
2025,6,12,61,0.085687931945
2025,6,12,62,0.0901269449135
2025,6,12,63,0.08394435101249999
2025,6,12,64,0.0892198742545
2025,6,12,65,0.0892198742545
2025,6,12,66,0.0892198742545
2025,6,12,67,0.0892198742545
2025,6,12,68,0.0892198742545
2025,6,12,69,0.08168576785049998
2025,6,12,70,0.08168576785049998
2025,6,12,71,0.08168576785049998
2025,6,12,72,0.08168576785049998
2025,6,12,73,0.088654252225
2025,6,12,74,0.088654252225
2025,6,12,75,0.088654252225
2025,6,12,76,0.088654252225
2025,6,12,77,0.082441105659
2025,6,12,78,0.082441105659
2025,6,12,79,0.082441105659
2025,6,12,80,0.082441105659
2025,6,12,81,0.0736033043845
2025,6,12,82,0.0736033043845
2025,6,12,83,0.0736033043845
2025,6,12,84,0.0736033043845
2025,6,12,85,0.08518525925249999
2025,6,12,86,0.08518525925249999
2025,6,12,87,0.08518525925249999
2025,6,12,88,0.08518525925249999
2025,6,12,89,0.084463005099
2025,6,12,90,0.084463005099
2025,6,12,91,0.084463005099
2025,6,12,92,0.084463005099
2025,6,12,93,0.0863300983435
2025,6,12,94,0.0863300983435
2025,6,12,95,0.0863300983435
2025,6,12,96,0.0863300983435
