Year,Month,Day,Period,Value
2025,6,12,1,16.9483520946905
2025,6,12,2,16.9483520946905
2025,6,12,3,16.9483520946905
2025,6,12,4,16.4598441961965
2025,6,12,5,15.931801709625999
2025,6,12,6,15.931801709625999
2025,6,12,7,15.925093989535501
2025,6,12,8,15.925093989535501
2025,6,12,9,15.555539620010501
2025,6,12,10,15.555539620010501
2025,6,12,11,15.0607984716585
2025,6,12,12,15.0607984716585
2025,6,12,13,14.583744098368498
2025,6,12,14,14.583744098368498
2025,6,12,15,14.092245925581999
2025,6,12,16,14.092245925581999
2025,6,12,17,13.439565071481999
2025,6,12,18,13.439565071481999
2025,6,12,19,13.439565071481999
2025,6,12,20,13.439565071481999
2025,6,12,21,12.9895611419365
2025,6,12,22,12.9895611419365
2025,6,12,23,12.504772876739
2025,6,12,24,12.0274272045785
2025,6,12,25,11.208321319970498
2025,6,12,26,11.208321319970498
2025,6,12,27,10.732320724367
2025,6,12,28,10.732320724367
2025,6,12,29,10.191816167313
2025,6,12,30,10.191816167313
2025,6,12,31,10.191816167313
2025,6,12,32,10.191816167313
2025,6,12,33,10.5858180019955
2025,6,12,34,10.5858180019955
2025,6,12,35,10.5858180019955
2025,6,12,36,10.5858180019955
2025,6,12,37,10.806598826842501
2025,6,12,38,10.806598826842501
2025,6,12,39,11.2910748221095
2025,6,12,40,11.789462783560001
2025,6,12,41,12.075610438583999
2025,6,12,42,12.567205710993997
2025,6,12,43,12.567205710993997
2025,6,12,44,13.041627312329
2025,6,12,45,13.511902230040501
2025,6,12,46,13.511902230040501
2025,6,12,47,13.987266155109497
2025,6,12,48,13.987266155109497
2025,6,12,49,14.668417555285997
2025,6,12,50,14.668417555285997
2025,6,12,51,15.161920669879498
2025,6,12,52,15.161920669879498
2025,6,12,53,15.303257153541503
2025,6,12,54,14.7882847174095
2025,6,12,55,14.810514312186998
2025,6,12,56,15.311746889455499
2025,6,12,57,16.312467559135
2025,6,12,58,16.312467559135
2025,6,12,59,16.802888813754997
2025,6,12,60,16.802888813754997
2025,6,12,61,16.171767764086
2025,6,12,62,16.171767764086
2025,6,12,63,16.171767764086
2025,6,12,64,16.171767764086
2025,6,12,65,15.730289998632
2025,6,12,66,14.868127382185
2025,6,12,67,14.868127382185
2025,6,12,68,14.868127382185
2025,6,12,69,14.5090952600935
2025,6,12,70,14.5090952600935
2025,6,12,71,14.034248850165499
2025,6,12,72,14.034248850165499
2025,6,12,73,13.498384194371999
2025,6,12,74,13.498384194371999
2025,6,12,75,13.008126260921
2025,6,12,76,13.008126260921
2025,6,12,77,12.470680387203497
2025,6,12,78,12.98260184144
2025,6,12,79,12.98260184144
2025,6,12,80,13.466351786068499
2025,6,12,81,14.341815062299998
2025,6,12,82,13.919842533987499
2025,6,12,83,14.4104348112175
2025,6,12,84,14.906079649549001
2025,6,12,85,15.738175062956497
2025,6,12,86,15.738175062956497
2025,6,12,87,16.219437876026
2025,6,12,88,16.219437876026
2025,6,12,89,16.980654848883
2025,6,12,90,16.980654848883
2025,6,12,91,16.980654848883
2025,6,12,92,16.980654848883
2025,6,12,93,16.9309853090785
2025,6,12,94,16.9309853090785
2025,6,12,95,16.429996574618
2025,6,12,96,16.429996574618
