Year,Month,Day,Period,Value
2025,6,12,1,11.682006927491999
2025,6,12,2,11.682006927491999
2025,6,12,3,11.184426677264499
2025,6,12,4,11.184426677264499
2025,6,12,5,10.946846225507498
2025,6,12,6,10.946846225507498
2025,6,12,7,10.946846225507498
2025,6,12,8,10.4703005450505
2025,6,12,9,10.197768043396998
2025,6,12,10,10.197768043396998
2025,6,12,11,10.197768043396998
2025,6,12,12,10.197768043396998
2025,6,12,13,9.771651037037998
2025,6,12,14,9.771651037037998
2025,6,12,15,9.771651037037998
2025,6,12,16,9.285649017507499
2025,6,12,17,9.228364198833999
2025,6,12,18,9.228364198833999
2025,6,12,19,9.228364198833999
2025,6,12,20,9.228364198833999
2025,6,12,21,8.811358720318
2025,6,12,22,6.839375501254999
2025,6,12,23,6.839375501254999
2025,6,12,24,6.839375501254999
2025,6,12,25,6.7581088653485
2025,6,12,26,6.7581088653485
2025,6,12,27,6.7581088653485
2025,6,12,28,7.5386114758075005
2025,6,12,29,9.125894718479
2025,6,12,30,9.125894718479
2025,6,12,31,8.643456748674
2025,6,12,32,8.643456748674
2025,6,12,33,8.1100996169875
2025,6,12,34,8.1100996169875
2025,6,12,35,8.1100996169875
2025,6,12,36,8.1100996169875
2025,6,12,37,8.412422377138999
2025,6,12,38,8.412422377138999
2025,6,12,39,8.888718122333499
2025,6,12,40,9.366686671133
2025,6,12,41,9.945032059676999
2025,6,12,42,9.945032059676999
2025,6,12,43,10.423687501084
2025,6,12,44,10.423687501084
2025,6,12,45,10.7811825529485
2025,6,12,46,10.7811825529485
2025,6,12,47,11.9405921556515
2025,6,12,48,12.916615985344501
2025,6,12,49,13.293630610600998
2025,6,12,50,13.293630610600998
2025,6,12,51,13.293630610600998
2025,6,12,52,13.293630610600998
2025,6,12,53,12.669975330605999
2025,6,12,54,12.669975330605999
2025,6,12,55,12.669975330605999
2025,6,12,56,13.151606691976498
2025,6,12,57,13.4820446833655
2025,6,12,58,13.4820446833655
2025,6,12,59,13.977158791172497
2025,6,12,60,13.977158791172497
2025,6,12,61,12.9219775260895
2025,6,12,62,12.9219775260895
2025,6,12,63,12.9219775260895
2025,6,12,64,12.9219775260895
2025,6,12,65,12.5132504819795
2025,6,12,66,11.739232701784498
2025,6,12,67,12.215808175609498
2025,6,12,68,12.215808175609498
2025,6,12,69,12.113285743328001
2025,6,12,70,12.113285743328001
2025,6,12,71,12.113285743328001
2025,6,12,72,11.5997852767445
2025,6,12,73,11.409316636690498
2025,6,12,74,11.409316636690498
2025,6,12,75,11.409316636690498
2025,6,12,76,11.409316636690498
2025,6,12,77,11.268678615875999
2025,6,12,78,11.268678615875999
2025,6,12,79,11.268678615875999
2025,6,12,80,11.268678615875999
2025,6,12,81,11.266937403227
2025,6,12,82,11.266937403227
2025,6,12,83,11.213571406763
2025,6,12,84,11.213571406763
2025,6,12,85,11.256464817432999
2025,6,12,86,11.256464817432999
2025,6,12,87,11.256464817432999
2025,6,12,88,11.256464817432999
2025,6,12,89,11.678546594121
2025,6,12,90,11.678546594121
2025,6,12,91,12.2278873615415
2025,6,12,92,12.2278873615415
2025,6,12,93,12.363096535355501
2025,6,12,94,12.363096535355501
2025,6,12,95,12.363096535355501
2025,6,12,96,12.363096535355501
