Year,Month,Day,Period,Value
2025,6,12,1,17.192220953809
2025,6,12,2,17.192220953809
2025,6,12,3,16.587540144273998
2025,6,12,4,16.587540144273998
2025,6,12,5,15.9953799072485
2025,6,12,6,15.9953799072485
2025,6,12,7,15.9953799072485
2025,6,12,8,15.388250599908998
2025,6,12,9,15.108901129789498
2025,6,12,10,15.108901129789498
2025,6,12,11,13.611487358034498
2025,6,12,12,14.386620708229001
2025,6,12,13,10.967601627081
2025,6,12,14,11.714583317860498
2025,6,12,15,12.3424525877345
2025,6,12,16,12.130717629618498
2025,6,12,17,12.067789354071
2025,6,12,18,11.940472982179498
2025,6,12,19,11.940472982179498
2025,6,12,20,11.940472982179498
2025,6,12,21,12.773316501995499
2025,6,12,22,12.773316501995499
2025,6,12,23,12.1537207130185
2025,6,12,24,11.5239017130765
2025,6,12,25,10.792719944314
2025,6,12,26,10.792719944314
2025,6,12,27,10.3375001505765
2025,6,12,28,10.3375001505765
2025,6,12,29,9.767059694628497
2025,6,12,30,9.767059694628497
2025,6,12,31,9.767059694628497
2025,6,12,32,9.767059694628497
2025,6,12,33,8.998566197835498
2025,6,12,34,8.998566197835498
2025,6,12,35,8.998566197835498
2025,6,12,36,8.998566197835498
2025,6,12,37,8.9630800909705
2025,6,12,38,8.9630800909705
2025,6,12,39,8.9630800909705
2025,6,12,40,8.9630800909705
2025,6,12,41,9.522813464900999
2025,6,12,42,9.522813464900999
2025,6,12,43,9.522813464900999
2025,6,12,44,9.522813464900999
2025,6,12,45,9.925537868499
2025,6,12,46,9.925537868499
2025,6,12,47,9.925537868499
2025,6,12,48,10.549539622946499
2025,6,12,49,11.0886340208435
2025,6,12,50,11.0886340208435
2025,6,12,51,10.317104456917502
2025,6,12,52,11.6664685109775
2025,6,12,53,11.170268626538999
2025,6,12,54,11.034719613082
2025,6,12,55,11.6588129532105
2025,6,12,56,11.6588129532105
2025,6,12,57,12.025478559220497
2025,6,12,58,12.025478559220497
2025,6,12,59,12.025478559220497
2025,6,12,60,12.025478559220497
2025,6,12,61,12.186536553119499
2025,6,12,62,12.186536553119499
2025,6,12,63,12.186536553119499
2025,6,12,64,12.8007001867305
2025,6,12,65,12.053991047417
2025,6,12,66,12.053991047417
2025,6,12,67,12.053991047417
2025,6,12,68,12.053991047417
2025,6,12,69,11.769342949732499
2025,6,12,70,11.769342949732499
2025,6,12,71,11.132953047788002
2025,6,12,72,10.517065864222499
2025,6,12,73,9.950985038549499
2025,6,12,74,9.950985038549499
2025,6,12,75,9.950985038549499
2025,6,12,76,9.950985038549499
2025,6,12,77,9.671481105725999
2025,6,12,78,9.671481105725999
2025,6,12,79,10.365938697708
2025,6,12,80,10.9883967651975
2025,6,12,81,12.035911444628498
2025,6,12,82,12.035911444628498
2025,6,12,83,13.482237779823999
2025,6,12,84,14.085945369468499
2025,6,12,85,15.137010865162997
2025,6,12,86,15.137010865162997
2025,6,12,87,15.7970140360395
2025,6,12,88,16.408960902059
2025,6,12,89,17.2500536233465
2025,6,12,90,17.2500536233465
2025,6,12,91,17.2500536233465
2025,6,12,92,17.2500536233465
2025,6,12,93,17.509989442005498
2025,6,12,94,17.509989442005498
2025,6,12,95,16.899992342211
2025,6,12,96,16.899992342211
