Year,Month,Day,Period,Value
2025,6,12,1,20.784742436645
2025,6,12,2,21.287045351505995
2025,6,12,3,21.287045351505995
2025,6,12,4,21.287045351505995
2025,6,12,5,20.052135051607998
2025,6,12,6,20.052135051607998
2025,6,12,7,19.0674879582
2025,6,12,8,19.0674879582
2025,6,12,9,18.8218282428715
2025,6,12,10,20.8516231784905
2025,6,12,11,20.131175519103
2025,6,12,12,20.131175519103
2025,6,12,13,19.97171089188
2025,6,12,14,19.97171089188
2025,6,12,15,19.97171089188
2025,6,12,16,19.434475777315498
2025,6,12,17,19.180652932254
2025,6,12,18,19.180652932254
2025,6,12,19,18.6449383280105
2025,6,12,20,18.6449383280105
2025,6,12,21,17.900753833143497
2025,6,12,22,17.900753833143497
2025,6,12,23,17.4164543925075
2025,6,12,24,16.933020026175
2025,6,12,25,15.8251524619925
2025,6,12,26,15.8251524619925
2025,6,12,27,15.3421649781015
2025,6,12,28,14.8658940546875
2025,6,12,29,14.344751281877501
2025,6,12,30,14.344751281877501
2025,6,12,31,13.8634586573615
2025,6,12,32,13.8634586573615
2025,6,12,33,13.1393697168965
2025,6,12,34,13.1393697168965
2025,6,12,35,13.1393697168965
2025,6,12,36,12.998834327726499
2025,6,12,37,12.998079568429999
2025,6,12,38,12.998079568429999
2025,6,12,39,12.287353098140999
2025,6,12,40,12.287353098140999
2025,6,12,41,12.84711903145
2025,6,12,42,12.84711903145
2025,6,12,43,13.847900390654
2025,6,12,44,13.847900390654
2025,6,12,45,14.799231791514497
2025,6,12,46,14.799231791514497
2025,6,12,47,14.473411627537498
2025,6,12,48,14.974581327782998
2025,6,12,49,15.4797465211565
2025,6,12,50,15.4797465211565
2025,6,12,51,15.970249418282501
2025,6,12,52,16.0172707290145
2025,6,12,53,15.812213715699498
2025,6,12,54,16.316861393932
2025,6,12,55,16.4906054509295
2025,6,12,56,15.822611275718502
2025,6,12,57,16.9966114572595
2025,6,12,58,16.9966114572595
2025,6,12,59,16.9966114572595
2025,6,12,60,16.9966114572595
2025,6,12,61,17.263407253136
2025,6,12,62,17.256289060702994
2025,6,12,63,17.256289060702994
2025,6,12,64,17.256289060702994
2025,6,12,65,16.956850670991
2025,6,12,66,16.956850670991
2025,6,12,67,16.956850670991
2025,6,12,68,16.447111779824
2025,6,12,69,15.798911935048
2025,6,12,70,15.798911935048
2025,6,12,71,15.277909288691497
2025,6,12,72,14.7888132604355
2025,6,12,73,14.0588000316775
2025,6,12,74,14.0588000316775
2025,6,12,75,14.0588000316775
2025,6,12,76,13.5593240880185
2025,6,12,77,13.864852292769502
2025,6,12,78,13.864852292769502
2025,6,12,79,14.779555531763
2025,6,12,80,15.2654097053205
2025,6,12,81,16.2409767274755
2025,6,12,82,16.749289984289497
2025,6,12,83,17.8504752105955
2025,6,12,84,18.350356112654495
2025,6,12,85,19.105335406421
2025,6,12,86,19.594719425182
2025,6,12,87,20.105549606923
2025,6,12,88,21.095471066549003
2025,6,12,89,18.598398104241998
2025,6,12,90,19.188643918510003
2025,6,12,91,19.666265450502
2025,6,12,92,20.1539700670055
2025,6,12,93,20.467108579038
2025,6,12,94,21.728185464815503
2025,6,12,95,20.795363989279
2025,6,12,96,19.4437666077215
