Year,Month,Day,Period,Value
2025,6,12,1,6.5974850808625
2025,6,12,2,6.550053840143
2025,6,12,3,5.885105114806501
2025,6,12,4,6.6168689208765
2025,6,12,5,6.5820487174804985
2025,6,12,6,6.5820487174804985
2025,6,12,7,6.5820487174804985
2025,6,12,8,6.5820487174804985
2025,6,12,9,6.1837214570449985
2025,6,12,10,6.1837214570449985
2025,6,12,11,6.1837214570449985
2025,6,12,12,6.1837214570449985
2025,6,12,13,5.915308593579
2025,6,12,14,5.8693631163035
2025,6,12,15,5.8693631163035
2025,6,12,16,5.8693631163035
2025,6,12,17,5.6262009999855
2025,6,12,18,5.6262009999855
2025,6,12,19,5.5172654548494995
2025,6,12,20,5.5172654548494995
2025,6,12,21,5.3371198913945
2025,6,12,22,5.3371198913945
2025,6,12,23,5.3371198913945
2025,6,12,24,5.3371198913945
2025,6,12,25,4.9814217701159995
2025,6,12,26,4.9814217701159995
2025,6,12,27,4.9814217701159995
2025,6,12,28,4.9814217701159995
2025,6,12,29,4.601523334853499
2025,6,12,30,4.601523334853499
2025,6,12,31,4.601523334853499
2025,6,12,32,4.601523334853499
2025,6,12,33,4.804821508981998
2025,6,12,34,4.804821508981998
2025,6,12,35,4.804821508981998
2025,6,12,36,4.804821508981998
2025,6,12,37,5.368229283802
2025,6,12,38,5.368229283802
2025,6,12,39,5.7007168889715
2025,6,12,40,5.7115701718185
2025,6,12,41,6.3131017970459995
2025,6,12,42,6.3131017970459995
2025,6,12,43,6.8269525888025
2025,6,12,44,6.8269525888025
2025,6,12,45,7.241398133640001
2025,6,12,46,7.241398133640001
2025,6,12,47,7.241398133640001
2025,6,12,48,7.241398133640001
2025,6,12,49,7.3502420750165
2025,6,12,50,7.3502420750165
2025,6,12,51,7.3502420750165
2025,6,12,52,7.8724755960455
2025,6,12,53,7.65034971272
2025,6,12,54,7.65034971272
2025,6,12,55,7.65034971272
2025,6,12,56,7.65034971272
2025,6,12,57,7.79031960641
2025,6,12,58,7.79031960641
2025,6,12,59,7.79031960641
2025,6,12,60,8.3103909569175
2025,6,12,61,7.895061572293499
2025,6,12,62,7.895061572293499
2025,6,12,63,7.895061572293499
2025,6,12,64,7.895061572293499
2025,6,12,65,7.640626336123
2025,6,12,66,7.640626336123
2025,6,12,67,7.640626336123
2025,6,12,68,7.640626336123
2025,6,12,69,7.368475616232499
2025,6,12,70,7.368475616232499
2025,6,12,71,7.368475616232499
2025,6,12,72,7.368475616232499
2025,6,12,73,6.6703689874964995
2025,6,12,74,6.6703689874964995
2025,6,12,75,6.6703689874964995
2025,6,12,76,6.6703689874964995
2025,6,12,77,6.026783119412
2025,6,12,78,6.026783119412
2025,6,12,79,6.026783119412
2025,6,12,80,6.026783119412
2025,6,12,81,5.818045070398001
2025,6,12,82,5.818045070398001
2025,6,12,83,5.818045070398001
2025,6,12,84,5.818045070398001
2025,6,12,85,6.064317194914
2025,6,12,86,6.064317194914
2025,6,12,87,6.064317194914
2025,6,12,88,6.064317194914
2025,6,12,89,6.440124122134999
2025,6,12,90,6.440124122134999
2025,6,12,91,6.440124122134999
2025,6,12,92,6.962399549126999
2025,6,12,93,6.9315494747235
2025,6,12,94,6.9315494747235
2025,6,12,95,6.9315494747235
2025,6,12,96,6.9315494747235
