Year,Month,Day,Period,Value
2025,6,12,1,7.3333183211255
2025,6,12,2,7.3333183211255
2025,6,12,3,7.3333183211255
2025,6,12,4,7.3333183211255
2025,6,12,5,6.952549297617
2025,6,12,6,6.952549297617
2025,6,12,7,5.928950231951999
2025,6,12,8,5.928950231951999
2025,6,12,9,5.723516932737999
2025,6,12,10,5.723516932737999
2025,6,12,11,5.723516932737999
2025,6,12,12,5.723516932737999
2025,6,12,13,5.437950790744999
2025,6,12,14,5.437950790744999
2025,6,12,15,5.437950790744999
2025,6,12,16,5.437950790744999
2025,6,12,17,5.2574228850935
2025,6,12,18,5.2574228850935
2025,6,12,19,5.2574228850935
2025,6,12,20,5.2574228850935
2025,6,12,21,4.963395119254
2025,6,12,22,5.369168841525499
2025,6,12,23,5.369168841525499
2025,6,12,24,5.369168841525499
2025,6,12,25,5.268001410897499
2025,6,12,26,5.268001410897499
2025,6,12,27,5.268001410897499
2025,6,12,28,6.486069581332
2025,6,12,29,6.261191210224498
2025,6,12,30,6.261191210224498
2025,6,12,31,7.158054296162001
2025,6,12,32,7.158054296162001
2025,6,12,33,8.032608350393001
2025,6,12,34,8.4318900833145
2025,6,12,35,8.4318900833145
2025,6,12,36,8.8500751116415
2025,6,12,37,9.397849575900498
2025,6,12,38,9.8036492408195
2025,6,12,39,10.229804844776
2025,6,12,40,10.229804844776
2025,6,12,41,10.749403930627997
2025,6,12,42,10.749403930627997
2025,6,12,43,11.146817557908998
2025,6,12,44,11.146817557908998
2025,6,12,45,11.502890301864499
2025,6,12,46,11.502890301864499
2025,6,12,47,11.502890301864499
2025,6,12,48,11.891024144703
2025,6,12,49,11.865136708942
2025,6,12,50,11.865136708942
2025,6,12,51,11.865136708942
2025,6,12,52,11.865136708942
2025,6,12,53,11.5741505422565
2025,6,12,54,11.5741505422565
2025,6,12,55,11.5741505422565
2025,6,12,56,11.980667417427497
2025,6,12,57,11.800952736941499
2025,6,12,58,11.800952736941499
2025,6,12,59,11.800952736941499
2025,6,12,60,12.187340937898497
2025,6,12,61,12.036005235886499
2025,6,12,62,12.036005235886499
2025,6,12,63,12.036005235886499
2025,6,12,64,12.036005235886499
2025,6,12,65,11.753390734431498
2025,6,12,66,11.753390734431498
2025,6,12,67,11.753390734431498
2025,6,12,68,11.753390734431498
2025,6,12,69,11.230036707972499
2025,6,12,70,10.844149444171999
2025,6,12,71,10.446838430456998
2025,6,12,72,10.0539642964475
2025,6,12,73,9.618088606180997
2025,6,12,74,9.238356258097998
2025,6,12,75,9.238356258097998
2025,6,12,76,9.238356258097998
2025,6,12,77,8.8972244181535
2025,6,12,78,8.8972244181535
2025,6,12,79,8.8972244181535
2025,6,12,80,8.8972244181535
2025,6,12,81,9.020284894203
2025,6,12,82,9.020284894203
2025,6,12,83,8.614643596944
2025,6,12,84,8.614643596944
2025,6,12,85,8.561583235600999
2025,6,12,86,8.561583235600999
2025,6,12,87,8.561583235600999
2025,6,12,88,8.561583235600999
2025,6,12,89,8.407544689368
2025,6,12,90,8.407544689368
2025,6,12,91,8.407544689368
2025,6,12,92,8.407544689368
2025,6,12,93,8.2392476844205
2025,6,12,94,8.2392476844205
2025,6,12,95,8.2392476844205
2025,6,12,96,8.2392476844205
