Year,Month,Day,Period,Value
2025,6,12,1,18.927386199931
2025,6,12,2,18.927386199931
2025,6,12,3,18.927386199931
2025,6,12,4,18.927386199931
2025,6,12,5,18.7215843704945
2025,6,12,6,18.7215843704945
2025,6,12,7,18.123219574190497
2025,6,12,8,18.123219574190497
2025,6,12,9,17.595312802919498
2025,6,12,10,17.595312802919498
2025,6,12,11,17.595312802919498
2025,6,12,12,16.996016710766497
2025,6,12,13,16.8768369836055
2025,6,12,14,16.8768369836055
2025,6,12,15,16.8768369836055
2025,6,12,16,16.2325542797385
2025,6,12,17,16.051700870694496
2025,6,12,18,16.051700870694496
2025,6,12,19,16.051700870694496
2025,6,12,20,15.4258310106065
2025,6,12,21,15.2483419380985
2025,6,12,22,15.2483419380985
2025,6,12,23,15.2483419380985
2025,6,12,24,15.2483419380985
2025,6,12,25,14.349751993840998
2025,6,12,26,14.349751993840998
2025,6,12,27,14.349751993840998
2025,6,12,28,13.717193179145498
2025,6,12,29,13.6812977027265
2025,6,12,30,13.6812977027265
2025,6,12,31,13.6812977027265
2025,6,12,32,13.6812977027265
2025,6,12,33,13.158501994582998
2025,6,12,34,13.158501994582998
2025,6,12,35,13.158501994582998
2025,6,12,36,13.158501994582998
2025,6,12,37,13.254482233520001
2025,6,12,38,13.254482233520001
2025,6,12,39,13.254482233520001
2025,6,12,40,13.254482233520001
2025,6,12,41,12.758914608461998
2025,6,12,42,12.758914608461998
2025,6,12,43,12.758914608461998
2025,6,12,44,12.758914608461998
2025,6,12,45,12.8423489288325
2025,6,12,46,12.8423489288325
2025,6,12,47,12.8506212888625
2025,6,12,48,12.875709853787
2025,6,12,49,12.961476788776999
2025,6,12,50,12.961476788776999
2025,6,12,51,12.961476788776999
2025,6,12,52,12.961476788776999
2025,6,12,53,13.401012525604001
2025,6,12,54,13.401012525604001
2025,6,12,55,13.401012525604001
2025,6,12,56,13.401012525604001
2025,6,12,57,14.215602111656
2025,6,12,58,14.215602111656
2025,6,12,59,14.215602111656
2025,6,12,60,14.215602111656
2025,6,12,61,14.647525335624499
2025,6,12,62,14.647525335624499
2025,6,12,63,14.708756528141498
2025,6,12,64,13.762285712791
2025,6,12,65,14.375785088076501
2025,6,12,66,13.767133046760497
2025,6,12,67,13.767133046760497
2025,6,12,68,13.767133046760497
2025,6,12,69,13.325606740533997
2025,6,12,70,13.325606740533997
2025,6,12,71,13.325606740533997
2025,6,12,72,13.325606740533997
2025,6,12,73,13.203037294623
2025,6,12,74,13.203037294623
2025,6,12,75,13.203037294623
2025,6,12,76,13.203037294623
2025,6,12,77,13.457147027401
2025,6,12,78,13.457147027401
2025,6,12,79,13.457147027401
2025,6,12,80,13.995754788234999
2025,6,12,81,14.623862405052998
2025,6,12,82,14.623862405052998
2025,6,12,83,14.623862405052998
2025,6,12,84,15.233898120523497
2025,6,12,85,15.317873114593498
2025,6,12,86,15.317873114593498
2025,6,12,87,15.931053585138999
2025,6,12,88,15.931053585138999
2025,6,12,89,16.664936516822
2025,6,12,90,16.664936516822
2025,6,12,91,17.266088583942
2025,6,12,92,17.4372362790835
2025,6,12,93,17.718192313183998
2025,6,12,94,17.718192313183998
2025,6,12,95,17.718192313183998
2025,6,12,96,18.342583586992504
