Year,Month,Day,Period,Value
2025,6,12,1,14.043536372205999
2025,6,12,2,14.043536372205999
2025,6,12,3,14.043536372205999
2025,6,12,4,13.594395329465497
2025,6,12,5,13.7118989627345
2025,6,12,6,13.7118989627345
2025,6,12,7,13.306706193060501
2025,6,12,8,13.306706193060501
2025,6,12,9,12.892843824476
2025,6,12,10,12.892843824476
2025,6,12,11,10.378875238424
2025,6,12,12,10.378875238424
2025,6,12,13,12.559976082687
2025,6,12,14,12.3181264835475
2025,6,12,15,12.3181264835475
2025,6,12,16,11.938683228758
2025,6,12,17,11.806068211222998
2025,6,12,18,11.806068211222998
2025,6,12,19,11.4197164022865
2025,6,12,20,11.4197164022865
2025,6,12,21,11.176079273381001
2025,6,12,22,11.176079273381001
2025,6,12,23,11.176079273381001
2025,6,12,24,11.176079273381001
2025,6,12,25,10.568859483149001
2025,6,12,26,10.568859483149001
2025,6,12,27,10.568859483149001
2025,6,12,28,10.177229999628999
2025,6,12,29,10.2214100029085
2025,6,12,30,10.2214100029085
2025,6,12,31,10.2214100029085
2025,6,12,32,10.2214100029085
2025,6,12,33,11.1446052014715
2025,6,12,34,11.042596957887
2025,6,12,35,11.4457384505585
2025,6,12,36,11.4457384505585
2025,6,12,37,11.7141595939775
2025,6,12,38,11.7141595939775
2025,6,12,39,11.7141595939775
2025,6,12,40,12.167959303461501
2025,6,12,41,12.343944407476
2025,6,12,42,12.343944407476
2025,6,12,43,12.731721832686999
2025,6,12,44,12.731721832686999
2025,6,12,45,12.541334835139
2025,6,12,46,12.541334835139
2025,6,12,47,12.9318741308735
2025,6,12,48,13.335016744411998
2025,6,12,49,13.080933478558
2025,6,12,50,13.0587215645535
2025,6,12,51,13.0587215645535
2025,6,12,52,13.440850561302998
2025,6,12,53,13.350736108633
2025,6,12,54,13.350736108633
2025,6,12,55,12.947495310761
2025,6,12,56,13.4306780966875
2025,6,12,57,13.284001025261999
2025,6,12,58,13.6836369521555
2025,6,12,59,13.6836369521555
2025,6,12,60,13.6836369521555
2025,6,12,61,13.871253256872
2025,6,12,62,13.484275805285996
2025,6,12,63,13.484275805285996
2025,6,12,64,13.484275805285996
2025,6,12,65,13.294208797188
2025,6,12,66,12.910475423956001
2025,6,12,67,12.910475423956001
2025,6,12,68,12.910475423956001
2025,6,12,69,12.5441882913435
2025,6,12,70,12.5441882913435
2025,6,12,71,12.5441882913435
2025,6,12,72,12.5441882913435
2025,6,12,73,12.150189765026498
2025,6,12,74,11.729966150804
2025,6,12,75,11.729966150804
2025,6,12,76,11.729966150804
2025,6,12,77,11.4033449104135
2025,6,12,78,11.4033449104135
2025,6,12,79,11.4033449104135
2025,6,12,80,11.7996484816375
2025,6,12,81,12.0773748097915
2025,6,12,82,12.0773748097915
2025,6,12,83,11.5279722319795
2025,6,12,84,11.5279722319795
2025,6,12,85,11.642709583571001
2025,6,12,86,11.642709583571001
2025,6,12,87,11.5338943146955
2025,6,12,88,11.5338943146955
2025,6,12,89,12.043128942261998
2025,6,12,90,12.043128942261998
2025,6,12,91,12.433266587962002
2025,6,12,92,12.433266587962002
2025,6,12,93,12.8495719404085
2025,6,12,94,12.8495719404085
2025,6,12,95,12.8495719404085
2025,6,12,96,12.8495719404085
