Year,Month,Day,Period,Value
2025,6,12,1,11.407301787865498
2025,6,12,2,11.0122594089585
2025,6,12,3,11.0122594089585
2025,6,12,4,11.0122594089585
2025,6,12,5,10.521769763373
2025,6,12,6,10.521769763373
2025,6,12,7,10.050700367900498
2025,6,12,8,10.050700367900498
2025,6,12,9,9.687422256984998
2025,6,12,10,9.687422256984998
2025,6,12,11,9.687422256984998
2025,6,12,12,9.306194762716498
2025,6,12,13,9.231167451044001
2025,6,12,14,9.231167451044001
2025,6,12,15,9.231167451044001
2025,6,12,16,8.802515332787
2025,6,12,17,8.904938459868
2025,6,12,18,8.904938459868
2025,6,12,19,8.904938459868
2025,6,12,20,8.904938459868
2025,6,12,21,8.793797175025498
2025,6,12,22,8.793797175025498
2025,6,12,23,8.3932305127165
2025,6,12,24,8.3932305127165
2025,6,12,25,8.126782836436
2025,6,12,26,8.126782836436
2025,6,12,27,8.126782836436
2025,6,12,28,8.126782836436
2025,6,12,29,7.934618234218499
2025,6,12,30,7.934618234218499
2025,6,12,31,7.934618234218499
2025,6,12,32,8.3766465984685
2025,6,12,33,8.432833509837
2025,6,12,34,8.432833509837
2025,6,12,35,8.864549825372999
2025,6,12,36,8.864549825372999
2025,6,12,37,9.0666292555025
2025,6,12,38,9.0666292555025
2025,6,12,39,9.0666292555025
2025,6,12,40,9.515384105325998
2025,6,12,41,9.495640539318998
2025,6,12,42,9.495640539318998
2025,6,12,43,9.495640539318998
2025,6,12,44,9.495640539318998
2025,6,12,45,9.762939514086
2025,6,12,46,9.762939514086
2025,6,12,47,9.088605606652001
2025,6,12,48,9.088605606652001
2025,6,12,49,10.225210194000999
2025,6,12,50,10.2409086052405
2025,6,12,51,10.2409086052405
2025,6,12,52,10.2409086052405
2025,6,12,53,10.5056046014205
2025,6,12,54,10.5056046014205
2025,6,12,55,10.5056046014205
2025,6,12,56,10.5056046014205
2025,6,12,57,10.632872414460998
2025,6,12,58,11.012358714159
2025,6,12,59,11.012358714159
2025,6,12,60,11.012358714159
2025,6,12,61,10.9277249937845
2025,6,12,62,10.9277249937845
2025,6,12,63,10.574569703923498
2025,6,12,64,10.407506882014001
2025,6,12,65,10.282607008981998
2025,6,12,66,10.282607008981998
2025,6,12,67,10.282607008981998
2025,6,12,68,10.282607008981998
2025,6,12,69,9.990153283902
2025,6,12,70,9.990153283902
2025,6,12,71,9.5838107397065
2025,6,12,72,9.5838107397065
2025,6,12,73,9.0233987531215
2025,6,12,74,9.0233987531215
2025,6,12,75,8.576344294693998
2025,6,12,76,8.576344294693998
2025,6,12,77,9.177832332658
2025,6,12,78,9.584877750855
2025,6,12,79,9.584877750855
2025,6,12,80,10.0813148613705
2025,6,12,81,10.050942023209998
2025,6,12,82,10.050942023209998
2025,6,12,83,10.826130530908
2025,6,12,84,10.826130530908
2025,6,12,85,11.334795776116998
2025,6,12,86,11.334795776116998
2025,6,12,87,11.765407025261998
2025,6,12,88,11.765407025261998
2025,6,12,89,11.959286355126002
2025,6,12,90,11.959286355126002
2025,6,12,91,12.348802787408998
2025,6,12,92,12.348802787408998
2025,6,12,93,12.35595077321
2025,6,12,94,12.35595077321
2025,6,12,95,12.35595077321
2025,6,12,96,12.35595077321
