Year,Month,Day,Period,Value
2025,6,12,1,15.100379394930497
2025,6,12,2,15.100379394930497
2025,6,12,3,15.100379394930497
2025,6,12,4,14.615786431768502
2025,6,12,5,14.4472792281015
2025,6,12,6,14.4472792281015
2025,6,12,7,13.964487064324498
2025,6,12,8,13.964487064324498
2025,6,12,9,13.4497949172565
2025,6,12,10,13.4497949172565
2025,6,12,11,13.4497949172565
2025,6,12,12,13.037101070597997
2025,6,12,13,12.668911627823
2025,6,12,14,12.668911627823
2025,6,12,15,12.668911627823
2025,6,12,16,12.18718978356
2025,6,12,17,11.911458454038
2025,6,12,18,11.911458454038
2025,6,12,19,11.911458454038
2025,6,12,20,11.911458454038
2025,6,12,21,11.319290461336
2025,6,12,22,11.319290461336
2025,6,12,23,11.319290461336
2025,6,12,24,10.823182180657001
2025,6,12,25,10.557663034215
2025,6,12,26,10.557663034215
2025,6,12,27,10.557663034215
2025,6,12,28,10.557663034215
2025,6,12,29,10.1482673206255
2025,6,12,30,10.1482673206255
2025,6,12,31,10.1482673206255
2025,6,12,32,10.1482673206255
2025,6,12,33,9.996657964359
2025,6,12,34,9.996657964359
2025,6,12,35,10.4859316500345
2025,6,12,36,10.4859316500345
2025,6,12,37,10.7983485225825
2025,6,12,38,10.7983485225825
2025,6,12,39,10.7983485225825
2025,6,12,40,11.279181013116501
2025,6,12,41,12.095585716725498
2025,6,12,42,12.602334333599998
2025,6,12,43,13.1554289569175
2025,6,12,44,14.1299543320595
2025,6,12,45,15.124680098824998
2025,6,12,46,15.626047306683
2025,6,12,47,16.137792224366997
2025,6,12,48,16.137792224366997
2025,6,12,49,15.813538923984998
2025,6,12,50,16.8201739387825
2025,6,12,51,17.297584711621496
2025,6,12,52,17.297584711621496
2025,6,12,53,17.2310824431735
2025,6,12,54,17.2310824431735
2025,6,12,55,17.2310824431735
2025,6,12,56,17.7961315650085
2025,6,12,57,17.843672596458497
2025,6,12,58,17.843672596458497
2025,6,12,59,17.843672596458497
2025,6,12,60,18.324872532505
2025,6,12,61,18.0883635030505
2025,6,12,62,18.0883635030505
2025,6,12,63,18.0883635030505
2025,6,12,64,18.0883635030505
2025,6,12,65,17.823496484260495
2025,6,12,66,17.823496484260495
2025,6,12,67,17.823496484260495
2025,6,12,68,17.338947668795498
2025,6,12,69,17.120746663977
2025,6,12,70,17.120746663977
2025,6,12,71,17.120746663977
2025,6,12,72,17.120746663977
2025,6,12,73,16.489814299612497
2025,6,12,74,16.489814299612497
2025,6,12,75,16.489814299612497
2025,6,12,76,16.489814299612497
2025,6,12,77,16.580231079038
2025,6,12,78,16.580231079038
2025,6,12,79,16.580231079038
2025,6,12,80,16.580231079038
2025,6,12,81,16.718395219833997
2025,6,12,82,16.718395219833997
2025,6,12,83,16.718395219833997
2025,6,12,84,16.718395219833997
2025,6,12,85,16.085379579521998
2025,6,12,86,16.085379579521998
2025,6,12,87,16.085379579521998
2025,6,12,88,15.590309619412
2025,6,12,89,15.027979323192
2025,6,12,90,15.027979323192
2025,6,12,91,15.027979323192
2025,6,12,92,15.431625097542499
2025,6,12,93,15.584688778741496
2025,6,12,94,15.584688778741496
2025,6,12,95,15.584688778741496
2025,6,12,96,15.584688778741496
