Year,Month,Day,Period,Value
2025,6,12,1,10.797475710680999
2025,6,12,2,10.797475710680999
2025,6,12,3,10.797475710680999
2025,6,12,4,10.797475710680999
2025,6,12,5,10.3754115966875
2025,6,12,6,10.3754115966875
2025,6,12,7,10.3754115966875
2025,6,12,8,9.9897218404995
2025,6,12,9,9.983114546476502
2025,6,12,10,9.983114546476502
2025,6,12,11,9.983114546476502
2025,6,12,12,8.930811559378501
2025,6,12,13,9.405632026659
2025,6,12,14,8.804192529467498
2025,6,12,15,8.804192529467498
2025,6,12,16,8.804192529467498
2025,6,12,17,8.384221056084499
2025,6,12,18,8.384221056084499
2025,6,12,19,8.384221056084499
2025,6,12,20,8.384221056084499
2025,6,12,21,8.5818569897775
2025,6,12,22,8.5818569897775
2025,6,12,23,8.2021075394335
2025,6,12,24,8.2021075394335
2025,6,12,25,7.940943051679
2025,6,12,26,7.940943051679
2025,6,12,27,7.940943051679
2025,6,12,28,7.940943051679
2025,6,12,29,7.661694007626999
2025,6,12,30,7.661694007626999
2025,6,12,31,7.661694007626999
2025,6,12,32,7.661694007626999
2025,6,12,33,7.4907962477479995
2025,6,12,34,7.107662574517999
2025,6,12,35,7.107662574517999
2025,6,12,36,7.499476332188499
2025,6,12,37,7.5789051981775
2025,6,12,38,8.659514885906498
2025,6,12,39,8.659514885906498
2025,6,12,40,9.0409476253855
2025,6,12,41,9.3071668798185
2025,6,12,42,9.3071668798185
2025,6,12,43,9.8113014721425
2025,6,12,44,9.8113014721425
2025,6,12,45,9.703839017422
2025,6,12,46,9.703839017422
2025,6,12,47,10.0866267585545
2025,6,12,48,10.0866267585545
2025,6,12,49,10.0934580451925
2025,6,12,50,10.0934580451925
2025,6,12,51,10.0934580451925
2025,6,12,52,10.514187025804
2025,6,12,53,10.372532758269
2025,6,12,54,10.372532758269
2025,6,12,55,10.372532758269
2025,6,12,56,10.372532758269
2025,6,12,57,10.5708136424495
2025,6,12,58,10.5708136424495
2025,6,12,59,10.5708136424495
2025,6,12,60,10.5708136424495
2025,6,12,61,10.833317132385
2025,6,12,62,10.833317132385
2025,6,12,63,10.833317132385
2025,6,12,64,10.833317132385
2025,6,12,65,10.494091471402
2025,6,12,66,10.494091471402
2025,6,12,67,10.494091471402
2025,6,12,68,10.494091471402
2025,6,12,69,9.9737343359665
2025,6,12,70,9.9737343359665
2025,6,12,71,9.9737343359665
2025,6,12,72,9.5909355488705
2025,6,12,73,9.253277854270998
2025,6,12,74,9.253277854270998
2025,6,12,75,9.253277854270998
2025,6,12,76,9.253277854270998
2025,6,12,77,9.2804309115815
2025,6,12,78,9.2804309115815
2025,6,12,79,9.6631337018425
2025,6,12,80,10.0594240396045
2025,6,12,81,10.0223865081835
2025,6,12,82,10.0223865081835
2025,6,12,83,10.0223865081835
2025,6,12,84,10.499789543424498
2025,6,12,85,10.618787220090498
2025,6,12,86,10.618787220090498
2025,6,12,87,11.003734365734
2025,6,12,88,10.438131318659
2025,6,12,89,11.089006962219997
2025,6,12,90,11.089006962219997
2025,6,12,91,11.089006962219997
2025,6,12,92,11.478898559534999
2025,6,12,93,11.454714805456998
2025,6,12,94,11.454714805456998
2025,6,12,95,11.454714805456998
2025,6,12,96,11.454714805456998
