Year,Month,Day,Period,Value
2025,6,12,1,3.8741423356955
2025,6,12,2,3.8741423356955
2025,6,12,3,3.8741423356955
2025,6,12,4,3.8741423356955
2025,6,12,5,3.7741652115860003
2025,6,12,6,3.7741652115860003
2025,6,12,7,3.7741652115860003
2025,6,12,8,3.6798831403895
2025,6,12,9,3.674852635058
2025,6,12,10,3.674852635058
2025,6,12,11,3.674852635058
2025,6,12,12,3.674852635058
2025,6,12,13,3.6539502010439997
2025,6,12,14,3.6539502010439997
2025,6,12,15,3.6539502010439997
2025,6,12,16,3.6539502010439997
2025,6,12,17,3.5667148760485
2025,6,12,18,3.5667148760485
2025,6,12,19,3.5667148760485
2025,6,12,20,3.5667148760485
2025,6,12,21,3.4755527381464995
2025,6,12,22,3.4755527381464995
2025,6,12,23,3.4755527381464995
2025,6,12,24,3.4755527381464995
2025,6,12,25,3.3892939233285
2025,6,12,26,3.3892939233285
2025,6,12,27,3.3892939233285
2025,6,12,28,3.3892939233285
2025,6,12,29,3.435994431078
2025,6,12,30,3.435994431078
2025,6,12,31,3.435994431078
2025,6,12,32,3.435994431078
2025,6,12,33,3.4200695323905
2025,6,12,34,3.4200695323905
2025,6,12,35,3.4200695323905
2025,6,12,36,3.4200695323905
2025,6,12,37,3.5142031971805
2025,6,12,38,3.5142031971805
2025,6,12,39,3.5142031971805
2025,6,12,40,3.5142031971805
2025,6,12,41,3.662429740684
2025,6,12,42,3.662429740684
2025,6,12,43,3.662429740684
2025,6,12,44,3.662429740684
2025,6,12,45,3.7652870590995002
2025,6,12,46,3.7652870590995002
2025,6,12,47,3.7652870590995002
2025,6,12,48,3.7652870590995002
2025,6,12,49,3.8805681215785
2025,6,12,50,3.8805681215785
2025,6,12,51,3.8805681215785
2025,6,12,52,3.8805681215785
2025,6,12,53,3.886073097142499
2025,6,12,54,3.886073097142499
2025,6,12,55,3.886073097142499
2025,6,12,56,3.886073097142499
2025,6,12,57,3.9112171088265004
2025,6,12,58,3.9112171088265004
2025,6,12,59,3.9112171088265004
2025,6,12,60,3.9112171088265004
2025,6,12,61,4.175878882405999
2025,6,12,62,4.175878882405999
2025,6,12,63,4.175878882405999
2025,6,12,64,4.175878882405999
2025,6,12,65,4.0603379776465
2025,6,12,66,4.0603379776465
2025,6,12,67,4.0603379776465
2025,6,12,68,4.0603379776465
2025,6,12,69,3.9956149770899994
2025,6,12,70,3.9956149770899994
2025,6,12,71,3.9956149770899994
2025,6,12,72,3.9956149770899994
2025,6,12,73,3.943771154169
2025,6,12,74,3.943771154169
2025,6,12,75,3.5100212062464995
2025,6,12,76,3.5100212062464995
2025,6,12,77,3.5894020918964995
2025,6,12,78,3.5894020918964995
2025,6,12,79,3.5894020918964995
2025,6,12,80,3.5894020918964995
2025,6,12,81,3.7189631084265002
2025,6,12,82,4.081340277294499
2025,6,12,83,4.081340277294499
2025,6,12,84,4.081340277294499
2025,6,12,85,4.0989081681404995
2025,6,12,86,4.0989081681404995
2025,6,12,87,4.0989081681404995
2025,6,12,88,4.0989081681404995
2025,6,12,89,4.1403006294265
2025,6,12,90,4.1403006294265
2025,6,12,91,4.1403006294265
2025,6,12,92,4.1403006294265
2025,6,12,93,4.107752387282501
2025,6,12,94,4.107752387282501
2025,6,12,95,4.107752387282501
2025,6,12,96,4.107752387282501
