Year,Month,Day,Period,Value
2025,6,12,1,8.389439143932
2025,6,12,2,8.389439143932
2025,6,12,3,8.001098428818
2025,6,12,4,8.001098428818
2025,6,12,5,7.739979191549001
2025,6,12,6,7.739979191549001
2025,6,12,7,7.739979191549001
2025,6,12,8,7.351313515397498
2025,6,12,9,7.188435974708998
2025,6,12,10,7.188435974708998
2025,6,12,11,7.188435974708998
2025,6,12,12,6.8017448684845006
2025,6,12,13,6.866627303332499
2025,6,12,14,6.866627303332499
2025,6,12,15,6.484651142222
2025,6,12,16,6.484651142222
2025,6,12,17,6.3060658075525
2025,6,12,18,6.3060658075525
2025,6,12,19,6.3060658075525
2025,6,12,20,6.3060658075525
2025,6,12,21,6.237613790957999
2025,6,12,22,6.237613790957999
2025,6,12,23,5.854141380873501
2025,6,12,24,5.854141380873501
2025,6,12,25,5.648953063413
2025,6,12,26,5.648953063413
2025,6,12,27,5.648953063413
2025,6,12,28,5.648953063413
2025,6,12,29,5.614218371322
2025,6,12,30,5.614218371322
2025,6,12,31,5.614218371322
2025,6,12,32,5.614218371322
2025,6,12,33,5.3851999514005
2025,6,12,34,5.3851999514005
2025,6,12,35,5.3851999514005
2025,6,12,36,5.785599984174999
2025,6,12,37,6.1816183309045
2025,6,12,38,6.959541139413499
2025,6,12,39,7.7660299304004985
2025,6,12,40,8.571714318529999
2025,6,12,41,8.728075030009501
2025,6,12,42,9.5601511175005
2025,6,12,43,9.947696830577
2025,6,12,44,10.382516537579999
2025,6,12,45,10.4469730610465
2025,6,12,46,10.4469730610465
2025,6,12,47,10.8331990617015
2025,6,12,48,10.8331990617015
2025,6,12,49,11.200927267706
2025,6,12,50,11.200927267706
2025,6,12,51,11.200927267706
2025,6,12,52,11.200927267706
2025,6,12,53,10.663431750427499
2025,6,12,54,10.284074549298001
2025,6,12,55,10.284074549298001
2025,6,12,56,10.836572238623999
2025,6,12,57,11.207673603472498
2025,6,12,58,11.596181508554498
2025,6,12,59,11.596181508554498
2025,6,12,60,12.013574825131
2025,6,12,61,11.7695603256165
2025,6,12,62,11.7695603256165
2025,6,12,63,11.7695603256165
2025,6,12,64,11.7695603256165
2025,6,12,65,11.32076573925
2025,6,12,66,11.32076573925
2025,6,12,67,11.32076573925
2025,6,12,68,11.32076573925
2025,6,12,69,11.158021726362499
2025,6,12,70,9.4481921963385
2025,6,12,71,10.700161423072
2025,6,12,72,10.700161423072
2025,6,12,73,8.6973203920075
2025,6,12,74,10.042295582858
2025,6,12,75,10.042295582858
2025,6,12,76,9.643562261234
2025,6,12,77,9.643010541570998
2025,6,12,78,9.643010541570998
2025,6,12,79,9.1116969673675
2025,6,12,80,10.785285088875
2025,6,12,81,11.317605545136
2025,6,12,82,11.317605545136
2025,6,12,83,11.317605545136
2025,6,12,84,11.317605545136
2025,6,12,85,11.285721000883997
2025,6,12,86,11.285721000883997
2025,6,12,87,11.6714504755365
2025,6,12,88,11.6714504755365
2025,6,12,89,11.938912735315498
2025,6,12,90,12.334984612483499
2025,6,12,91,11.941402072451499
2025,6,12,92,11.941402072451499
2025,6,12,93,11.921233679773
2025,6,12,94,12.308228775975001
2025,6,12,95,12.701265128364998
2025,6,12,96,11.914726793739
