Year,Month,Day,Period,Value
2025,6,12,1,10.269583293739
2025,6,12,2,6.339257355040499
2025,6,12,3,10.160150101733501
2025,6,12,4,10.160150101733501
2025,6,12,5,9.584734316035998
2025,6,12,6,8.439427570398
2025,6,12,7,9.282238327697499
2025,6,12,8,9.77709975231
2025,6,12,9,9.817255553803502
2025,6,12,10,9.817255553803502
2025,6,12,11,9.758429814182499
2025,6,12,12,9.627605652857499
2025,6,12,13,9.827503062272498
2025,6,12,14,9.868178584484
2025,6,12,15,9.868178584484
2025,6,12,16,9.868178584484
2025,6,12,17,10.7659144642445
2025,6,12,18,10.7659144642445
2025,6,12,19,9.7443357794255
2025,6,12,20,9.7443357794255
2025,6,12,21,7.810560819286501
2025,6,12,22,7.810560819286501
2025,6,12,23,8.30226367685
2025,6,12,24,8.1538305322485
2025,6,12,25,7.8874374711165
2025,6,12,26,7.642339942902501
2025,6,12,27,7.642339942902501
2025,6,12,28,7.5272186220495
2025,6,12,29,7.620482222870001
2025,6,12,30,7.620482222870001
2025,6,12,31,7.620482222870001
2025,6,12,32,10.1914674872835
2025,6,12,33,7.366143525889499
2025,6,12,34,7.366143525889499
2025,6,12,35,7.366143525889499
2025,6,12,36,7.366143525889499
2025,6,12,37,7.624344206275499
2025,6,12,38,7.624344206275499
2025,6,12,39,7.624344206275499
2025,6,12,40,7.624344206275499
2025,6,12,41,8.044471823662999
2025,6,12,42,10.8546054881385
2025,6,12,43,10.8546054881385
2025,6,12,44,10.8546054881385
2025,6,12,45,11.008643492016498
2025,6,12,46,11.008643492016498
2025,6,12,47,9.813243500769499
2025,6,12,48,9.813243500769499
2025,6,12,49,10.921738913178498
2025,6,12,50,11.421936496322
2025,6,12,51,11.421936496322
2025,6,12,52,11.421936496322
2025,6,12,53,10.622027972000499
2025,6,12,54,6.899947967467499
2025,6,12,55,6.899947967467499
2025,6,12,56,6.899947967467499
2025,6,12,57,6.833269704821999
2025,6,12,58,6.833269704821999
2025,6,12,59,7.320137919523
2025,6,12,60,7.320137919523
2025,6,12,61,7.215817453867
2025,6,12,62,11.672451283217999
2025,6,12,63,8.8332821014625
2025,6,12,64,11.0207657047785
2025,6,12,65,11.526392134922498
2025,6,12,66,11.526392134922498
2025,6,12,67,10.955781759153
2025,6,12,68,10.955781759153
2025,6,12,69,10.604267255873498
2025,6,12,70,9.493167762089
2025,6,12,71,8.961629074403499
2025,6,12,72,8.961629074403499
2025,6,12,73,9.710384519131997
2025,6,12,74,9.710384519131997
2025,6,12,75,9.710384519131997
2025,6,12,76,10.215874113109498
2025,6,12,77,10.602950869896
2025,6,12,78,10.602950869896
2025,6,12,79,6.92191271222
2025,6,12,80,6.92191271222
2025,6,12,81,6.7723121304025
2025,6,12,82,7.038392379249
2025,6,12,83,6.717250732208499
2025,6,12,84,10.296852216155997
2025,6,12,85,10.791911148381
2025,6,12,86,11.846355316862
2025,6,12,87,11.527426044337497
2025,6,12,88,13.003733528912498
2025,6,12,89,13.059041554003498
2025,6,12,90,12.561429286752498
2025,6,12,91,12.561429286752498
2025,6,12,92,12.561429286752498
2025,6,12,93,12.628991949618001
2025,6,12,94,12.628991949618001
2025,6,12,95,13.110603460795499
2025,6,12,96,13.110603460795499
