Year,Month,Day,Period,Value
2025,6,12,1,13.773599111541502
2025,6,12,2,13.773599111541502
2025,6,12,3,13.773599111541502
2025,6,12,4,13.169942286325
2025,6,12,5,12.843275795448998
2025,6,12,6,12.843275795448998
2025,6,12,7,12.843275795448998
2025,6,12,8,11.150201762716499
2025,6,12,9,13.478168363709498
2025,6,12,10,14.729362980953498
2025,6,12,11,14.729362980953498
2025,6,12,12,14.128247342011003
2025,6,12,13,13.687753824332498
2025,6,12,14,13.537307476049499
2025,6,12,15,13.170110018647998
2025,6,12,16,13.170110018647998
2025,6,12,17,12.466345036354
2025,6,12,18,10.250420119895999
2025,6,12,19,11.002445549469002
2025,6,12,20,12.330600702783
2025,6,12,21,12.353948055058499
2025,6,12,22,12.353948055058499
2025,6,12,23,11.7545780218405
2025,6,12,24,11.7545780218405
2025,6,12,25,10.922587445654498
2025,6,12,26,10.922587445654498
2025,6,12,27,10.320345208827499
2025,6,12,28,10.320345208827499
2025,6,12,29,9.639992679487499
2025,6,12,30,9.639992679487499
2025,6,12,31,9.639992679487499
2025,6,12,32,9.030574887147
2025,6,12,33,8.8830189475225
2025,6,12,34,8.8830189475225
2025,6,12,35,8.277176232792499
2025,6,12,36,8.277176232792499
2025,6,12,37,8.369051187871001
2025,6,12,38,8.369051187871001
2025,6,12,39,8.369051187871001
2025,6,12,40,8.369051187871001
2025,6,12,41,8.6885067978445
2025,6,12,42,8.6885067978445
2025,6,12,43,8.6885067978445
2025,6,12,44,9.286952151944499
2025,6,12,45,9.4119072005585
2025,6,12,46,9.4119072005585
2025,6,12,47,9.4119072005585
2025,6,12,48,9.4119072005585
2025,6,12,49,9.0017407462785
2025,6,12,50,9.0017407462785
2025,6,12,51,9.0017407462785
2025,6,12,52,10.580926520329
2025,6,12,53,11.0048234326525
2025,6,12,54,11.0048234326525
2025,6,12,55,11.0048234326525
2025,6,12,56,11.0048234326525
2025,6,12,57,11.647616504276499
2025,6,12,58,11.647616504276499
2025,6,12,59,12.273254652230001
2025,6,12,60,12.273254652230001
2025,6,12,61,12.2876808071105
2025,6,12,62,12.2876808071105
2025,6,12,63,12.2876808071105
2025,6,12,64,11.684032822280498
2025,6,12,65,11.3866953350535
2025,6,12,66,11.3866953350535
2025,6,12,67,11.3866953350535
2025,6,12,68,10.778476960795498
2025,6,12,69,10.502320804601998
2025,6,12,70,10.502320804601998
2025,6,12,71,9.873344805114998
2025,6,12,72,9.873344805114998
2025,6,12,73,9.251232651644502
2025,6,12,74,9.251232651644502
2025,6,12,75,9.251232651644502
2025,6,12,76,9.251232651644502
2025,6,12,77,9.2406133045875
2025,6,12,78,9.2406133045875
2025,6,12,79,9.8476714368725
2025,6,12,80,9.8476714368725
2025,6,12,81,10.9992103115015
2025,6,12,82,10.9992103115015
2025,6,12,83,11.609702852588498
2025,6,12,84,12.207860216183498
2025,6,12,85,13.407469768077
2025,6,12,86,14.007955353216
2025,6,12,87,14.617891763485996
2025,6,12,88,14.617891763485996
2025,6,12,89,15.584203262545499
2025,6,12,90,15.584203262545499
2025,6,12,91,16.1886567711
2025,6,12,92,16.1886567711
2025,6,12,93,16.344143567889496
2025,6,12,94,16.344143567889496
2025,6,12,95,16.344143567889496
2025,6,12,96,16.344143567889496
