Year,Month,Day,Period,Value
2025,6,12,1,17.961916634695
2025,6,12,2,17.7732178617125
2025,6,12,3,17.7732178617125
2025,6,12,4,17.256690710737498
2025,6,12,5,17.0288137853845
2025,6,12,6,17.0288137853845
2025,6,12,7,16.515415932367
2025,6,12,8,16.515415932367
2025,6,12,9,15.855524215442998
2025,6,12,10,15.237700517193
2025,6,12,11,15.237700517193
2025,6,12,12,15.237700517193
2025,6,12,13,15.320908621292999
2025,6,12,14,15.320908621292999
2025,6,12,15,14.819012870408999
2025,6,12,16,14.819012870408999
2025,6,12,17,14.47669983551
2025,6,12,18,14.47669983551
2025,6,12,19,13.992931125398497
2025,6,12,20,13.992931125398497
2025,6,12,21,13.428348754276502
2025,6,12,22,13.428348754276502
2025,6,12,23,12.540441070256001
2025,6,12,24,12.540441070256001
2025,6,12,25,11.9209357641715
2025,6,12,26,11.411106390112
2025,6,12,27,11.411106390112
2025,6,12,28,10.315007947508
2025,6,12,29,9.857783211963499
2025,6,12,30,9.857783211963499
2025,6,12,31,8.9962076405685
2025,6,12,32,10.263096257897999
2025,6,12,33,9.7459280252345
2025,6,12,34,9.260838517991498
2025,6,12,35,9.762914131872002
2025,6,12,36,9.762914131872002
2025,6,12,37,9.560882700159999
2025,6,12,38,9.560882700159999
2025,6,12,39,9.560882700159999
2025,6,12,40,10.047987038149499
2025,6,12,41,10.671877356723
2025,6,12,42,9.982998681369997
2025,6,12,43,10.4816658110175
2025,6,12,44,11.448706669080998
2025,6,12,45,11.6895333866905
2025,6,12,46,11.6895333866905
2025,6,12,47,12.197189001909999
2025,6,12,48,12.197189001909999
2025,6,12,49,12.6596947204035
2025,6,12,50,12.6596947204035
2025,6,12,51,12.6596947204035
2025,6,12,52,13.219296247833498
2025,6,12,53,13.4812149163725
2025,6,12,54,13.4812149163725
2025,6,12,55,13.4812149163725
2025,6,12,56,13.984148987825497
2025,6,12,57,12.092169512973
2025,6,12,58,12.092169512973
2025,6,12,59,14.56528050824
2025,6,12,60,12.2137569166855
2025,6,12,61,12.692926546789499
2025,6,12,62,12.592149720232499
2025,6,12,63,12.592149720232499
2025,6,12,64,12.592149720232499
2025,6,12,65,12.011576518133499
2025,6,12,66,9.916667435532002
2025,6,12,67,11.382005790231998
2025,6,12,68,11.382005790231998
2025,6,12,69,11.025968353587
2025,6,12,70,11.025968353587
2025,6,12,71,11.025968353587
2025,6,12,72,10.547587669223
2025,6,12,73,9.876158542855
2025,6,12,74,9.876158542855
2025,6,12,75,9.876158542855
2025,6,12,76,9.388066630645998
2025,6,12,77,9.2835558164635
2025,6,12,78,9.2835558164635
2025,6,12,79,9.763996582059502
2025,6,12,80,10.244539979299997
2025,6,12,81,11.013274552890499
2025,6,12,82,11.517459909642499
2025,6,12,83,12.527756091867499
2025,6,12,84,13.0378447658525
2025,6,12,85,13.6511212513115
2025,6,12,86,14.1434403868615
2025,6,12,87,13.032583651174999
2025,6,12,88,14.809958181369996
2025,6,12,89,15.428808051436997
2025,6,12,90,14.102375345289
2025,6,12,91,16.1153783735175
2025,6,12,92,16.1153783735175
2025,6,12,93,16.356511847114998
2025,6,12,94,16.356511847114998
2025,6,12,95,16.127499483491
2025,6,12,96,16.127499483491
