Year,Month,Day,Period,Value
2025,6,12,1,15.263331961393998
2025,6,12,2,14.658043171904003
2025,6,12,3,14.116628290061
2025,6,12,4,14.601222337932999
2025,6,12,5,14.159585680542497
2025,6,12,6,14.159585680542497
2025,6,12,7,13.621073916543496
2025,6,12,8,13.621073916543496
2025,6,12,9,13.519765238595003
2025,6,12,10,13.519765238595003
2025,6,12,11,13.045384476591499
2025,6,12,12,13.045384476591499
2025,6,12,13,12.592619779310999
2025,6,12,14,12.500888819484999
2025,6,12,15,12.3029025425405
2025,6,12,16,12.3029025425405
2025,6,12,17,11.804264103472498
2025,6,12,18,11.804264103472498
2025,6,12,19,11.378087528456
2025,6,12,20,11.378087528456
2025,6,12,21,11.206209371521998
2025,6,12,22,11.206209371521998
2025,6,12,23,10.725379086565
2025,6,12,24,10.2482938171185
2025,6,12,25,9.989545285868498
2025,6,12,26,9.501167588731498
2025,6,12,27,9.501167588731498
2025,6,12,28,9.501167588731498
2025,6,12,29,8.9313560837985
2025,6,12,30,8.9313560837985
2025,6,12,31,8.9313560837985
2025,6,12,32,8.435910398223001
2025,6,12,33,8.187067312143501
2025,6,12,34,8.187067312143501
2025,6,12,35,8.187067312143501
2025,6,12,36,8.187067312143501
2025,6,12,37,8.6626088765535
2025,6,12,38,8.6626088765535
2025,6,12,39,7.485794414917499
2025,6,12,40,7.969809733847499
2025,6,12,41,8.015801546318501
2025,6,12,42,8.9333058500235
2025,6,12,43,9.410281853015999
2025,6,12,44,9.360659769273997
2025,6,12,45,10.875899375913
2025,6,12,46,12.327309186444998
2025,6,12,47,12.291757960822999
2025,6,12,48,12.798286996236499
2025,6,12,49,13.301645876282498
2025,6,12,50,13.301645876282498
2025,6,12,51,13.301645876282498
2025,6,12,52,13.301645876282498
2025,6,12,53,12.989233432967001
2025,6,12,54,12.505218656391998
2025,6,12,55,12.505218656391998
2025,6,12,56,12.996278787123497
2025,6,12,57,13.669878363966
2025,6,12,58,13.669878363966
2025,6,12,59,14.203996293168
2025,6,12,60,14.203996293168
2025,6,12,61,14.214978674583497
2025,6,12,62,14.214978674583497
2025,6,12,63,14.214978674583497
2025,6,12,64,14.214978674583497
2025,6,12,65,13.646474733319998
2025,6,12,66,11.931599240847
2025,6,12,67,12.9128875116615
2025,6,12,68,12.9128875116615
2025,6,12,69,12.541526828809001
2025,6,12,70,12.541526828809001
2025,6,12,71,12.0612173673585
2025,6,12,72,11.0858158719495
2025,6,12,73,10.9241498980955
2025,6,12,74,11.408847680400498
2025,6,12,75,11.408847680400498
2025,6,12,76,10.927519748574
2025,6,12,77,10.681814800838499
2025,6,12,78,11.172301138058499
2025,6,12,79,11.172301138058499
2025,6,12,80,11.172301138058499
2025,6,12,81,11.6367179890225
2025,6,12,82,11.434706425581998
2025,6,12,83,11.913716060961
2025,6,12,84,12.803419012345499
2025,6,12,85,12.702382885863
2025,6,12,86,13.1809202565865
2025,6,12,87,13.679745175382
2025,6,12,88,13.424514358662
2025,6,12,89,14.733381650718501
2025,6,12,90,15.210807862596498
2025,6,12,91,15.210807862596498
2025,6,12,92,15.210807862596498
2025,6,12,93,15.282276638486
2025,6,12,94,15.282276638486
2025,6,12,95,15.282276638486
2025,6,12,96,15.282276638486
