Year,Month,Day,Period,Value
2025,6,12,1,19.066342612910997
2025,6,12,2,19.869650781079
2025,6,12,3,19.4926041568775
2025,6,12,4,19.4926041568775
2025,6,12,5,18.407904081974
2025,6,12,6,18.407904081974
2025,6,12,7,17.687810634636996
2025,6,12,8,17.687810634636996
2025,6,12,9,17.203851051722502
2025,6,12,10,17.203851051722502
2025,6,12,11,16.9431902852135
2025,6,12,12,16.9431902852135
2025,6,12,13,14.017227436217501
2025,6,12,14,14.017227436217501
2025,6,12,15,16.2177308859775
2025,6,12,16,16.2177308859775
2025,6,12,17,14.8813099893645
2025,6,12,18,14.8813099893645
2025,6,12,19,15.285258090470501
2025,6,12,20,15.285258090470501
2025,6,12,21,14.461785958856499
2025,6,12,22,14.461785958856499
2025,6,12,23,13.7952008580925
2025,6,12,24,13.7952008580925
2025,6,12,25,12.517008749030499
2025,6,12,26,12.517008749030499
2025,6,12,27,12.099625357550499
2025,6,12,28,12.099625357550499
2025,6,12,29,11.270511396127498
2025,6,12,30,11.270511396127498
2025,6,12,31,10.979628963875
2025,6,12,32,10.979628963875
2025,6,12,33,10.582821110971997
2025,6,12,34,10.582821110971997
2025,6,12,35,10.524299903683499
2025,6,12,36,10.524299903683499
2025,6,12,37,10.403947243442499
2025,6,12,38,10.403947243442499
2025,6,12,39,10.5063637537925
2025,6,12,40,10.5063637537925
2025,6,12,41,10.902929951385998
2025,6,12,42,10.902929951385998
2025,6,12,43,10.903045798413999
2025,6,12,44,10.903045798413999
2025,6,12,45,10.667964626967997
2025,6,12,46,11.430399765311998
2025,6,12,47,11.5351334512425
2025,6,12,48,11.5351334512425
2025,6,12,49,12.2498543299495
2025,6,12,50,12.2498543299495
2025,6,12,51,12.606666376083998
2025,6,12,52,12.606666376083998
2025,6,12,53,13.174564524890998
2025,6,12,54,13.174564524890998
2025,6,12,55,13.247593547644497
2025,6,12,56,13.247593547644497
2025,6,12,57,13.5767052279595
2025,6,12,58,13.5767052279595
2025,6,12,59,13.813671064951999
2025,6,12,60,13.813671064951999
2025,6,12,61,13.954689764741
2025,6,12,62,13.954689764741
2025,6,12,63,13.8878454329945
2025,6,12,64,13.103455474994497
2025,6,12,65,13.736027523152
2025,6,12,66,13.736027523152
2025,6,12,67,13.147995186188501
2025,6,12,68,13.147995186188501
2025,6,12,69,12.3686754519845
2025,6,12,70,12.3686754519845
2025,6,12,71,11.781465162494499
2025,6,12,72,11.781465162494499
2025,6,12,73,11.781465162494499
2025,6,12,74,11.058964038605998
2025,6,12,75,10.759882048443
2025,6,12,76,10.759882048443
2025,6,12,77,10.899447544166499
2025,6,12,78,10.899447544166499
2025,6,12,79,11.493457139427997
2025,6,12,80,11.493457139427997
2025,6,12,81,12.7642684296875
2025,6,12,82,13.523674659984497
2025,6,12,83,14.386046932796
2025,6,12,84,14.386046932796
2025,6,12,85,15.771549221372998
2025,6,12,86,15.771549221372998
2025,6,12,87,16.799983490333997
2025,6,12,88,17.5750109005185
2025,6,12,89,18.165422223453998
2025,6,12,90,18.165422223453998
2025,6,12,91,18.944813693146
2025,6,12,92,19.085919549383505
2025,6,12,93,19.085919549383505
2025,6,12,94,19.085919549383505
2025,6,12,95,19.085919549383505
2025,6,12,96,19.085919549383505
