Year,Month,Day,Period,Value
2025,6,12,1,10.172287771613
2025,6,12,2,10.172287771613
2025,6,12,3,10.172287771613
2025,6,12,4,10.172287771613
2025,6,12,5,9.644463763714999
2025,6,12,6,0.009644463763715
2025,6,12,7,9.644463763714999
2025,6,12,8,9.262381102161
2025,6,12,9,8.957138139982998
2025,6,12,10,8.957138139982998
2025,6,12,11,8.957138139982998
2025,6,12,12,8.572471265325
2025,6,12,13,8.5568727197195
2025,6,12,14,8.5568727197195
2025,6,12,15,8.5568727197195
2025,6,12,16,8.1345354938265
2025,6,12,17,8.101016237369
2025,6,12,18,8.101016237369
2025,6,12,19,8.101016237369
2025,6,12,20,8.101016237369
2025,6,12,21,7.620868415787
2025,6,12,22,8.428388368257
2025,6,12,23,8.891274765725
2025,6,12,24,9.291349295107
2025,6,12,25,8.890503464600998
2025,6,12,26,8.890503464600998
2025,6,12,27,8.890503464600998
2025,6,12,28,8.487792854898498
2025,6,12,29,8.374653263058498
2025,6,12,30,8.374653263058498
2025,6,12,31,8.374653263058498
2025,6,12,32,8.374653263058498
2025,6,12,33,8.545717110116998
2025,6,12,34,8.545717110116998
2025,6,12,35,8.545717110116998
2025,6,12,36,8.9470572610485
2025,6,12,37,9.226819951442499
2025,6,12,38,9.647996917283999
2025,6,12,39,9.647996917283999
2025,6,12,40,10.064251523381001
2025,6,12,41,10.67968188133
2025,6,12,42,10.67968188133
2025,6,12,43,11.1546893887715
2025,6,12,44,11.12365006863
2025,6,12,45,11.858860432254
2025,6,12,46,11.473155237027
2025,6,12,47,11.8972485541745
2025,6,12,48,11.8972485541745
2025,6,12,49,12.152046824703497
2025,6,12,50,12.152046824703497
2025,6,12,51,12.554430267791501
2025,6,12,52,12.554430267791501
2025,6,12,53,12.1992259245835
2025,6,12,54,12.1992259245835
2025,6,12,55,12.176952200187499
2025,6,12,56,12.582997931569999
2025,6,12,57,12.874797323421001
2025,6,12,58,12.874797323421001
2025,6,12,59,13.2934507476045
2025,6,12,60,13.2934507476045
2025,6,12,61,13.1940057641425
2025,6,12,62,13.622816213902501
2025,6,12,63,13.533518312842
2025,6,12,64,11.486390796132998
2025,6,12,65,11.087490863052999
2025,6,12,66,11.087490863052999
2025,6,12,67,10.704664506244498
2025,6,12,68,10.704664506244498
2025,6,12,69,10.7864227146445
2025,6,12,70,10.402404659273
2025,6,12,71,10.402404659273
2025,6,12,72,9.999045772639
2025,6,12,73,9.5388528366505
2025,6,12,74,9.149990195241498
2025,6,12,75,8.7506257170255
2025,6,12,76,8.7506257170255
2025,6,12,77,8.594425542625999
2025,6,12,78,8.594425542625999
2025,6,12,79,8.594425542625999
2025,6,12,80,8.594425542625999
2025,6,12,81,8.7486621749835
2025,6,12,82,8.7486621749835
2025,6,12,83,8.7486621749835
2025,6,12,84,8.7486621749835
2025,6,12,85,8.8416841204945
2025,6,12,86,8.8416841204945
2025,6,12,87,8.8416841204945
2025,6,12,88,9.259987779938498
2025,6,12,89,9.7212113169765
2025,6,12,90,9.7212113169765
2025,6,12,91,9.7212113169765
2025,6,12,92,9.7212113169765
2025,6,12,93,9.800806812500001
2025,6,12,94,9.800806812500001
2025,6,12,95,9.800806812500001
2025,6,12,96,9.800806812500001
