Year,Month,Day,Period,Value
2025,6,12,1,4.905226478872501
2025,6,12,2,4.905226478872501
2025,6,12,3,4.905226478872501
2025,6,12,4,4.905226478872501
2025,6,12,5,4.9458352371835
2025,6,12,6,4.9458352371835
2025,6,12,7,4.9458352371835
2025,6,12,8,4.9458352371835
2025,6,12,9,4.520979730476
2025,6,12,10,4.520979730476
2025,6,12,11,4.520979730476
2025,6,12,12,4.520979730476
2025,6,12,13,4.4727609179825
2025,6,12,14,4.4727609179825
2025,6,12,15,4.4727609179825
2025,6,12,16,4.4727609179825
2025,6,12,17,4.4407202478045
2025,6,12,18,4.4407202478045
2025,6,12,19,4.4407202478045
2025,6,12,20,4.4407202478045
2025,6,12,21,4.314533492907
2025,6,12,22,4.314533492907
2025,6,12,23,4.314533492907
2025,6,12,24,4.314533492907
2025,6,12,25,3.9032230673039994
2025,6,12,26,3.9032230673039994
2025,6,12,27,3.9032230673039994
2025,6,12,28,3.9032230673039994
2025,6,12,29,4.0900490523145
2025,6,12,30,4.0900490523145
2025,6,12,31,4.0900490523145
2025,6,12,32,4.583762907982499
2025,6,12,33,4.886170347828
2025,6,12,34,5.364180260235499
2025,6,12,35,5.364180260235499
2025,6,12,36,5.8386206270534995
2025,6,12,37,7.1768395389625
2025,6,12,38,9.231225374558
2025,6,12,39,10.728679425211002
2025,6,12,40,12.3450985931515
2025,6,12,41,13.5204019091295
2025,6,12,42,14.6479027062335
2025,6,12,43,15.229395055429498
2025,6,12,44,15.229395055429498
2025,6,12,45,15.4270690624435
2025,6,12,46,15.4270690624435
2025,6,12,47,15.4270690624435
2025,6,12,48,15.910930442945997
2025,6,12,49,15.586875752965
2025,6,12,50,15.586875752965
2025,6,12,51,15.586875752965
2025,6,12,52,15.586875752965
2025,6,12,53,14.245924203466998
2025,6,12,54,13.690982445568999
2025,6,12,55,13.690982445568999
2025,6,12,56,14.91137278125
2025,6,12,57,15.088865162123499
2025,6,12,58,16.1866948742015
2025,6,12,59,16.1866948742015
2025,6,12,60,16.1866948742015
2025,6,12,61,15.982906790801499
2025,6,12,62,15.982906790801499
2025,6,12,63,15.982906790801499
2025,6,12,64,15.504604458656498
2025,6,12,65,15.357466168538998
2025,6,12,66,15.357466168538998
2025,6,12,67,15.357466168538998
2025,6,12,68,15.357466168538998
2025,6,12,69,15.164729978387
2025,6,12,70,14.676965793225998
2025,6,12,71,14.034315053632497
2025,6,12,72,13.529153168624498
2025,6,12,73,12.867664776659
2025,6,12,74,12.3649215960875
2025,6,12,75,11.824102563525999
2025,6,12,76,11.3393540348715
2025,6,12,77,10.086606890282999
2025,6,12,78,9.569562224167
2025,6,12,79,9.569562224167
2025,6,12,80,9.065688034556999
2025,6,12,81,8.941951169508501
2025,6,12,82,8.4603319388115
2025,6,12,83,7.966372016679999
2025,6,12,84,7.966372016679999
2025,6,12,85,5.497408247391499
2025,6,12,86,5.497408247391499
2025,6,12,87,5.497408247391499
2025,6,12,88,5.497408247391499
2025,6,12,89,5.373457296745999
2025,6,12,90,5.373457296745999
2025,6,12,91,5.373457296745999
2025,6,12,92,5.373457296745999
2025,6,12,93,5.257990604229
2025,6,12,94,5.257990604229
2025,6,12,95,5.257990604229
2025,6,12,96,5.257990604229
