Year,Month,Day,Period,Value
2025,6,12,1,9.2691219420635
2025,6,12,2,9.1324941845115
2025,6,12,3,9.200337516089501
2025,6,12,4,9.559643292435501
2025,6,12,5,9.458299849531498
2025,6,12,6,9.294465522309
2025,6,12,7,9.729739144289999
2025,6,12,8,9.034694398785001
2025,6,12,9,9.380376741807499
2025,6,12,10,9.329285183349999
2025,6,12,11,10.199423039679498
2025,6,12,12,10.199423039679498
2025,6,12,13,9.8039616372995
2025,6,12,14,9.716155302881496
2025,6,12,15,9.657461012033997
2025,6,12,16,9.657461012033997
2025,6,12,17,9.352657899760997
2025,6,12,18,9.509287293907498
2025,6,12,19,9.3763744873205
2025,6,12,20,9.758998093751499
2025,6,12,21,9.504772785122997
2025,6,12,22,9.562083257187998
2025,6,12,23,9.149653266237
2025,6,12,24,8.759009531008
2025,6,12,25,8.429331234346
2025,6,12,26,8.429331234346
2025,6,12,27,8.2428659515675
2025,6,12,28,8.182256822157
2025,6,12,29,8.203939379603
2025,6,12,30,8.071394976689
2025,6,12,31,7.916463189849499
2025,6,12,32,8.038332365062999
2025,6,12,33,8.025832383964998
2025,6,12,34,8.025832383964998
2025,6,12,35,8.1666051619185
2025,6,12,36,8.1666051619185
2025,6,12,37,8.378935535432001
2025,6,12,38,8.5071198922655
2025,6,12,39,8.5071198922655
2025,6,12,40,8.687719244149001
2025,6,12,41,8.787606011915498
2025,6,12,42,8.917717645320002
2025,6,12,43,8.917717645320002
2025,6,12,44,9.0581380009945
2025,6,12,45,8.9805394385025
2025,6,12,46,8.900708090867997
2025,6,12,47,8.974349522809
2025,6,12,48,8.0654338624915
2025,6,12,49,9.390267001037998
2025,6,12,50,9.183444369099
2025,6,12,51,9.233716374916002
2025,6,12,52,8.741508404062502
2025,6,12,53,9.086389272944501
2025,6,12,54,8.7038932645665
2025,6,12,55,9.311170833684498
2025,6,12,56,9.606542573292499
2025,6,12,57,9.618450555829499
2025,6,12,58,9.748462594777498
2025,6,12,59,9.883548599771
2025,6,12,60,9.9534961783565
2025,6,12,61,9.840938226097
2025,6,12,62,9.840938226097
2025,6,12,63,9.840938226097
2025,6,12,64,9.840938226097
2025,6,12,65,9.437263110341
2025,6,12,66,9.437263110341
2025,6,12,67,9.437263110341
2025,6,12,68,9.174572869500498
2025,6,12,69,9.039974568201497
2025,6,12,70,9.048081708819998
2025,6,12,71,9.158943265031999
2025,6,12,72,8.6096024976115
2025,6,12,73,8.887663296093999
2025,6,12,74,8.4781114565785
2025,6,12,75,8.306409836196998
2025,6,12,76,8.203653450047002
2025,6,12,77,8.6405382460265
2025,6,12,78,8.2240424004255
2025,6,12,79,8.224668169624499
2025,6,12,80,8.483946617866499
2025,6,12,81,8.7580512439585
2025,6,12,82,8.665200447606999
2025,6,12,83,8.796835086165498
2025,6,12,84,9.0656537396425
2025,6,12,85,9.4241418615905
2025,6,12,86,9.459855558691999
2025,6,12,87,9.855938716844
2025,6,12,88,9.900073632344498
2025,6,12,89,10.324416613576998
2025,6,12,90,9.6132470934885
2025,6,12,91,9.700724489599
2025,6,12,92,9.951614568076499
2025,6,12,93,10.187697668071
2025,6,12,94,9.6632199362875
2025,6,12,95,10.1090618877985
2025,6,12,96,10.044537642270999
