Year,Month,Day,Period,Value
2025,6,12,1,6.145716780109499
2025,6,12,2,6.145716780109499
2025,6,12,3,6.145716780109499
2025,6,12,4,6.145716780109499
2025,6,12,5,5.844863802008
2025,6,12,6,5.844863802008
2025,6,12,7,5.844863802008
2025,6,12,8,5.4225856024175
2025,6,12,9,5.418173562571
2025,6,12,10,5.418173562571
2025,6,12,11,5.418173562571
2025,6,12,12,5.418173562571
2025,6,12,13,5.4134034599535
2025,6,12,14,5.4134034599535
2025,6,12,15,5.4134034599535
2025,6,12,16,5.4134034599535
2025,6,12,17,5.363378623388499
2025,6,12,18,5.363378623388499
2025,6,12,19,5.363378623388499
2025,6,12,20,5.363378623388499
2025,6,12,21,5.013230167725999
2025,6,12,22,5.013230167725999
2025,6,12,23,5.013230167725999
2025,6,12,24,5.013230167725999
2025,6,12,25,4.869298424996499
2025,6,12,26,4.869298424996499
2025,6,12,27,4.869298424996499
2025,6,12,28,4.869298424996499
2025,6,12,29,4.7778069149030005
2025,6,12,30,4.7778069149030005
2025,6,12,31,4.7778069149030005
2025,6,12,32,5.196210439981
2025,6,12,33,5.1341522103245
2025,6,12,34,5.5211533809025
2025,6,12,35,5.5211533809025
2025,6,12,36,5.5211533809025
2025,6,12,37,5.76071004773
2025,6,12,38,5.76071004773
2025,6,12,39,5.76071004773
2025,6,12,40,5.76071004773
2025,6,12,41,6.094216123275499
2025,6,12,42,6.094216123275499
2025,6,12,43,6.094216123275499
2025,6,12,44,6.094216123275499
2025,6,12,45,6.257483707601499
2025,6,12,46,6.257483707601499
2025,6,12,47,6.257483707601499
2025,6,12,48,6.257483707601499
2025,6,12,49,6.222460482650499
2025,6,12,50,6.222460482650499
2025,6,12,51,6.222460482650499
2025,6,12,52,6.222460482650499
2025,6,12,53,6.326464267222
2025,6,12,54,6.326464267222
2025,6,12,55,6.326464267222
2025,6,12,56,6.326464267222
2025,6,12,57,6.4125208559389995
2025,6,12,58,6.4125208559389995
2025,6,12,59,6.802149284529499
2025,6,12,60,6.802149284529499
2025,6,12,61,6.6432788252875
2025,6,12,62,6.6432788252875
2025,6,12,63,6.6432788252875
2025,6,12,64,6.6432788252875
2025,6,12,65,6.460992062370999
2025,6,12,66,6.460992062370999
2025,6,12,67,6.460992062370999
2025,6,12,68,6.460992062370999
2025,6,12,69,6.414680260449999
2025,6,12,70,6.414680260449999
2025,6,12,71,6.414680260449999
2025,6,12,72,6.414680260449999
2025,6,12,73,5.850032228216
2025,6,12,74,5.850032228216
2025,6,12,75,5.850032228216
2025,6,12,76,6.249454087590999
2025,6,12,77,6.071623512217999
2025,6,12,78,6.071623512217999
2025,6,12,79,6.071623512217999
2025,6,12,80,6.071623512217999
2025,6,12,81,5.960343185632
2025,6,12,82,5.960343185632
2025,6,12,83,6.343395758711001
2025,6,12,84,6.343395758711001
2025,6,12,85,6.324057151103999
2025,6,12,86,6.324057151103999
2025,6,12,87,6.324057151103999
2025,6,12,88,6.324057151103999
2025,6,12,89,6.547297483562
2025,6,12,90,6.547297483562
2025,6,12,91,6.547297483562
2025,6,12,92,6.547297483562
2025,6,12,93,6.755714982692501
2025,6,12,94,6.755714982692501
2025,6,12,95,6.755714982692501
2025,6,12,96,6.360001186374
