Year,Month,Day,Period,Value
2025,6,12,1,12.1516628373635
2025,6,12,2,13.156765193087999
2025,6,12,3,15.136619158303498
2025,6,12,4,15.136619158303498
2025,6,12,5,14.275599699646996
2025,6,12,6,14.275599699646996
2025,6,12,7,13.792669596915001
2025,6,12,8,13.792669596915001
2025,6,12,9,13.123993500684001
2025,6,12,10,13.123993500684001
2025,6,12,11,13.123993500684001
2025,6,12,12,12.6166093160635
2025,6,12,13,12.452783955776999
2025,6,12,14,12.452783955776999
2025,6,12,15,12.452783955776999
2025,6,12,16,11.976980867786
2025,6,12,17,11.646028687699998
2025,6,12,18,11.646028687699998
2025,6,12,19,11.646028687699998
2025,6,12,20,11.646028687699998
2025,6,12,21,11.0342307885205
2025,6,12,22,11.0342307885205
2025,6,12,23,10.550081417512999
2025,6,12,24,10.071839756813999
2025,6,12,25,9.801795489508002
2025,6,12,26,9.801795489508002
2025,6,12,27,9.801795489508002
2025,6,12,28,9.801795489508002
2025,6,12,29,9.843619665374
2025,6,12,30,9.843619665374
2025,6,12,31,9.3535040639535
2025,6,12,32,9.3535040639535
2025,6,12,33,9.425868828381498
2025,6,12,34,9.425868828381498
2025,6,12,35,9.425868828381498
2025,6,12,36,7.576204577612001
2025,6,12,37,9.612236053375998
2025,6,12,38,9.111514338360498
2025,6,12,39,10.412323337905498
2025,6,12,40,10.914579899492498
2025,6,12,41,11.483077224025
2025,6,12,42,11.483077224025
2025,6,12,43,11.9815843589475
2025,6,12,44,11.9815843589475
2025,6,12,45,11.921347339302498
2025,6,12,46,11.921347339302498
2025,6,12,47,11.921347339302498
2025,6,12,48,12.400713374230499
2025,6,12,49,12.691880506701
2025,6,12,50,12.691880506701
2025,6,12,51,12.691880506701
2025,6,12,52,13.2386867045785
2025,6,12,53,12.837210277913998
2025,6,12,54,12.837210277913998
2025,6,12,55,12.837210277913998
2025,6,12,56,12.837210277913998
2025,6,12,57,12.987630159273
2025,6,12,58,12.987630159273
2025,6,12,59,12.987630159273
2025,6,12,60,13.462048434163998
2025,6,12,61,13.590292793539
2025,6,12,62,13.590292793539
2025,6,12,63,13.590292793539
2025,6,12,64,13.590292793539
2025,6,12,65,13.0101333902265
2025,6,12,66,13.496629748261
2025,6,12,67,13.002453553033998
2025,6,12,68,11.1921362897465
2025,6,12,69,12.2837449007185
2025,6,12,70,11.801082938298498
2025,6,12,71,9.991283190151998
2025,6,12,72,9.991283190151998
2025,6,12,73,9.865681527828498
2025,6,12,74,11.108577300039999
2025,6,12,75,11.108577300039999
2025,6,12,76,10.633332548443
2025,6,12,77,8.604334856595498
2025,6,12,78,10.616462306911998
2025,6,12,79,11.755977171190999
2025,6,12,80,12.718144192203999
2025,6,12,81,12.354823072537
2025,6,12,82,12.354823072537
2025,6,12,83,12.839254920106999
2025,6,12,84,13.868409725764
2025,6,12,85,14.371510408673
2025,6,12,86,14.371510408673
2025,6,12,87,14.371510408673
2025,6,12,88,14.852864825502
2025,6,12,89,15.358312495438
2025,6,12,90,15.358312495438
2025,6,12,91,12.2951929300585
2025,6,12,92,12.2951929300585
2025,6,12,93,14.384136903114
2025,6,12,94,12.180457784043998
2025,6,12,95,15.796926879591
2025,6,12,96,15.064787348055496
