Year,Month,Day,Period,Value
2025,6,12,1,20.2191890512095
2025,6,12,2,20.2191890512095
2025,6,12,3,19.669584554630994
2025,6,12,4,19.669584554630994
2025,6,12,5,18.869765410413496
2025,6,12,6,18.869765410413496
2025,6,12,7,18.368356260435498
2025,6,12,8,17.864539451984495
2025,6,12,9,17.3895142818485
2025,6,12,10,17.214314815208496
2025,6,12,11,18.28554980637
2025,6,12,12,18.28554980637
2025,6,12,13,17.9794787223425
2025,6,12,14,17.9794787223425
2025,6,12,15,17.425983551778998
2025,6,12,16,17.425983551778998
2025,6,12,17,16.7864301292765
2025,6,12,18,16.7864301292765
2025,6,12,19,16.2725501045855
2025,6,12,20,16.2725501045855
2025,6,12,21,15.6628255381785
2025,6,12,22,15.174879284443998
2025,6,12,23,15.174879284443998
2025,6,12,24,14.184834240192
2025,6,12,25,13.745547878193998
2025,6,12,26,13.745547878193998
2025,6,12,27,13.257121622206002
2025,6,12,28,13.257121622206002
2025,6,12,29,12.272549554572997
2025,6,12,30,12.272549554572997
2025,6,12,31,11.790555158844
2025,6,12,32,11.790555158844
2025,6,12,33,11.243076965042999
2025,6,12,34,11.243076965042999
2025,6,12,35,11.243076965042999
2025,6,12,36,11.243076965042999
2025,6,12,37,11.73597428718
2025,6,12,38,11.73597428718
2025,6,12,39,11.73597428718
2025,6,12,40,12.2153943949015
2025,6,12,41,12.979241916058
2025,6,12,42,13.497007118869998
2025,6,12,43,13.497007118869998
2025,6,12,44,13.984096017820498
2025,6,12,45,14.3292525838275
2025,6,12,46,14.3292525838275
2025,6,12,47,14.3292525838275
2025,6,12,48,14.309262951357
2025,6,12,49,14.767328499858
2025,6,12,50,14.767328499858
2025,6,12,51,15.265863204493
2025,6,12,52,15.265863204493
2025,6,12,53,15.5278293290945
2025,6,12,54,15.5278293290945
2025,6,12,55,16.02836013515
2025,6,12,56,16.02836013515
2025,6,12,57,16.606432972228003
2025,6,12,58,16.606432972228003
2025,6,12,59,17.103173530366
2025,6,12,60,16.015557104156503
2025,6,12,61,16.150534565835997
2025,6,12,62,15.910388666458
2025,6,12,63,15.910388666458
2025,6,12,64,15.910388666458
2025,6,12,65,16.4033643227355
2025,6,12,66,14.139460332772499
2025,6,12,67,15.808088003135998
2025,6,12,68,15.808088003135998
2025,6,12,69,15.326201752993997
2025,6,12,70,15.326201752993997
2025,6,12,71,14.34290194172
2025,6,12,72,12.8359082462655
2025,6,12,73,12.157333321594999
2025,6,12,74,12.810766711335999
2025,6,12,75,12.810766711335999
2025,6,12,76,12.248266513373
2025,6,12,77,12.2326685101225
2025,6,12,78,12.2326685101225
2025,6,12,79,12.785563402172
2025,6,12,80,13.8018787667365
2025,6,12,81,14.5792796489505
2025,6,12,82,15.087146023322997
2025,6,12,83,16.0530967116795
2025,6,12,84,16.5576340568265
2025,6,12,85,17.218211003136
2025,6,12,86,17.694754478015998
2025,6,12,87,18.201327643048
2025,6,12,88,18.764681905508
2025,6,12,89,19.576354037465503
2025,6,12,90,20.597857696509497
2025,6,12,91,20.597857696509497
2025,6,12,92,21.362181911553996
2025,6,12,93,21.702742705918997
2025,6,12,94,21.702742705918997
2025,6,12,95,20.4235277334055
2025,6,12,96,18.813552574476
