Year,Month,Day,Period,Value
2025,6,12,1,11.17496480617
2025,6,12,2,11.111794875313
2025,6,12,3,11.111794875313
2025,6,12,4,10.7265277402195
2025,6,12,5,10.492185852874
2025,6,12,6,10.455346931854
2025,6,12,7,10.0735434565755
2025,6,12,8,10.0735434565755
2025,6,12,9,9.841624666741998
2025,6,12,10,9.748590572479001
2025,6,12,11,9.748590572479001
2025,6,12,12,9.366877580093
2025,6,12,13,9.316874799298
2025,6,12,14,9.063171688141999
2025,6,12,15,9.529162561787
2025,6,12,16,9.529162561787
2025,6,12,17,9.303187928518
2025,6,12,18,9.227620485500998
2025,6,12,19,9.227620485500998
2025,6,12,20,9.227620485500998
2025,6,12,21,8.935157395757999
2025,6,12,22,8.885293096273
2025,6,12,23,8.5042724923585
2025,6,12,24,8.5042724923585
2025,6,12,25,8.078620591568999
2025,6,12,26,7.910512271926
2025,6,12,27,7.910512271926
2025,6,12,28,7.521213233605498
2025,6,12,29,7.479877303788999
2025,6,12,30,6.7127167528794995
2025,6,12,31,6.7127167528794995
2025,6,12,32,6.7127167528794995
2025,6,12,33,6.598580222157
2025,6,12,34,6.6636215489415
2025,6,12,35,6.6636215489415
2025,6,12,36,6.6636215489415
2025,6,12,37,7.0213284627475
2025,6,12,38,7.1374930938355
2025,6,12,39,7.1374930938355
2025,6,12,40,7.1374930938355
2025,6,12,41,7.831369190865
2025,6,12,42,8.035276990092
2025,6,12,43,8.035276990092
2025,6,12,44,8.035276990092
2025,6,12,45,8.469924553617998
2025,6,12,46,8.6441485947905
2025,6,12,47,9.027848866288998
2025,6,12,48,9.027848866288998
2025,6,12,49,9.229150938997
2025,6,12,50,9.265455242614998
2025,6,12,51,9.265455242614998
2025,6,12,52,9.651398784785998
2025,6,12,53,9.529114021014498
2025,6,12,54,9.4273904595695
2025,6,12,55,9.4273904595695
2025,6,12,56,9.815859730896998
2025,6,12,57,9.8723439974335
2025,6,12,58,10.132939663264
2025,6,12,59,10.132939663264
2025,6,12,60,10.132939663264
2025,6,12,61,10.1663072049495
2025,6,12,62,10.128331760948498
2025,6,12,63,10.128331760948498
2025,6,12,64,10.128331760948498
2025,6,12,65,9.922421804003498
2025,6,12,66,9.7422171961675
2025,6,12,67,9.347805991931
2025,6,12,68,9.347805991931
2025,6,12,69,9.115769691847499
2025,6,12,70,8.971380599225
2025,6,12,71,8.971380599225
2025,6,12,72,8.971380599225
2025,6,12,73,8.664698769232
2025,6,12,74,9.1489182125055
2025,6,12,75,9.1489182125055
2025,6,12,76,9.1489182125055
2025,6,12,77,9.069599679602
2025,6,12,78,9.202632346643998
2025,6,12,79,8.822337232934498
2025,6,12,80,8.822337232934498
2025,6,12,81,9.266312597398999
2025,6,12,82,9.629133882698
2025,6,12,83,9.629133882698
2025,6,12,84,10.0125263134985
2025,6,12,85,10.213935410926501
2025,6,12,86,10.259830123774
2025,6,12,87,10.259830123774
2025,6,12,88,10.644717682681499
2025,6,12,89,11.037206726562498
2025,6,12,90,11.1429147532505
2025,6,12,91,11.1429147532505
2025,6,12,92,11.1429147532505
2025,6,12,93,11.5300588162925
2025,6,12,94,11.5300588162925
2025,6,12,95,11.4222575885605
2025,6,12,96,11.4222575885605
