Year,Month,Day,Period,Value
2025,6,12,1,11.459172638144
2025,6,12,2,11.055502602446499
2025,6,12,3,10.855188103958
2025,6,12,4,11.6181230947485
2025,6,12,5,11.911211284785999
2025,6,12,6,11.911211284785999
2025,6,12,7,11.531210778312499
2025,6,12,8,11.531210778312499
2025,6,12,9,11.171053161124998
2025,6,12,10,11.171053161124998
2025,6,12,11,10.790090498802998
2025,6,12,12,10.790090498802998
2025,6,12,13,10.5490254342495
2025,6,12,14,10.5490254342495
2025,6,12,15,10.5490254342495
2025,6,12,16,10.5490254342495
2025,6,12,17,10.009074802435501
2025,6,12,18,10.009074802435501
2025,6,12,19,10.009074802435501
2025,6,12,20,9.6069539676385
2025,6,12,21,9.526981101506001
2025,6,12,22,9.526981101506001
2025,6,12,23,9.142869236798001
2025,6,12,24,9.142869236798001
2025,6,12,25,8.644201004362
2025,6,12,26,8.644201004362
2025,6,12,27,8.262901232250499
2025,6,12,28,8.262901232250499
2025,6,12,29,8.0550873199995
2025,6,12,30,8.0550873199995
2025,6,12,31,8.0550873199995
2025,6,12,32,8.0550873199995
2025,6,12,33,7.7736507232120005
2025,6,12,34,7.7736507232120005
2025,6,12,35,7.7736507232120005
2025,6,12,36,7.7736507232120005
2025,6,12,37,7.7398186363905
2025,6,12,38,7.7398186363905
2025,6,12,39,7.7398186363905
2025,6,12,40,7.7398186363905
2025,6,12,41,8.036778192575
2025,6,12,42,8.036778192575
2025,6,12,43,8.036778192575
2025,6,12,44,8.036778192575
2025,6,12,45,8.3318343358085
2025,6,12,46,8.0782421181715
2025,6,12,47,8.0782421181715
2025,6,12,48,8.0782421181715
2025,6,12,49,8.482274085439
2025,6,12,50,8.482274085439
2025,6,12,51,8.482274085439
2025,6,12,52,8.8700702580545
2025,6,12,53,8.909407880873502
2025,6,12,54,8.909407880873502
2025,6,12,55,8.909407880873502
2025,6,12,56,9.303261869582999
2025,6,12,57,9.448850940721501
2025,6,12,58,9.448850940721501
2025,6,12,59,9.448850940721501
2025,6,12,60,9.831213873261
2025,6,12,61,9.714188018589999
2025,6,12,62,9.714188018589999
2025,6,12,63,9.714188018589999
2025,6,12,64,9.714188018589999
2025,6,12,65,9.449739209740498
2025,6,12,66,9.449739209740498
2025,6,12,67,9.449739209740498
2025,6,12,68,9.0675285524065
2025,6,12,69,8.663825957330499
2025,6,12,70,8.663825957330499
2025,6,12,71,8.2713115312355
2025,6,12,72,8.2713115312355
2025,6,12,73,8.0386611948995
2025,6,12,74,8.0386611948995
2025,6,12,75,8.0386611948995
2025,6,12,76,8.0386611948995
2025,6,12,77,8.345769478629
2025,6,12,78,8.345769478629
2025,6,12,79,8.730216229470999
2025,6,12,80,8.730216229470999
2025,6,12,81,9.229406930556998
2025,6,12,82,9.619802231039
2025,6,12,83,9.619802231039
2025,6,12,84,10.0229006968805
2025,6,12,85,10.522101883496502
2025,6,12,86,10.522101883496502
2025,6,12,87,10.933949403256001
2025,6,12,88,10.933949403256001
2025,6,12,89,11.485294009695
2025,6,12,90,11.879317918226
2025,6,12,91,11.879317918226
2025,6,12,92,12.261318901116997
2025,6,12,93,12.597729739649997
2025,6,12,94,12.597729739649997
2025,6,12,95,12.597729739649997
2025,6,12,96,12.597729739649997
