Year,Month,Day,Period,Value
2025,6,12,1,8.443382802706498
2025,6,12,2,10.396294994041
2025,6,12,3,10.396294994041
2025,6,12,4,10.936914313413
2025,6,12,5,12.343565934078498
2025,6,12,6,12.343565934078498
2025,6,12,7,11.860653494041
2025,6,12,8,11.860653494041
2025,6,12,9,11.4914180111775
2025,6,12,10,11.4914180111775
2025,6,12,11,11.053195333884
2025,6,12,12,11.053195333884
2025,6,12,13,10.247472872433498
2025,6,12,14,10.5663767808225
2025,6,12,15,10.309952059962498
2025,6,12,16,10.309952059962498
2025,6,12,17,10.3724312474915
2025,6,12,18,10.3724312474915
2025,6,12,19,10.3724312474915
2025,6,12,20,9.8587123022355
2025,6,12,21,9.3072452320375
2025,6,12,22,9.3072452320375
2025,6,12,23,8.8724939340785
2025,6,12,24,8.8724939340785
2025,6,12,25,8.252907527843002
2025,6,12,26,8.252907527843002
2025,6,12,27,7.8177220385495
2025,6,12,28,7.8177220385495
2025,6,12,29,7.944416076157
2025,6,12,30,8.397390972157
2025,6,12,31,8.397390972157
2025,6,12,32,8.397390972157
2025,6,12,33,8.045511247020501
2025,6,12,34,8.045511247020501
2025,6,12,35,8.045511247020501
2025,6,12,36,8.045511247020501
2025,6,12,37,7.9279287191774985
2025,6,12,38,7.9279287191774985
2025,6,12,39,7.479726131371999
2025,6,12,40,7.9205523296075
2025,6,12,41,8.102349725607501
2025,6,12,42,8.102349725607501
2025,6,12,43,8.102349725607501
2025,6,12,44,8.5713783296075
2025,6,12,45,8.8651180868635
2025,6,12,46,8.8651180868635
2025,6,12,47,9.354972725136498
2025,6,12,48,9.354972725136498
2025,6,12,49,9.4907788510205
2025,6,12,50,9.4907788510205
2025,6,12,51,9.9285678793345
2025,6,12,52,9.9285678793345
2025,6,12,53,10.047885527372001
2025,6,12,54,10.047885527372001
2025,6,12,55,10.195406702040998
2025,6,12,56,10.195406702040998
2025,6,12,57,10.493050945256
2025,6,12,58,10.493050945256
2025,6,12,59,9.4907788510205
2025,6,12,60,10.493050945256
2025,6,12,61,10.692637187528998
2025,6,12,62,10.692637187528998
2025,6,12,63,10.692637187528998
2025,6,12,64,10.248773819372001
2025,6,12,65,10.172843884351499
2025,6,12,66,9.594911191805501
2025,6,12,67,9.594911191805501
2025,6,12,68,9.594911191805501
2025,6,12,69,9.5159435445085
2025,6,12,70,9.5159435445085
2025,6,12,71,9.059932020941998
2025,6,12,72,8.574415499529
2025,6,12,73,8.257246747491502
2025,6,12,74,8.257246747491502
2025,6,12,75,8.257246747491502
2025,6,12,76,8.257246747491502
2025,6,12,77,7.844622955020501
2025,6,12,78,7.844622955020501
2025,6,12,79,7.844622955020501
2025,6,12,80,8.322763086863501
2025,6,12,81,9.0942088027065
2025,6,12,82,9.0942088027065
2025,6,12,83,9.569745395528999
2025,6,12,84,10.014910813413
2025,6,12,85,10.631893680628
2025,6,12,86,10.631893680628
2025,6,12,87,10.631893680628
2025,6,12,88,11.077059098511999
2025,6,12,89,12.088875791058001
2025,6,12,90,12.6368715
2025,6,12,91,12.6368715
2025,6,12,92,12.6368715
2025,6,12,93,12.8885239126655
2025,6,12,94,12.8885239126655
2025,6,12,95,12.432946598511997
2025,6,12,96,12.4446605445085
