Year,Month,Day,Period,Value
2025,6,12,1,21.939941375913
2025,6,12,2,21.46427510601
2025,6,12,3,22.03029413937
2025,6,12,4,22.03029413937
2025,6,12,5,21.2833908008095
2025,6,12,6,21.2833908008095
2025,6,12,7,20.764556399350504
2025,6,12,8,20.221501815636
2025,6,12,9,19.696384520758
2025,6,12,10,18.9847311476955
2025,6,12,11,18.5066031646045
2025,6,12,12,18.737623742244
2025,6,12,13,18.9040620242925
2025,6,12,14,18.417710221944
2025,6,12,15,18.417710221944
2025,6,12,16,17.935799674298
2025,6,12,17,17.264393724567
2025,6,12,18,17.264393724567
2025,6,12,19,17.264393724567
2025,6,12,20,17.264393724567
2025,6,12,21,16.542855895472503
2025,6,12,22,16.542855895472503
2025,6,12,23,15.521966833114499
2025,6,12,24,14.985519561501498
2025,6,12,25,14.383993450216497
2025,6,12,26,13.8871646328415
2025,6,12,27,13.8871646328415
2025,6,12,28,13.4039961831655
2025,6,12,29,13.1274141155905
2025,6,12,30,13.1274141155905
2025,6,12,31,13.1274141155905
2025,6,12,32,13.1274141155905
2025,6,12,33,12.6692172810225
2025,6,12,34,12.179367596258498
2025,6,12,35,12.179367596258498
2025,6,12,36,12.179367596258498
2025,6,12,37,12.155501644131999
2025,6,12,38,12.155501644131999
2025,6,12,39,12.155501644131999
2025,6,12,40,12.155501644131999
2025,6,12,41,12.455413419366499
2025,6,12,42,12.951996170278
2025,6,12,43,12.951996170278
2025,6,12,44,12.951996170278
2025,6,12,45,13.19591910219
2025,6,12,46,13.19591910219
2025,6,12,47,13.6774798489395
2025,6,12,48,13.6774798489395
2025,6,12,49,13.965014504561998
2025,6,12,50,13.965014504561998
2025,6,12,51,12.659437626055
2025,6,12,52,12.659437626055
2025,6,12,53,13.398825551380499
2025,6,12,54,13.933468715242999
2025,6,12,55,14.413853220546999
2025,6,12,56,14.889518369583
2025,6,12,57,15.842693596658501
2025,6,12,58,16.322176599481498
2025,6,12,59,16.322176599481498
2025,6,12,60,16.322176599481498
2025,6,12,61,16.182008637745497
2025,6,12,62,16.182008637745497
2025,6,12,63,15.408974002537498
2025,6,12,64,15.408974002537498
2025,6,12,65,15.347497828267
2025,6,12,66,15.347497828267
2025,6,12,67,14.842214582288499
2025,6,12,68,14.842214582288499
2025,6,12,69,14.188389467609499
2025,6,12,70,13.711087943145996
2025,6,12,71,13.213851943715499
2025,6,12,72,13.213851943715499
2025,6,12,73,12.6072092553605
2025,6,12,74,12.131129222828
2025,6,12,75,12.131129222828
2025,6,12,76,11.907745419393999
2025,6,12,77,12.1532981100025
2025,6,12,78,12.1532981100025
2025,6,12,79,12.690428387345499
2025,6,12,80,13.6685388013515
2025,6,12,81,14.5481277901465
2025,6,12,82,15.053359186986997
2025,6,12,83,16.03287976015
2025,6,12,84,16.5246946320995
2025,6,12,85,17.687453132299495
2025,6,12,86,17.687453132299495
2025,6,12,87,18.231538298984997
2025,6,12,88,19.2530618263005
2025,6,12,89,20.0364090525775
2025,6,12,90,21.072817765967002
2025,6,12,91,21.566584591639995
2025,6,12,92,17.5679180902995
2025,6,12,93,17.8977525128875
2025,6,12,94,17.721394449417996
2025,6,12,95,18.2146040414855
2025,6,12,96,18.2146040414855
