Year,Month,Day,Period,Value
2025,6,12,1,10.188779539746502
2025,6,12,2,10.175187563012997
2025,6,12,3,9.640219998546499
2025,6,12,4,9.640219998546499
2025,6,12,5,9.2936146215495
2025,6,12,6,9.199404285841
2025,6,12,7,8.342242941791001
2025,6,12,8,8.342242941791001
2025,6,12,9,7.980634326114999
2025,6,12,10,7.980634326114999
2025,6,12,11,7.845152058479999
2025,6,12,12,7.845152058479999
2025,6,12,13,8.134649153356001
2025,6,12,14,7.7523127058190004
2025,6,12,15,8.238795830391501
2025,6,12,16,8.993934034173
2025,6,12,17,9.0112395879055
2025,6,12,18,6.130366488466
2025,6,12,19,6.130366488466
2025,6,12,20,9.784510346402
2025,6,12,21,9.494906769161
2025,6,12,22,9.1693056262115
2025,6,12,23,8.559004536439499
2025,6,12,24,8.251812368469999
2025,6,12,25,7.7856946018335
2025,6,12,26,7.7856946018335
2025,6,12,27,7.478883130917
2025,6,12,28,7.161537263814998
2025,6,12,29,7.006841618342499
2025,6,12,30,7.006841618342499
2025,6,12,31,7.006841618342499
2025,6,12,32,7.006841618342499
2025,6,12,33,6.881986977717499
2025,6,12,34,6.881986977717499
2025,6,12,35,6.881986977717499
2025,6,12,36,6.881986977717499
2025,6,12,37,6.9146692900175
2025,6,12,38,6.9146692900175
2025,6,12,39,6.9146692900175
2025,6,12,40,6.9146692900175
2025,6,12,41,7.0274568934624995
2025,6,12,42,7.0274568934624995
2025,6,12,43,6.1687027612484995
2025,6,12,44,6.1687027612484995
2025,6,12,45,6.6545563743725
2025,6,12,46,6.6545563743725
2025,6,12,47,7.784224295506998
2025,6,12,48,8.096236209654998
2025,6,12,49,8.015524041343498
2025,6,12,50,8.015524041343498
2025,6,12,51,8.323160325744
2025,6,12,52,8.323160325744
2025,6,12,53,8.611932472769999
2025,6,12,54,8.611932472769999
2025,6,12,55,9.2378696391135
2025,6,12,56,9.2378696391135
2025,6,12,57,9.548871923272
2025,6,12,58,9.548871923272
2025,6,12,59,9.548871923272
2025,6,12,60,9.857654113395
2025,6,12,61,9.7334802910015
2025,6,12,62,9.7334802910015
2025,6,12,63,9.420300957716
2025,6,12,64,9.0919859426605
2025,6,12,65,8.650827624301499
2025,6,12,66,8.650827624301499
2025,6,12,67,8.650827624301499
2025,6,12,68,8.650827624301499
2025,6,12,69,8.073224846302
2025,6,12,70,8.073224846302
2025,6,12,71,8.073224846302
2025,6,12,72,7.7644884490195
2025,6,12,73,7.418822647824499
2025,6,12,74,7.418822647824499
2025,6,12,75,7.418822647824499
2025,6,12,76,7.102611658559999
2025,6,12,77,7.217651879262
2025,6,12,78,7.217651879262
2025,6,12,79,7.53463031893
2025,6,12,80,7.861860099708999
2025,6,12,81,8.2188050951325
2025,6,12,82,8.5383340857375
2025,6,12,83,8.850066831688498
2025,6,12,84,9.207940375028999
2025,6,12,85,9.5901190153395
2025,6,12,86,9.5901190153395
2025,6,12,87,9.8996471243725
2025,6,12,88,10.245344364079
2025,6,12,89,10.640930725051
2025,6,12,90,10.948549907190499
2025,6,12,91,11.5669937341475
2025,6,12,92,11.064129174526999
2025,6,12,93,11.208408494497501
2025,6,12,94,11.208408494497501
2025,6,12,95,11.208408494497501
2025,6,12,96,11.208408494497501
