Year,Month,Day,Period,Value
2025,6,12,1,12.5304550672895
2025,6,12,2,12.5304550672895
2025,6,12,3,12.5304550672895
2025,6,12,4,12.5304550672895
2025,6,12,5,11.894265999401497
2025,6,12,6,11.894265999401497
2025,6,12,7,11.894265999401497
2025,6,12,8,11.894265999401497
2025,6,12,9,11.125551276003998
2025,6,12,10,11.125551276003998
2025,6,12,11,11.125551276003998
2025,6,12,12,11.125551276003998
2025,6,12,13,10.714991451642499
2025,6,12,14,10.650978502251998
2025,6,12,15,10.650978502251998
2025,6,12,16,10.650978502251998
2025,6,12,17,10.1419888383605
2025,6,12,18,10.1419888383605
2025,6,12,19,10.1419888383605
2025,6,12,20,10.1419888383605
2025,6,12,21,9.8262837759185
2025,6,12,22,9.8262837759185
2025,6,12,23,9.8262837759185
2025,6,12,24,9.8262837759185
2025,6,12,25,9.466442839815498
2025,6,12,26,9.466442839815498
2025,6,12,27,9.466442839815498
2025,6,12,28,9.146690959384
2025,6,12,29,9.023742479641998
2025,6,12,30,9.023742479641998
2025,6,12,31,9.506409956004498
2025,6,12,32,9.506409956004498
2025,6,12,33,9.694027363509498
2025,6,12,34,9.694027363509498
2025,6,12,35,10.2039163062265
2025,6,12,36,10.2039163062265
2025,6,12,37,10.7938288975825
2025,6,12,38,10.7938288975825
2025,6,12,39,11.286370922958998
2025,6,12,40,11.286370922958998
2025,6,12,41,12.1128730654085
2025,6,12,42,12.672943531049999
2025,6,12,43,12.672943531049999
2025,6,12,44,12.672943531049999
2025,6,12,45,12.8502008914235
2025,6,12,46,12.8502008914235
2025,6,12,47,12.8502008914235
2025,6,12,48,12.8502008914235
2025,6,12,49,13.2298262147865
2025,6,12,50,13.2298262147865
2025,6,12,51,13.2298262147865
2025,6,12,52,13.2298262147865
2025,6,12,53,13.288435699390499
2025,6,12,54,13.288435699390499
2025,6,12,55,13.7718292263915
2025,6,12,56,13.7718292263915
2025,6,12,57,13.5869383820995
2025,6,12,58,13.5869383820995
2025,6,12,59,14.0909383619125
2025,6,12,60,14.0909383619125
2025,6,12,61,13.130659296733
2025,6,12,62,13.6113251577325
2025,6,12,63,13.6113251577325
2025,6,12,64,13.6113251577325
2025,6,12,65,13.475688969748502
2025,6,12,66,13.475688969748502
2025,6,12,67,13.475688969748502
2025,6,12,68,12.965796700587498
2025,6,12,69,13.020300322821
2025,6,12,70,13.020300322821
2025,6,12,71,13.020300322821
2025,6,12,72,12.514582325074498
2025,6,12,73,12.408123968322501
2025,6,12,74,12.408123968322501
2025,6,12,75,12.408123968322501
2025,6,12,76,12.408123968322501
2025,6,12,77,12.155675993186
2025,6,12,78,12.155675993186
2025,6,12,79,12.155675993186
2025,6,12,80,12.155675993186
2025,6,12,81,11.600228850820498
2025,6,12,82,11.600228850820498
2025,6,12,83,12.1183482476045
2025,6,12,84,12.1183482476045
2025,6,12,85,12.523524475450998
2025,6,12,86,12.523524475450998
2025,6,12,87,12.523524475450998
2025,6,12,88,12.523524475450998
2025,6,12,89,12.7134998797895
2025,6,12,90,12.732113557624999
2025,6,12,91,12.732113557624999
2025,6,12,92,12.732113557624999
2025,6,12,93,12.7917337569285
2025,6,12,94,12.764031185532
2025,6,12,95,12.764031185532
2025,6,12,96,12.764031185532
