Year,Month,Day,Period,Value
2025,6,12,1,15.080161358691
2025,6,12,2,15.080161358691
2025,6,12,3,15.080161358691
2025,6,12,4,15.080161358691
2025,6,12,5,14.847416110229997
2025,6,12,6,14.847416110229997
2025,6,12,7,14.847416110229997
2025,6,12,8,14.362690740134
2025,6,12,9,14.012057889142499
2025,6,12,10,14.012057889142499
2025,6,12,11,14.012057889142499
2025,6,12,12,13.533827274407
2025,6,12,13,13.2816551410235
2025,6,12,14,13.2816551410235
2025,6,12,15,12.804860085737499
2025,6,12,16,12.804860085737499
2025,6,12,17,12.299511721001998
2025,6,12,18,12.299511721001998
2025,6,12,19,12.299511721001998
2025,6,12,20,12.299511721001998
2025,6,12,21,11.7756754867125
2025,6,12,22,11.7756754867125
2025,6,12,23,11.2734421017625
2025,6,12,24,10.794968728929
2025,6,12,25,10.845765951327998
2025,6,12,26,10.845765951327998
2025,6,12,27,10.845765951327998
2025,6,12,28,10.845765951327998
2025,6,12,29,11.361901395443502
2025,6,12,30,11.361901395443502
2025,6,12,31,12.082778274577999
2025,6,12,32,11.588261118840999
2025,6,12,33,11.492786246292999
2025,6,12,34,11.492786246292999
2025,6,12,35,11.492786246292999
2025,6,12,36,11.492786246292999
2025,6,12,37,11.044481605355001
2025,6,12,38,11.044481605355001
2025,6,12,39,11.044481605355001
2025,6,12,40,11.044481605355001
2025,6,12,41,10.979803294850498
2025,6,12,42,10.979803294850498
2025,6,12,43,10.979803294850498
2025,6,12,44,11.479236211679499
2025,6,12,45,11.528447805000502
2025,6,12,46,11.528447805000502
2025,6,12,47,11.528447805000502
2025,6,12,48,12.0049394307425
2025,6,12,49,12.2971183987795
2025,6,12,50,12.2971183987795
2025,6,12,51,12.7951234756785
2025,6,12,52,12.7951234756785
2025,6,12,53,12.919331502594
2025,6,12,54,12.919331502594
2025,6,12,55,12.919331502594
2025,6,12,56,12.919331502594
2025,6,12,57,13.170762128221499
2025,6,12,58,13.170762128221499
2025,6,12,59,13.170762128221499
2025,6,12,60,13.170762128221499
2025,6,12,61,13.329614382414
2025,6,12,62,13.329614382414
2025,6,12,63,13.329614382414
2025,6,12,64,13.329614382414
2025,6,12,65,13.2140329095005
2025,6,12,66,13.2140329095005
2025,6,12,67,13.2140329095005
2025,6,12,68,12.737579917512997
2025,6,12,69,12.4298272075725
2025,6,12,70,12.438234198192
2025,6,12,71,12.438234198192
2025,6,12,72,12.438234198192
2025,6,12,73,12.2011955410015
2025,6,12,74,11.5789537466075
2025,6,12,75,12.081095545876499
2025,6,12,76,12.081095545876499
2025,6,12,77,12.336483048956
2025,6,12,78,12.830671392935
2025,6,12,79,12.830671392935
2025,6,12,80,13.309641291771
2025,6,12,81,14.258581575985996
2025,6,12,82,14.258581575985996
2025,6,12,83,14.751322229841998
2025,6,12,84,14.751322229841998
2025,6,12,85,15.234678243955496
2025,6,12,86,15.234678243955496
2025,6,12,87,15.710303674526997
2025,6,12,88,16.200648782505
2025,6,12,89,16.810978002423
2025,6,12,90,17.2947809170565
2025,6,12,91,17.2947809170565
2025,6,12,92,17.2947809170565
2025,6,12,93,16.067203979898498
2025,6,12,94,16.067203979898498
2025,6,12,95,16.067203979898498
2025,6,12,96,16.067203979898498
