Year,Month,Day,Period,Value
2025,6,12,1,6.2871685684445
2025,6,12,2,5.7440439305425
2025,6,12,3,5.7440439305425
2025,6,12,4,5.7440439305425
2025,6,12,5,5.640611173472
2025,6,12,6,5.6254760521355
2025,6,12,7,5.5526506113705
2025,6,12,8,5.449207911125
2025,6,12,9,5.4489723301915
2025,6,12,10,5.8291835777395
2025,6,12,11,5.8291835777395
2025,6,12,12,5.8291835777395
2025,6,12,13,5.835908960524499
2025,6,12,14,5.835908960524499
2025,6,12,15,5.835908960524499
2025,6,12,16,5.835908960524499
2025,6,12,17,5.6906332440264995
2025,6,12,18,5.6906332440264995
2025,6,12,19,5.6906332440264995
2025,6,12,20,5.6906332440264995
2025,6,12,21,5.556325012259999
2025,6,12,22,5.556325012259999
2025,6,12,23,5.556325012259999
2025,6,12,24,5.556325012259999
2025,6,12,25,5.3264359860139985
2025,6,12,26,5.3264359860139985
2025,6,12,27,5.3264359860139985
2025,6,12,28,5.3264359860139985
2025,6,12,29,5.182184814267999
2025,6,12,30,5.182184814267999
2025,6,12,31,5.182184814267999
2025,6,12,32,5.182184814267999
2025,6,12,33,5.198764317361999
2025,6,12,34,5.198764317361999
2025,6,12,35,5.198764317361999
2025,6,12,36,0.0
2025,6,12,37,0.0
2025,6,12,38,0.0
2025,6,12,39,0.0
2025,6,12,40,0.0
2025,6,12,41,0.0
2025,6,12,42,0.0
2025,6,12,43,5.821545140312
2025,6,12,44,5.821545140312
2025,6,12,45,5.927909145372499
2025,6,12,46,5.927909145372499
2025,6,12,47,5.927909145372499
2025,6,12,48,5.927909145372499
2025,6,12,49,6.0940329519134995
2025,6,12,50,6.0940329519134995
2025,6,12,51,6.0940329519134995
2025,6,12,52,6.0940329519134995
2025,6,12,53,6.197263229783999
2025,6,12,54,6.197263229783999
2025,6,12,55,6.197263229783999
2025,6,12,56,6.197263229783999
2025,6,12,57,6.3822600140859995
2025,6,12,58,6.3822600140859995
2025,6,12,59,6.3822600140859995
2025,6,12,60,6.3822600140859995
2025,6,12,61,6.4550788200415
2025,6,12,62,6.4550788200415
2025,6,12,63,6.4550788200415
2025,6,12,64,6.4550788200415
2025,6,12,65,6.691835561103
2025,6,12,66,6.3767677115504995
2025,6,12,67,6.3767677115504995
2025,6,12,68,6.3767677115504995
2025,6,12,69,6.403257613324
2025,6,12,70,6.403257613324
2025,6,12,71,6.403257613324
2025,6,12,72,6.403257613324
2025,6,12,73,6.112154478743499
2025,6,12,74,6.112154478743499
2025,6,12,75,6.112154478743499
2025,6,12,76,4.384559550261
2025,6,12,77,4.4173191119915
2025,6,12,78,4.4173191119915
2025,6,12,79,4.4173191119915
2025,6,12,80,4.4173191119915
2025,6,12,81,4.491198041187
2025,6,12,82,4.491198041187
2025,6,12,83,4.491198041187
2025,6,12,84,4.491198041187
2025,6,12,85,4.719996337292501
2025,6,12,86,4.719996337292501
2025,6,12,87,4.719996337292501
2025,6,12,88,4.719996337292501
2025,6,12,89,5.079691614921001
2025,6,12,90,5.079691614921001
2025,6,12,91,6.5530496464565
2025,6,12,92,6.5530496464565
2025,6,12,93,6.757516884866
2025,6,12,94,6.757516884866
2025,6,12,95,6.757516884866
2025,6,12,96,6.757516884866
