Year,Month,Day,Period,Value
2025,6,12,1,12.7301560718805
2025,6,12,2,12.7301560718805
2025,6,12,3,12.7301560718805
2025,6,12,4,12.7301560718805
2025,6,12,5,12.044619659215
2025,6,12,6,11.726438511177497
2025,6,12,7,11.726438511177497
2025,6,12,8,11.408256242273
2025,6,12,9,11.182636923842997
2025,6,12,10,11.182636923842997
2025,6,12,11,10.873133076156998
2025,6,12,12,10.873133076156998
2025,6,12,13,10.427678583057999
2025,6,12,14,10.427678583057999
2025,6,12,15,10.427678583057999
2025,6,12,16,10.427678583057999
2025,6,12,17,10.338009928119497
2025,6,12,18,10.338009928119497
2025,6,12,19,10.338009928119497
2025,6,12,20,10.028504995723498
2025,6,12,21,9.799993587334498
2025,6,12,22,10.109497416941998
2025,6,12,23,10.109497416941998
2025,6,12,24,9.799993587334498
2025,6,12,25,9.4528861703925
2025,6,12,26,9.4528861703925
2025,6,12,27,9.1347044619215
2025,6,12,28,8.828093246549498
2025,6,12,29,8.5099115380785
2025,6,12,30,8.5099115380785
2025,6,12,31,8.200407708471
2025,6,12,32,8.200407708471
2025,6,12,33,8.151234170392499
2025,6,12,34,8.151234170392499
2025,6,12,35,8.151234170392499
2025,6,12,36,8.151234170392499
2025,6,12,37,8.518589416942
2025,6,12,38,8.828093246549498
2025,6,12,39,8.828093246549498
2025,6,12,40,9.1347044619215
2025,6,12,41,9.513629659214999
2025,6,12,42,9.831811928119498
2025,6,12,43,9.831811928119498
2025,6,12,44,10.167348833884
2025,6,12,45,10.3061915873345
2025,6,12,46,10.3061915873345
2025,6,12,47,10.3061915873345
2025,6,12,48,10.615695416941998
2025,6,12,49,10.407430753450498
2025,6,12,50,10.407430753450498
2025,6,12,51,10.714042511177498
2025,6,12,52,10.714042511177498
2025,6,12,53,10.864455757726999
2025,6,12,54,10.864455757726999
2025,6,12,55,10.864455757726999
2025,6,12,56,10.7053640718805
2025,6,12,57,10.268588
2025,6,12,58,10.583877076157
2025,6,12,59,10.583877076157
2025,6,12,60,10.902058242273
2025,6,12,61,10.685116242272999
2025,6,12,62,10.685116242272999
2025,6,12,63,10.685116242272999
2025,6,12,64,10.685116242272999
2025,6,12,65,10.167348833884
2025,6,12,66,10.167348833884
2025,6,12,67,10.167348833884
2025,6,12,68,10.167348833884
2025,6,12,69,9.7421421703925
2025,6,12,70,9.7421421703925
2025,6,12,71,9.432638340785
2025,6,12,72,9.979331999999998
2025,6,12,73,9.6409030042765
2025,6,12,74,9.6409030042765
2025,6,12,75,9.6409030042765
2025,6,12,76,9.334291246549501
2025,6,12,77,9.444208833883998
2025,6,12,78,9.444208833883998
2025,6,12,79,9.76239
2025,6,12,80,10.069001757727
2025,6,12,81,10.18759668157
2025,6,12,82,10.18759668157
2025,6,12,83,10.505777829607501
2025,6,12,84,10.505777829607501
2025,6,12,85,10.902058242273
2025,6,12,86,10.902058242273
2025,6,12,87,11.220240511177499
2025,6,12,88,11.538421659215
2025,6,12,89,11.816107166116
2025,6,12,90,12.125610995723498
2025,6,12,91,12.125610995723498
2025,6,12,92,12.125610995723498
2025,6,12,93,12.322305166116
2025,6,12,94,12.322305166116
2025,6,12,95,12.273132170392499
2025,6,12,96,12.273132170392499
