Year,Month,Day,Period,Value
2025,6,12,1,11.313153226391497
2025,6,12,2,11.313153226391497
2025,6,12,3,11.313153226391497
2025,6,12,4,11.313153226391497
2025,6,12,5,11.089228749258
2025,6,12,6,11.089228749258
2025,6,12,7,10.6048531800585
2025,6,12,8,10.6048531800585
2025,6,12,9,10.6700975464765
2025,6,12,10,10.6700975464765
2025,6,12,11,10.1900992340895
2025,6,12,12,10.1900992340895
2025,6,12,13,10.143795151688
2025,6,12,14,10.143795151688
2025,6,12,15,9.666547681939498
2025,6,12,16,9.666547681939498
2025,6,12,17,9.4189161626945
2025,6,12,18,9.4189161626945
2025,6,12,19,8.920260603287002
2025,6,12,20,8.920260603287002
2025,6,12,21,9.216213295492498
2025,6,12,22,9.216213295492498
2025,6,12,23,8.7410347473625
2025,6,12,24,8.7410347473625
2025,6,12,25,8.5682760590075
2025,6,12,26,8.5682760590075
2025,6,12,27,8.085935731181
2025,6,12,28,8.085935731181
2025,6,12,29,7.902767894488498
2025,6,12,30,7.902767894488498
2025,6,12,31,7.902767894488498
2025,6,12,32,7.902767894488498
2025,6,12,33,8.0475150679605
2025,6,12,34,8.0475150679605
2025,6,12,35,8.0475150679605
2025,6,12,36,8.525857118569999
2025,6,12,37,9.0902309541945
2025,6,12,38,9.576556831973999
2025,6,12,39,9.576556831973999
2025,6,12,40,9.576556831973999
2025,6,12,41,10.622472648864997
2025,6,12,42,11.139316480924501
2025,6,12,43,11.139316480924501
2025,6,12,44,11.642887240990499
2025,6,12,45,12.473243647326
2025,6,12,46,12.473243647326
2025,6,12,47,12.9539988884295
2025,6,12,48,12.9539988884295
2025,6,12,49,13.403510685048
2025,6,12,50,13.403510685048
2025,6,12,51,13.403510685048
2025,6,12,52,13.891886176607999
2025,6,12,53,13.657244150005498
2025,6,12,54,13.657244150005498
2025,6,12,55,13.657244150005498
2025,6,12,56,13.657244150005498
2025,6,12,57,13.917461342438498
2025,6,12,58,15.158588332288499
2025,6,12,59,15.158588332288499
2025,6,12,60,15.158588332288499
2025,6,12,61,15.187405352817501
2025,6,12,62,14.625377401431498
2025,6,12,63,15.1047202597225
2025,6,12,64,15.1047202597225
2025,6,12,65,14.493940830918998
2025,6,12,66,14.493940830918998
2025,6,12,67,14.493940830918998
2025,6,12,68,14.493940830918998
2025,6,12,69,14.418260288806
2025,6,12,70,14.418260288806
2025,6,12,71,13.874913303432498
2025,6,12,72,13.874913303432498
2025,6,12,73,13.282855679972998
2025,6,12,74,13.282855679972998
2025,6,12,75,12.773306576899
2025,6,12,76,12.773306576899
2025,6,12,77,12.3266085180205
2025,6,12,78,12.3266085180205
2025,6,12,79,12.3266085180205
2025,6,12,80,11.833227885264499
2025,6,12,81,11.766894451928
2025,6,12,82,11.766894451928
2025,6,12,83,11.766894451928
2025,6,12,84,12.247060460481
2025,6,12,85,12.283505450986
2025,6,12,86,12.283505450986
2025,6,12,87,12.283505450986
2025,6,12,88,12.283505450986
2025,6,12,89,12.575159202440998
2025,6,12,90,12.575159202440998
2025,6,12,91,12.575159202440998
2025,6,12,92,12.575159202440998
2025,6,12,93,12.713390649492501
2025,6,12,94,12.713390649492501
2025,6,12,95,12.713390649492501
2025,6,12,96,12.713390649492501
