Year,Month,Day,Period,Value
2025,6,12,1,15.076907355240499
2025,6,12,2,15.076907355240499
2025,6,12,3,14.593209277828498
2025,6,12,4,14.593209277828498
2025,6,12,5,14.013928182281502
2025,6,12,6,0.014013928182281499
2025,6,12,7,14.013928182281502
2025,6,12,8,14.013928182281502
2025,6,12,9,13.390344619696
2025,6,12,10,13.390344619696
2025,6,12,11,13.390344619696
2025,6,12,12,12.9141619735975
2025,6,12,13,12.713867325302
2025,6,12,14,12.713867325302
2025,6,12,15,12.713867325302
2025,6,12,16,12.713867325302
2025,6,12,17,12.486805830691502
2025,6,12,18,12.486805830691502
2025,6,12,19,12.486805830691502
2025,6,12,20,12.486805830691502
2025,6,12,21,12.0612107506275
2025,6,12,22,12.0612107506275
2025,6,12,23,11.5703602762605
2025,6,12,24,11.092305095289
2025,6,12,25,10.589976816292499
2025,6,12,26,10.589976816292499
2025,6,12,27,10.101614558194498
2025,6,12,28,10.101614558194498
2025,6,12,29,9.644447203809001
2025,6,12,30,9.644447203809001
2025,6,12,31,9.644447203809001
2025,6,12,32,9.644447203809001
2025,6,12,33,9.296993312414498
2025,6,12,34,9.296993312414498
2025,6,12,35,9.296993312414498
2025,6,12,36,9.296993312414498
2025,6,12,37,9.4137146166745
2025,6,12,38,9.4137146166745
2025,6,12,39,9.4137146166745
2025,6,12,40,9.4137146166745
2025,6,12,41,9.634402734973499
2025,6,12,42,9.634402734973499
2025,6,12,43,9.634402734973499
2025,6,12,44,9.634402734973499
2025,6,12,45,9.717957313526
2025,6,12,46,9.717957313526
2025,6,12,47,9.717957313526
2025,6,12,48,10.206240134695
2025,6,12,49,11.4394125303095
2025,6,12,50,11.4394125303095
2025,6,12,51,11.4394125303095
2025,6,12,52,11.925857021127499
2025,6,12,53,12.0564141630075
2025,6,12,54,10.794546125913001
2025,6,12,55,10.794546125913001
2025,6,12,56,11.313629902200999
2025,6,12,57,11.468288034785997
2025,6,12,58,12.58977736907
2025,6,12,59,13.589319573648497
2025,6,12,60,13.589319573648497
2025,6,12,61,14.100979522382499
2025,6,12,62,14.100979522382499
2025,6,12,63,14.100979522382499
2025,6,12,64,14.100979522382499
2025,6,12,65,13.4318212363995
2025,6,12,66,13.4318212363995
2025,6,12,67,13.4318212363995
2025,6,12,68,13.4318212363995
2025,6,12,69,13.801816974423499
2025,6,12,70,13.296806261832497
2025,6,12,71,13.296806261832497
2025,6,12,72,12.791334312471
2025,6,12,73,12.479192196966
2025,6,12,74,12.479192196966
2025,6,12,75,12.479192196966
2025,6,12,76,12.479192196966
2025,6,12,77,12.185540156592
2025,6,12,78,12.185540156592
2025,6,12,79,12.6761611244015
2025,6,12,80,13.168205502908501
2025,6,12,81,13.994182410697501
2025,6,12,82,14.473261557909
2025,6,12,83,14.9703507960765
2025,6,12,84,15.448927885264498
2025,6,12,85,15.1022894246125
2025,6,12,86,16.628505880645996
2025,6,12,87,17.1037693796475
2025,6,12,88,17.806874514769998
2025,6,12,89,18.344842296703995
2025,6,12,90,18.8193830534325
2025,6,12,91,19.312083970745494
2025,6,12,92,19.849919345745498
2025,6,12,93,19.9632851357775
2025,6,12,94,19.9632851357775
2025,6,12,95,19.9632851357775
2025,6,12,96,19.9632851357775
