Year,Month,Day,Period,Value
2025,6,12,1,9.979298898266498
2025,6,12,2,9.979298898266498
2025,6,12,3,9.5995113746015
2025,6,12,4,9.5995113746015
2025,6,12,5,9.4340959560045
2025,6,12,6,9.4340959560045
2025,6,12,7,8.42999551075
2025,6,12,8,8.42999551075
2025,6,12,9,8.204965406791999
2025,6,12,10,8.204965406791999
2025,6,12,11,8.204965406791999
2025,6,12,12,7.821265677648499
2025,6,12,13,7.648210176480499
2025,6,12,14,7.648210176480499
2025,6,12,15,7.265388773180998
2025,6,12,16,7.265388773180998
2025,6,12,17,7.100635967766
2025,6,12,18,7.100635967766
2025,6,12,19,7.100635967766
2025,6,12,20,7.100635967766
2025,6,12,21,6.9350947770445
2025,6,12,22,6.544988027501
2025,6,12,23,6.544988027501
2025,6,12,24,6.16014185028
2025,6,12,25,6.4044631057825
2025,6,12,26,6.7980461881695
2025,6,12,27,6.7980461881695
2025,6,12,28,6.7980461881695
2025,6,12,29,6.6781133830125
2025,6,12,30,6.6781133830125
2025,6,12,31,6.6781133830125
2025,6,12,32,6.6781133830125
2025,6,12,33,6.762937451913499
2025,6,12,34,6.762937451913499
2025,6,12,35,6.762937451913499
2025,6,12,36,7.1608321661579994
2025,6,12,37,7.374685689453499
2025,6,12,38,7.7730912840295
2025,6,12,39,8.566874161725
2025,6,12,40,8.97346993147
2025,6,12,41,9.932459656108
2025,6,12,42,10.350331854071
2025,6,12,43,10.7771936765515
2025,6,12,44,10.7771936765515
2025,6,12,45,10.813584594262998
2025,6,12,46,11.233588627024501
2025,6,12,47,11.233588627024501
2025,6,12,48,11.233588627024501
2025,6,12,49,11.5526955569685
2025,6,12,50,11.5526955569685
2025,6,12,51,11.5526955569685
2025,6,12,52,11.0431034270645
2025,6,12,53,10.692422017221999
2025,6,12,54,10.692422017221999
2025,6,12,55,10.692422017221999
2025,6,12,56,11.082735114764498
2025,6,12,57,11.211355741959999
2025,6,12,58,11.211355741959999
2025,6,12,59,11.657743736485
2025,6,12,60,11.657743736485
2025,6,12,61,12.3972475088385
2025,6,12,62,12.3972475088385
2025,6,12,63,12.3972475088385
2025,6,12,64,12.3972475088385
2025,6,12,65,11.923044404254501
2025,6,12,66,11.637076594148498
2025,6,12,67,12.023793643020499
2025,6,12,68,12.023793643020499
2025,6,12,69,11.797106192575
2025,6,12,70,11.797106192575
2025,6,12,71,9.9987290915545
2025,6,12,72,10.952691058792999
2025,6,12,73,10.603182600109
2025,6,12,74,10.216287911895996
2025,6,12,75,10.216287911895996
2025,6,12,76,10.216287911895996
2025,6,12,77,10.056574994554
2025,6,12,78,10.473380199447
2025,6,12,79,10.473380199447
2025,6,12,80,10.853263719947002
2025,6,12,81,11.00251507938
2025,6,12,82,11.00251507938
2025,6,12,83,11.00251507938
2025,6,12,84,11.430097420477999
2025,6,12,85,11.284473023950499
2025,6,12,86,11.284473023950499
2025,6,12,87,11.284473023950499
2025,6,12,88,11.689865506814
2025,6,12,89,11.563661378478
2025,6,12,90,11.068754721458498
2025,6,12,91,11.068754721458498
2025,6,12,92,11.068754721458498
2025,6,12,93,10.666647138201999
2025,6,12,94,10.666647138201999
2025,6,12,95,10.270212244754
2025,6,12,96,10.270212244754
